"Hash","NodeName","PL","TR","Notes"
"06864D2643EDD4A43A38B598A81F97BD","CinematicNode_Choice_0","Powiedz, że czujesz się urażony.","",""
"EA2611D64AC7D88FFF4789935E929C37","CinematicNode_Choice_0","Nie wtrącaj się.","",""
"BC8DDE3A4B9EAD1EFA4655870E631A71","CinematicNode_Choice_0","1","",""
"6C8239BE4DA9149A058ED2B1749ACFA8","CinematicNode_Choice_0","2","",""
"F75A10064957C567CC4BFEA68B48332E","CinematicNode_Choice_2","Pożegnaj się.","",""
"9BBD204D437CCD1EE982D581607FAD0B","CinematicNode_Choice_2","Zapytaj, co teraz będzie z tymi ludźmi.","",""
"64DEAC7E407411D3F19786B95EEE3F30","CinematicNode_Choice_2","1","",""
"350A76A343C0DE8ACC9F4CAA5003C6E8","CinematicNode_Choice_2","2","",""
"3916E8A740B0385D73F0B391B57D9609","CinematicNode_Response_0","Może nie była to wzorcowa operacja, ale ofiar nie ma. Dobra robota, Szulski.","",""
"E55F104C47F2DD411550E895196F7083","CinematicNode_Response_1","Kończymy to <i>soirée</>. Rozejdźcie się, a potraktujemy was łagodnie.","",""
"54F2E8B14F508AFA10342E80B145025A","CinematicNode_Response_1","Nie macie najmniejszych szans. Chcecie mieć drugą <i>krwawą niedzielę</>?","",""
"699672F5473B0025EBF3318DD33E3B06","CinematicNode_Response_1","Nie słuchajcie go! Przecież port... Potem już tylko... eee...","",""
"45B83F974189B36F9C0175BCF9925603","CinematicNode_Response_1","Zamknij ryj!","",""
"26F574114B25DC4B8E39269DBF52F35D","CinematicNode_Response_11","Teraz ja mówię, Edek! I mówię, że powiem ci coś jedno!","",""
"6BC295E54FEA3CC2FC05B4A16C5209FE","CinematicNode_Response_12","Na mnie już pora.","",""
"178B325C407CAC78A7CDA38CFA9F21D5","CinematicNode_Response_13","Co się stanie teraz z tymi ludźmi?","",""
"8A255F2A439D5160963589B10CECD360","CinematicNode_Response_13","Nie chcemy zamieszek, więc ich postraszymy, spiszemy i będziemy nachodzić w razie czego. Ale Edek, jako prowodyr, to...","",""
"F696C9D246F9EE85C8AADCBE629DE957","CinematicNode_Response_14","Zastanawiałeś się, czy nie zaciągnąć się do służby?","",""
"26443F2D422891F5F8D792A48F95BC90","CinematicNode_Response_14","Nie, to nie dla mnie. Nie z takim bólem głowy. Do zobaczenia, Lichocki.","",""
"D0221CCD439BF067E6A4BFBDC891EE8C","CinematicNode_Response_2","Edek! Edek, powiem ci coś jedno!","",""
"207646DF47302F5F6073779FDA2BFFE7","CinematicNode_Response_2","Jeszcze ten... Dałeś uciec, temu <dl>cwaniaczynie, fiksacie</>!","",""
"2897290A4AF6335F4894C48BC441C773","CinematicNode_Response_3","Po co te obelgi?","",""
"99706DED4DC563A0F18C329A4E3057BC","CinematicNode_Response_3","Obaj się zamknijcie!","",""
"19CCF8184E12782C88930D88743A4EC1","CinematicNode_Response_5","Po pierwsze, jesteś kawał chuja! Tylko mnie pokątnie rozstawiasz.","",""
"B94D76474E8901854BFAD6B96D3D01C4","CinematicNode_Response_5","Po drugie, naobiecywałeś nie wiadomo co i co narobiłeś? Zobacz!","",""
"64FA60AC472AF8A4F614DE9C05B49AA0","CinematicNode_Response_5","Oczu nie masz? Teraz, jak port jest nasz, czeka nas... eee...","",""
"1FEDC87645C61AF6F99EC7ACEF5E5354","CinematicNode_Response_5","Stryczek! Ruscy się przegrupują, to tu kamień na kamieniu nie zostanie. Ty nas w to wpakowałeś!","",""
"90348A184EF3A8CEC97A38A8851A5135","CinematicNode_Response_5","Zaraz ci tak przyłożę, że jeszcze raz obejrzysz te fajerwerki!","",""
"89B851D34216257F0B035BAFD3D46835","CinematicNode_Response_5","Jemu i magikowi! To przez nich! Brać ich!","",""
