"Hash","NodeName","PL","TR","Notes"
"413FE5854BC490B3E35FAE9EDF63367B","CinematicNode_Choice_0","Zapytaj o sytuację w mieście.","Şehirdeki durumu sor.",""
"9F10B10442F29B50BC6D19BAA6BDBA84","CinematicNode_Choice_0","Porozmawiaj z nim o przyjęciu.","Onunla davet hakkında konuş.",""
"25385EFC4F6405B44CDE0BAB95C3988E","CinematicNode_Choice_0","Porusz temat Zofii Skałon.","Zofia Skałon konusunu aç.",""
"AC85B4E142D8C575976205A985DE2F55","CinematicNode_Choice_0","Odejdź.","Çekil.",""
"DB8D5B5342D3CE93C7F1599F5E21DAF0","CinematicNode_Choice_0","1","1",""
"E2841D3E486DB13FDA049CBF15D1EA86","CinematicNode_Choice_0","2","2",""
"3DD5E9BA458AB342364D84A567630E11","CinematicNode_Choice_0","3","3",""
"5694D93B484D73FC2C0BAAB23A5516A8","CinematicNode_Choice_0","4","4",""
"9FAA9DC14F044A1E6ED38B8C5F2D1C61","CinematicNode_Choice_1","Odpowiedz, że jesteś tu z przyjaciółmi.","Burada arkadaşlarınla olduğunu söyle.",""
"40E548204649AA8EF8247AABC049754E","CinematicNode_Choice_1","Przyznaj, że przyszedłeś uczcić carewicza.","Çareviç'i kutlamaya geldiğini kabul et.",""
"121348614F74F135143176A4443EF3B0","CinematicNode_Choice_1","Powiedz, że jesteś tu z kimś ważnym.","Burada önemli biriyle olduğunu söyle.",""
"16BEF1C3438FA65DF40AA29C24E16E44","CinematicNode_Choice_1","1","1",""
"BF47DC92454116926D7999B19A059C21","CinematicNode_Choice_1","2","2",""
"927776D9481F05EE5BB18085045F5304","CinematicNode_Choice_1","3","3",""
"61469C3849A8067FD9930C9962CB5433","CinematicNode_Choice_11","Zapytaj, jak go rozpoznać.","Onu nasıl tanıyacağını sor.",""
"C70D41694A407F03E65CCBB3EF002368","CinematicNode_Choice_11","Zapytaj, czy jest niebezpieczny.","Tehlikeli mi diye sor.",""
"DE03F4BA47E67953E0955E9FF4E86498","CinematicNode_Choice_11","Zmień temat.","Konuyu değiştir.",""
"393EF5A4429177CB07F951B040B9AE35","CinematicNode_Choice_11","1","1",""
"4BCBBE444D5282650E16F0B2096F08E9","CinematicNode_Choice_11","2","2",""
"2BFDC5534B5E4B9F31BB2AA54FCAE375","CinematicNode_Choice_11","3","3",""
"A6A6AC20455AB9167C1DA896EACD07C0","CinematicNode_Choice_13","Skomentuj górę prezentów.","Hediye yığınını yorumla.",""
"B2C8ABFC4191366882FDC2BF8DC7CD2E","CinematicNode_Choice_13","Zapytaj, co podarował carewiczowi.","Çareviçe ne hediye ettiğini sor.",""
"1D660F6E444C32B80264CA95D7993DEA","CinematicNode_Choice_13","Powiedz, że wiesz, co podarował dziecku.","Çocuğa ne hediye ettiğini bildiğini söyle.",""
"6EDFB89F4EE70F0E22338496CD27077D","CinematicNode_Choice_13","Zmień temat.","Konuyu değiştir.",""
"0EA05C0A4A135DB4EA1BF0B6DE1CA4AB","CinematicNode_Choice_13","1","1",""
"7CD7B956478FDDAC2A73C2A8A0DEC95D","CinematicNode_Choice_13","2","2",""
"AAC0AF04495657B0E851728E6706278A","CinematicNode_Choice_13","3","3",""
"CCEA7B50462133E1A73AD283A1EFDE72","CinematicNode_Choice_13","4","4",""
"B44484A64D47234271CDEE84D0F95DDC","CinematicNode_Choice_19","Powiedz, że nie masz.","Olmadığını söyle.",""
"848966384B2A31F47FA51C8CB3B6763A","CinematicNode_Choice_19","Odmaszeruj.","Geri çekil.",""
"2D24105646B67B682D0754A8AEE04BF4","CinematicNode_Choice_19","1","1",""
"98D1644444007D92B4E2A49495282E23","CinematicNode_Choice_19","2","2",""
"64B4A41C4900B5BB44B93B9915CD4A37","CinematicNode_Choice_5","Zapytaj, co z thaumaturgami.","Tılsımkârlardan ne haber diye sor.",""
"77735AA548D908C54E0190AE396C0D96","CinematicNode_Choice_5","Zapytaj, co z PPS i innymi rewolucjonistami.","PPS ve diğer devrimcilerden ne haber diye sor.",""
"526F938D48124A38B0D7F9B867E8B8A8","CinematicNode_Choice_5","Zmień temat.","Konuyu değiştir.",""
"45EA348B4BBBEF9DE33936B66CB4B664","CinematicNode_Choice_5","1","1",""
"BE3AE6FD496C154D5AF22AB7260B6A18","CinematicNode_Choice_5","2","2",""
"0F60415145A24679DE7EEC9A165760E2","CinematicNode_Choice_5","3","3",""
"9770121C4B90DB4CAB525D8369C59DD6","CinematicNode_Choice_6","Zapytaj, czy uważa Rasputina za thaumaturga.","Rasputin'i tılsımkâr olarak görüyor mu sor.",""
"5BAE2B114CF6D32F9CD77EAA2D595400","CinematicNode_Choice_6","Zapytaj o jego bliskich.","Yakınları hakkında sor.",""
"612132DB43AE8074662FAABEC11AD21B","CinematicNode_Choice_6","Dodaj, że epidemia cholery to też wina magii.","Kolera salgınının da büyünün suçu olduğunu ekle.",""
"467505C244E40D18AFB2BF955E18E6F8","CinematicNode_Choice_6","Zapytaj o poszukiwanego, Wiktora S.","Aranan Wiktor S. hakkında sor.",""
"A3B02CEA48610664D9FBB38419559159","CinematicNode_Choice_6","Zmień temat.","Konuyu değiştir.",""
"B3DAE30D44F959E5290D13924E33952C","CinematicNode_Choice_6","1","1",""
