"Hash","NodeName","PL","TR","Notes"
"CEED1EB64103D73EA8ABCF991E922E34","lw_tailor_journal","Krawieckie rozterki","Terzice İkilemler","Görev başlığı"
"C073838D409073D8A84BC3AA33C79CE8","lw_tailor_journal","Krawiec zarzeka się, że jego umiejętności wykraczają daleko poza to, co może mi zaoferować w tej chwili. Potrzebuje jednak inspiracji, zebranych prosto z tętniących życiem, warszawskich ulic. Mam do niego wrócić, jeżeli znajdę coś godnego miana modowego trendu.","Terzi, becerilerinin şu an bana sunabildiğinin çok ötesine geçtiğine yemin ediyor. Gelgelelim ilhama ihtiyacı var; hayatla çarpan Varşova sokaklarından doğrudan toplanmış ilhama. Moda trendi adına layık bir şey bulursam ona dönmeliyim.",""
"86455F064DFFF6D6D44A398E266018B1","lw_tailor_journal","Czymże jest moda jak nie sposobem na przeniesienie snu w smutną rzeczywistość? Ten projekt realizuje marzenie o wyróżnieniu się spośród smutnego, szarego tłumu.","Moda, rüyayı hüzünlü gerçekliğe taşımanın bir yolundan başka nedir ki? Bu tasarım, kasvetli, gri kalabalıktan sıyrılma hayalini gerçekleştiriyor.",""
"56C79B774D5169238CA24FB6C461E71B","lw_tailor_journal","Za strojem można się również schować. Pokazać światu swoją odważniejszą, bardziej zdecydowaną i modną wersję. Ten wzór nada się do tego idealnie.","İnsan kıyafetin arkasına da saklanabilir. Dünyaya daha cesur, daha kararlı ve daha şık bir kendini göstermek için. Bu desen bunun için biçilmiş kaftan.",""
"DECF9EE94D12B6BB1FFDEA8D5A7E0E16","lw_tailor_journal","Niby nuda jest matką kreatywności, ale nic tak nie demotywuje i nie ustawia w szeregu jak nudny strój. Dlatego ten wzór nada sie doskonale do pobudzenia mocy twórczych. Weno płyń! ","Sıkıntı yaratıcılığın anası derler, ama sıkıcı bir kıyafet kadar hiçbir şey insanı boğmaz ve sıraya dizmez. O yüzden bu desen, yaratıcı güçleri harekete geçirmek için biçilmiş kaftan. Esin, akıver! ",""
"FAF82E2E4C0D59FDD0458ABDD603A5B7","lw_tailor_journal","Wreszcie coś na wieczór. Ten strój godny jest dandysa i bon vivanta. Abaurycy pęknie z zazdrości jak mnie w tym zobaczy.","Sonunda geceye yakışır bir şey. Bu kıyafet bir züppeye ve bon vivanta layık. Abaurycy beni bu halde görünce kıskançlıktan çatlayacak.",""
"A9883B624A2F73A0F491DC9A8C7E6B5E","lw_tailor_journal","Czasami trzeba porzucić tradycję i skupić się na tym co nowe. Nie Paryż i nie Rzym, ale Nowy Jork będzie dyktował trendy w przyszłych dekadach. Dostosuj się, albo giń.","Bazen geleneği bırakıp yeniye odaklanmak gerek. Ne Paris ne de Roma; gelecek on yılların trendlerini New York belirleyecek. Ya uy, ya kaybol.",""
"52D2DF524F659584CEE5209F1466DA65","lw_tailor_journal","Moda to ciągła zmiana, za którą podążają tylko najwytrwalsi. Ten strój pozwoli mi odnaleźć się w tym szykownym gronie.","Moda sürekli değişim demek; ardından yalnız en dayanıklılar gider. Bu kıyafet, beni o şık çevrede yerime oturtacak.",""
"1A566D47407CCA35C6C72AA237ED51A3","lw_tailor_journal","Ubranie, to ubranie nie ma co drążyć. Ma być wygodne, człowiek ma się w nim dobrze czuć i ta inspiracja to wyraża. Wystarczy.","Giysi, giysidir; kurcalayacak bir şey yok. Rahat olacak, insan içinde kendini iyi hissedecek; bu ilham da bunu anlatıyor. Yeter.",""
"029D5333400EB4AAE24B3D83DA97441C","lw_tailor_journal","Odnalazłem wzór, który stanowi syntezę polskiego marazmu i fatalizmu, z ciągłą nadzieją na lepsze jutro i dumą z utraconej historii. W punkt.","Polonya durgunluğunun ve kaderciliğinin, daha iyi bir yarın umudu ve yitirilmiş tarihten duyulan gururla sentezini yapan bir desen buldum. Tam on ikiden.",""
"D2B827254A1548867B2991B080D091AB","lw_tailor_journal","Może chwilowo obowiązki wiążą mnie z Warszawszą, ale wciąż mogę podróżować przy pomocy mody. Ten wzór zabierze mnie tam gdzie powietrze pachnie przyprawami, a słońce praży mocniej.","Sorumluluklar şimdilik beni Varşova'ya bağlıyor, ama moda yoluyla hâlâ seyahat edebilirim. Bu desen beni havanın baharatlarla kokulu olduğu ve güneşin daha sert kavurduğu yerlere götürecek.",""
"192DFAC9471F88489E5150B951D55E86","lw_tailor_journal","Są takie klasyki, które nawet po latach przyprawiają o miłe dreszcze. Strój w złocie i czerni jest jednym z nich.","Yıllar sonra bile hoş bir ürperti veren klasikler vardır. Altın ve siyahlı kıyafet bunlardan biri.",""
"94C3BFE842FF7DB423CEDBB7A6C2DD5A","lw_tailor_journal","Mam wszystko czego potrzebuję, czas wrócić do krawca.","İhtiyacım olan her şey elimde, terziye dönme vakti.",""
"0283A7CD4981DF3D57A3289C91BC1D07","lw_tailor_journal","Powiedziałbym, że wstyd sie przyznać, ile mam strojów, ale byłoby to kłamstwo. Nie wstydzę się wcale, pękam z dumy!","Kaç kıyafetim olduğunu itiraf etmek utanç verici derdim, ama yalan olurdu. Hiç utanmıyorum, gururdan çatlıyorum!",""
"6DD9180344A438E3F607F687B704E3EE","lw_tailor_journal","Odszukaj krawieckie inspiracje","Terzice ilhamlar ara","Quest objective"
