"Hash","NodeName","PL","TR","Notes"
"F668300848D86882DC7AEEAB4F394C37","CinematicNode_Choice_0","Powiedz, że za często.","Çok sık olduğunu söyle.",""
"C476DABC480B647EAB1382B1895F83F6","CinematicNode_Choice_0","Przyznaj, że to dopiero drugi raz.","Daha ikinci kez olduğunu kabul et.",""
"EEB0F33E4F61006E654D5FA1BAC49D37","CinematicNode_Choice_0","1","1",""
"779CA3884A33FA4E0F8C54BEBEB248A1","CinematicNode_Choice_0","2","2",""
"8DBE4A23434846A74E70E085ED15CDF2","CinematicNode_Choice_2","Jedź z Ligią na Mirów.","Ligia'yla Mirów'a git.",""
"E0BCD6CF47453DE0411DADB6462E49AA","CinematicNode_Choice_2","Poproś o wstęp do rodzinnego sklepu.","Aile dükkânına girmek için izin iste.",""
"1E58616E4AC661E30F30E78AC5AE910D","CinematicNode_Choice_2","Powiedz, że śnił ci się ojciec.","Rüyanda babanı gördüğünü söyle.",""
"6B589A5946051EDF7A70EBB4C9B8A1CF","CinematicNode_Choice_2","Zapytaj, czy w gazecie pisano coś o Porcie Praskim.","Gazetede Praga Limanı hakkında bir şey yazılıp yazılmadığını sor.",""
"3BCCCC0E44A63A9306DC38AED52876B2","CinematicNode_Choice_2","Odejdź.","Ayrıl.",""
"7F98E78E4A040D0E21B39285CEE02D91","CinematicNode_Choice_2","1","1",""
"BBA3FA144A8FC74E401818953DE5675F","CinematicNode_Choice_2","2","2",""
"C4F96E394A28D10E2B621B92BA167AAE","CinematicNode_Choice_2","3","3",""
"FB9FECDE4AA0510EB762C686816C30EC","CinematicNode_Choice_2","4","4",""
"5D877026468A1CCF7391B6A42AD7B129","CinematicNode_Choice_2","5","5",""
"0A7910644D5682117FBFC780CE293AC2","CinematicNode_Choice_3","Przeproś za swoje wczorajsze zachowanie.","Dünkü davranışın için özür dile.",""
"85DB66BB4AA98979964C02BE5478776B","CinematicNode_Choice_3","Powiedz, że znasz to spojrzenie.","O bakışı tanıdığını söyle.",""
"DCFC185E46141B5923835FA2453E715B","CinematicNode_Choice_3","Zmień temat.","Konuyu değiştir.",""
"B8A3F3B24BC2368DCDA821B46364D17F","CinematicNode_Choice_3","1","1",""
"F133D5964843564EBC0B3EA96B333B75","CinematicNode_Choice_3","2","2",""
"C29EE4D44F1522CCE876D4ACACD04CC0","CinematicNode_Choice_3","3","3",""
"9C00EF1A4EA9314C30AFA6A320DA9C74","CinematicNode_Choice_4","Powiedz, że jesteś tego pewien.","Bundan emin olduğunu söyle.",""
