"Hash","NodeName","PL"
"F668300848D86882DC7AEEAB4F394C37","CinematicNode_Choice_0","Powiedz, że za często."
"C476DABC480B647EAB1382B1895F83F6","CinematicNode_Choice_0","Przyznaj, że to dopiero drugi raz."
"EEB0F33E4F61006E654D5FA1BAC49D37","CinematicNode_Choice_0","1"
"779CA3884A33FA4E0F8C54BEBEB248A1","CinematicNode_Choice_0","2"
"8DBE4A23434846A74E70E085ED15CDF2","CinematicNode_Choice_2","Jedź z Ligią na Mirów."
"E0BCD6CF47453DE0411DADB6462E49AA","CinematicNode_Choice_2","Poproś o wstęp do rodzinnego sklepu."
"1E58616E4AC661E30F30E78AC5AE910D","CinematicNode_Choice_2","Powiedz, że śnił ci się ojciec."
"6B589A5946051EDF7A70EBB4C9B8A1CF","CinematicNode_Choice_2","Zapytaj, czy w gazecie pisano coś o Porcie Praskim."
"3BCCCC0E44A63A9306DC38AED52876B2","CinematicNode_Choice_2","Odejdź."
"7F98E78E4A040D0E21B39285CEE02D91","CinematicNode_Choice_2","1"
"BBA3FA144A8FC74E401818953DE5675F","CinematicNode_Choice_2","2"
"C4F96E394A28D10E2B621B92BA167AAE","CinematicNode_Choice_2","3"
"FB9FECDE4AA0510EB762C686816C30EC","CinematicNode_Choice_2","4"
"5D877026468A1CCF7391B6A42AD7B129","CinematicNode_Choice_2","5"
"0A7910644D5682117FBFC780CE293AC2","CinematicNode_Choice_3","Przeproś za swoje wczorajsze zachowanie."
"85DB66BB4AA98979964C02BE5478776B","CinematicNode_Choice_3","Powiedz, że znasz to spojrzenie."
"DCFC185E46141B5923835FA2453E715B","CinematicNode_Choice_3","Zmień temat."
"B8A3F3B24BC2368DCDA821B46364D17F","CinematicNode_Choice_3","1"
"F133D5964843564EBC0B3EA96B333B75","CinematicNode_Choice_3","2"
"C29EE4D44F1522CCE876D4ACACD04CC0","CinematicNode_Choice_3","3"
"9C00EF1A4EA9314C30AFA6A320DA9C74","CinematicNode_Choice_4","Powiedz, że jesteś tego pewien."
"DF53C21E4487540BFDF6489C3B32EF97","CinematicNode_Choice_4","Nie chcesz niczego przesądzać."
"38AB04584F790963E1F5E79C02B02B3C","CinematicNode_Choice_4","1"
"B0D746A44A87B61B547E4181BA4B4611","CinematicNode_Choice_4","2"
"7B5CC41842B3D0A9F2B5C2B232765456","CinematicNode_Response_0","Wstało w końcu, dziecię nocy."
"A5D6D6E44A6DF55E434675843E16D546","CinematicNode_Response_0","Napij się kawy, rano Grażynka parzy mocną."
"1A936F554AC64A65C59AE897024815CC","CinematicNode_Response_1","Wczoraj byłem bardzo zmęczony. Słabo spałem."
"71FB412E463813576A30C89304BE9732","CinematicNode_Response_1","Rozumiem."
"339CC7DE42535069CD49839A63202F06","CinematicNode_Response_10","Pisali coś o praskim porcie?"
"346785264D0F4BA772ED58AE5855B9EC","CinematicNode_Response_10","Zwracałam na to szczególną uwagę, jeszcze nie."
"F25C471540975257BD79DAA8F7F3A0E0","CinematicNode_Response_11","Muszę to wszystko jakoś poskładać. Znajdę cię później w sklepie."
"CC7D047C42E4E2739DFFA9BDA5C637F8","CinematicNode_Response_11","Nie zjesz niczego?"
"851B59D34725448F6DEDB49E9D446BF0","CinematicNode_Response_11","Nie mam apetytu."
"8CEA50AE44DFD4D6FCA0C89FDFF8EDB0","CinematicNode_Response_12","Śnił mi się ojciec."
"599C4996437366A292032194FDC34422","CinematicNode_Response_12","Mnie też, zaraz po śmierci. Uspokajał mnie moją ulubioną kołysanką."
"767D746442B5808417666E958AE1EFC3","CinematicNode_Response_12","Mnie najpierw obrażał, a potem jego twarz zalała się krwią."
"0F63D72B4E74DF3F5342848560ED3633","CinematicNode_Response_12","Bardzo zabawne. Często widzisz go w snach?"
"266B9B6340308CD8D9443599E0537A0B","CinematicNode_Response_13","Tak, braciszku?"
"31CC51704402C9B0875A65961F746541","CinematicNode_Response_14","Co zatem zrobimy z tak rozpoczętym dniem?"
"D7A80334447B33DF8BAEC284F206709B","CinematicNode_Response_15","Chyba że wciąż się kłócimy?"
"100613A0495F1307036F628B1AC72FF8","CinematicNode_Response_16","Ciężko będzie ukryć takie zniszczenia. Obawiam się, że wkrótce odnajdą tam też kilka trupów."
"F9E4C16D453854BB1F22B1AD8068A15C","CinematicNode_Response_17","Wczoraj te wszystkie rewelacje trochę mnie przytłoczyły. Przepraszam."
