"Hash","NodeName","PL"
"1E625E894C791B531B0555863E5E560F","CinematicNode_Choice_2","Poproś, żeby przeszedł do rzeczy."
"AFC008184D57F584E76BCC9F14C621F5","CinematicNode_Choice_2","Wysłuchaj notariusza w milczeniu."
"0D2BEDBF4F2FC153EA95A6AC2BF692B3","CinematicNode_Choice_3","Pogratuluj obojgu, powiedz, że poczekasz w kuchni."
"0C8500C24A5C7140244A9B86B1E92C28","CinematicNode_Choice_3","Czekaj na koniec ceremonii."
"82217A9D4EF1403CD5A3239FD98ED80B","CinematicNode_Choice_3","Zapytaj, czy matka coś dostanie."
"07E3ABE8403FB7D3CEF80880097CD447","CinematicNode_Response_13","Ostatnia wola pana Szulskiego została sporządzona już kilka lat temu, w obecności notariusza Zacława Fiedorowa, czyli mojej."
"9E7DA61145469D80F47F4A801764332F","CinematicNode_Response_13","""Ostateczna wola moja, roku pańskiego tysięcznego osiemsetnego osiemdziesiątego ósmego spisana."""
"85D52E584697F84F2D179DB538D7E992","CinematicNode_Response_13","""W Imię Świętej Trójcy. Amen!"""
"6983C9DA49DD70D1AD79FBA5DD4C9652","CinematicNode_Response_14","Przepraszam, ale moglibyśmy przejść do konkretów?"
"3A0F241246D3F8333EA757BB3CDA12F5","CinematicNode_Response_14","Wiktor."
"E5EB38E643790DD8D33B39919A984E5D","CinematicNode_Response_14","Chyba wszyscy chcemy zająć się bardziej doczesnymi sprawami, prawda?"
"EB8718BC4E47E27A5D5744ADC547D127","CinematicNode_Response_14","W zasadzie..."
"728741F64ADB9CA6A2B386AD09C81D10","CinematicNode_Response_14","Byłby pan łaskaw?"
"0F288CD5401DC141E18851A79901FC00","CinematicNode_Response_14","Oczywiście... O! Tutaj. "
"D8D9D61E488A2A6D760FB5B45F0E4984","CinematicNode_Response_15","""Chcę również przyjść w pomoc mojemu jedynemu synowi, Wiktorowi Szulskiemu..."""
"BDDC73CE443CE01564DDF6902B4102A6","CinematicNode_Response_15","""...jemu powierzając w użytkowanie mój osobisty Czarny Grymuar."""
"6DA99AC8477CD7109B3B0391FC830C56","CinematicNode_Response_16","""Pierwszą zatem i nieodwołalną wolą moją jest ustanowienie egzekutorką tego testamentu córki mojej, Ligii Szulskiej..."""
"FB027EBC48D757BD657DEC887E633F4F","CinematicNode_Response_16","""Zaraz po śmierci mojej niechaj będzie spisanym inwentarz z całą formą przez prawo przepisaną."""
"08533FB4418C6932DEDCBFAD8263B555","CinematicNode_Response_16","""Po ukończeniu inwentarza, wszystkie osobiste ruchomości moje przez publiczną licytację sprzedane zostaną..."""
"0D233BDA4D2ED84D2A55D7B087B6C912","CinematicNode_Response_16","""...a pieniądze tak zebrane, w rocznicę mojej śmierci pod cmentarzem żebrzącym niech ofiarowane będą."""
"0A0203DE4E369BFB132F7B8BCDC954D6","CinematicNode_Response_16","""Administrację pozostałej części majątku mego, nieograniczenie w osobie córki mojej, Ligii, pozostawiam."" "
"223D57E749B1E439A68CEAB0B2EA8897","CinematicNode_Response_16","Ja nawet łyżeczki nie dostanę?"
"A4DD79A3418E48A19ECA63A09EFFCB5C","CinematicNode_Response_17","""Życzyłbym sobie, żeby robione interesy były nieduże, nieryzykowne i uczciwe, takie, jakie ja przez całe życie robiłem."""
"B9CE5298484E2C2AF282558564558E8F","CinematicNode_Response_17","Kawalarz do samego końca."
"FCA025A34819712E9439AAB4A94284D3","CinematicNode_Response_18","Rzecz jasna, że tak. A jaki, jeżeli mogę spytać?"
"5EE689CE44CD3C4500CA9995C8E8533D","CinematicNode_Response_18","Nie jestem w dyspozycji owego grymuaru. Pan Stanisław posługiwał się nim aż do swojej śmierci. Nikt jednak go u mnie po jego zgonie nie zdeponował."
"4412BBC14E127FCD4E00E9A0C3CB02D5","CinematicNode_Response_18","Czyli...? Zniknął?"
"402B7A2B4A43A2F14CA15ABDF44283CB","CinematicNode_Response_19","Udanego biznesu i udanych polowań. Przekąszę coś i będę się zbierał."
"E5E0E5E841C315F94C03A0B20DA671E8","CinematicNode_Response_19","Proszę jeszcze chwilę wytrzymać, panie Szulski. Pana imię również zostało tutaj ujęte."
"8297BC4F46FE6ED17F617C8E00C6580E","CinematicNode_Response_19","Nieoczekiwany zwrot akcji na sam koniec."
"240EAA3B4D738489DE9A038791C051B6","CinematicNode_Response_20","""Z nadzieją, iż teraz dobry użytek będzie potrafił z niego uczynić. Taka jest ostatnia wola moja. Wykonajcie ją święcie, choćby Wam się ona uciążliwą zdawała."""
"C2B41774468F64549ADEBEA4103F1B3E","CinematicNode_Response_20","Z tym ostatnim zapisem jest jednak pewien problem..."
"2842CCA84DDE8803E3BC039B6C6820E5","CinematicNode_Response_21","Panie Zacławie, a co tata zapisał mamie?"
"8194E03A440692D19FC48A981EB65E01","CinematicNode_Response_21","Wiktor, przestań błaznować."
"7055E53B474993F457DCCDB3BFE8C289","CinematicNode_Response_21","Nic. Jest specjalny zapis świadczący o zdecydowanym braku zapisu czegokolwiek dla..."
"0405793B4F19DD863511F9B373CC679E","CinematicNode_Response_21","""...byłej małżonki mojej, pani Nadii Fiodorownej Woronin."""
"A1E2F4BE41D13CE67127609856D9CE8F","CinematicNode_Response_22","""Mojemu szwagrowi i najtrwalszemu przyjacielowi, Aleksandrowi Woroninowi, zostawić pragnę, co następuje."""
"FFF7A31845640192B7F2D5B535F746FD","CinematicNode_Response_22","""Kolekcję muszkietów i dwa rewolwery, z powstania jeszcze, dla pamięci naszego pierwszego spotkania."""
"3AFA3F4040EA3F1919D34CA0D180DB4B","CinematicNode_Response_22","Stasio... Będę miał co robić na emeryturze."
"EA7B920247D9CDA737731F82D57C5807","CinematicNode_Response_22","Udanej emerytury."
"895CD5ED417717EBFA8AB1ACCFC898A3","CinematicNode_Response_23","Zaczynajmy, jeśli wszyscy są gotowi. Może państwo usiądą?"
"675F63444B2A03AE5CC90DB435567071","CinematicNode_Response_23","Szanowni państwo. Mocą mojego urzędu, nadaną mi z łaski Jego Cesarskiej Mości Imperatora Wszechrusi, zaświadczam..."
"69D0E8014E5D2EAD09FD948F835133E1","CinematicNode_Response_24","<i>Pardon</>, ale musiałem ugasić pragnienie."
"3253AB954FED46114230C9ABD725E34E","CinematicNode_Response_24","Samotnie, niestety."
"0B7ED949493C293B54F9A79970DC0669","CinematicNode_Response_24","Nie dałem rady."
"6DC30DB74C6B8A8EC03BB1BA5E015396","CinematicNode_Response_24","Proszę nie zwracać na nich uwagi."
"076ACB4B4EBB7C54F6F65695E11FBC75","CinematicNode_Response_25","""Wszystkie ruchomości i nieruchomości, z rodzinnym przedsiębiorstwem związane, w administrowanie i pieczę mojej córce powierzam. Sposobu administrowania jej nie przypisuję, jedną tylko daję radę."""
