Hash,NodeName,PL,TR,Notes
50B4A1C445626C0A8A30A0B8D670E8A8,CinematicNode_Choice_0,"Zapewnij, że wszystko jest dobrze.",Her şeyin yolunda olduğuna güvence ver.,
22A6DA424B84D41A397C66B33703F2F2,CinematicNode_Choice_0,Nic nie mów.,Bir şey söyleme.,
9DA7A78349E6D0A8F3B5DF816307E1D6,CinematicNode_Choice_1,Opowiedz im o Cytadeli.,Onlara Sitadel'i anlat.,"Cytadela = Sitadel (glossary)"
CF869B80484561D843F1B096B2009E7D,CinematicNode_Choice_1,"Oznajmij, że odzyskałeś Czarny Grymuar.",Kara Grimuar'ı geri aldığını duyur.,"Czarny Grymuar özel eşya adı — büyük harf"
55BC55D94F42492A5CE4A095D4459A47,CinematicNode_Choice_1,Dopytaj o sytuację na ulicach.,Sokaktaki durumu sor.,
1B47F6FF40130CE0542C3DADEF7FB2D5,CinematicNode_Choice_1,Pożegnaj się.,Vedalaş.,
4F9868BE42CFB8F76FC10BAD79B97785,CinematicNode_Choice_2,"Powiedz, że to dzięki talentowi.",Yetenek sayesinde olduğunu söyle.,
C4ED19C4456DCF8C10ED72BC048A9B2A,CinematicNode_Choice_2,"Nadmień, że Samira ci nieco pomogła.",Samira'nın biraz yardımcı olduğunu hatırlat.,
6885B6854BA0A0DC218F2CB09274E083,CinematicNode_Choice_2,"Przyznaj, że uratowali cię członkowie podziemia.",Seni yeraltı üyelerinin kurtardığını kabul et.,
4EBF7809482B41F24955DC98259A63CF,CinematicNode_Choice_3,"Powiedz, że to był przypadek.",Bir tesadüf olduğunu söyle.,
CC153AAE4E593636696AEFA489BCED38,CinematicNode_Choice_3,"Powiedz, że Konieczkin się uwziął.",Konieczkin'in senin peşine düştüğünü söyle.,
2E699F514320FFC838DD658BE7D31F81,CinematicNode_Choice_3,"Powiedz, że to nie ma znaczenia.",Önemli olmadığını söyle.,
616D5E754CAF95EBDB411ABF311AAE62,CinematicNode_Choice_4,"Wyznaj, że Konieczkin ma zamiary wobec Ligii.",Konieczkin'in Ligia'ya dair niyetleri olduğunu itiraf et.,
1763EEF540B2B41B117657873A741C21,CinematicNode_Choice_4,"Powiedz, że sobie tego nie wymyśliłeś.",Bunu kendin uydurmadığını söyle.,
D6A14A234EBB5863AE4FBCB2C694A443,CinematicNode_Choice_4,"Powiedz, że to on miał Czarny Grymuar.",Kara Grimuar'ın onda olduğunu söyle.,
2E5CEF4C46E8D57382906ABABEE0E529,CinematicNode_Choice_5,"Wyznaj, że Konieczkin go miał.",Konieczkin'in ona sahip olduğunu itiraf et.,
F988369842F8C3F0AC6AEAB226E65C3E,CinematicNode_Choice_5,Zbyj pytanie.,Soruyu geçiştir.,
D2E67EB5435D6A13C718A795315AE41F,CinematicNode_Choice_6,"Powiedz, że nie masz czasu do stracenia.",Kaybedecek vaktin olmadığını söyle.,
53DA39624956677A29082B88DF5ED830,CinematicNode_Choice_6,"Zapewnij, że nic ci nie będzie.",Sana bir şey olmayacağına güvence ver.,
ED302A2B45C72F9EACC5CBB2FC84E5A5,CinematicNode_Choice_6,Nic nie mów.,Bir şey söyleme.,
ED88B9B448F58623864AD79F281166A9,CinematicNode_Choice_7,"Powiedz, że nie widzisz związku.",Bir bağlantı görmediğini söyle.,
D77EF14548007ABF6B6D8DB5D96E1627,CinematicNode_Choice_7,"Zapewnij, że to naprawisz.",Bunu düzelteceğine söz ver.,
14C428374C164E763B73DE94E2389218,CinematicNode_Response_0,Nic mi nie jest. Naprawdę.,Bir şeyim yok. Gerçekten.,
63FF2BD34E3953616E2816A59286FC5A,CinematicNode_Response_1,...,…,"Üç nokta — duraklama"
CED606AB495F61931FEFE5B332622D47,CinematicNode_Response_1,...,…,
0F525A84461CE3D4923F0088B026E911,CinematicNode_Response_10,"Na mnie też już pora. Dbajcie o siebie, dzieciaki. Uważaj na siebie, Wiktor.","Benim de gitme vaktim geldi. Kendinize iyi bakın, çocuklar. Sen de kendine dikkat et, Wiktor.",
3D08885D45770EEFA60BAFBA2282D105,CinematicNode_Response_11,"Proszę, bądź ostrożny.",Lütfen dikkatli ol.,
C44CEAC44804B1D72CA7A89AA67BE41B,CinematicNode_Response_12,Właśnie uciekłem z Cytadeli.,Az önce Sitadel'den kaçtım.,
C04400CE48045B9F37025B98E07CF7D5,CinematicNode_Response_13,"Odzyskałem to, co mi się należało. Czarny Grymuar wreszcie jest mój.",Hakkım olanı geri aldım. Kara Grimuar nihayet benim.,
FB935E304EFED95EEE373584EE557934,CinematicNode_Response_13,"Zuch chłopak. Stasio byłby z ciebie dumny, naprawdę.","Aferin oğlum. Stasio seninle gurur duyardı, hakikaten.","Stasio = Stanisław'ın samimi biçimi; korunur"
4D10724B42B472A8086A96A5D8CC5D38,CinematicNode_Response_14,"Po drodze spotkałem takich, którym wyjątkowo nie podoba się thaumaturgia.",Yolda tılsımkârlıktan pek hoşlanmayan bazılarıyla karşılaştım.,
DE087BF44FFE9F72051942846FC8B897,CinematicNode_Response_16,Pomogła mi koleżanka po fachu.,Meslektaşım bir hanım yardım etti.,
608BDFDC4C7AF931656BF68ABB3EA534,CinematicNode_Response_16,Sama Madame Samira.,Bizzat Madam Samira.,
8BB8A286493AE9A49DE8D8BB3F6EFD2A,CinematicNode_Response_17,Co takiego?,Ne dedin?,
B125CE504991E22FC586729B5C74E2B2,CinematicNode_Response_18,Chyba źle usłyszałam.,Galiba yanlış duydum.,
F67560354F497BCDD2D0EC99E1B53636,CinematicNode_Response_2,"I mówisz chłopcze, że uciekłeś z niemożliwej twierdzy? Jak?","Delikanlı, alınmaz kaleden kaçtığını mı söylüyorsun? Nasıl?",
C89ADE5A45A21F1422B52D8FA0CEA665,CinematicNode_Response_22,"Nie udało by mi się, gdyby nie wsparcie lokalnej komórki podziemia.",Yerel yeraltı hücresinin desteği olmasa başaramazdım.,
75A4C53540D55C405BC13DBE662C94A5,CinematicNode_Response_22,"PPS wyciągnął cię z Cytadeli? Co oni tam robili? Albo wiesz, co? Nie mów mi.","PPS seni Sitadel'den mi çıkardı? Orada ne arıyorlardı? Ya da biliyor musun ne, söyleme.","PPS = Polonya Sosyalist Partisi, kısaltma korundu"
CB77D67E4DD453308DBB21BA74CF2EC7,CinematicNode_Response_22,"Uważaj na nich, chłopcze. Wujek ci dobrze radzi.",Onlardan sakın oğlum. Amcan iyi öğüt veriyor.,
7111C37443B40F35772DFFA08B39B6EB,CinematicNode_Response_23,Z jakiego powodu się tam w ogóle znalazłeś?,Hangi sebeple oraya düştün ki?,
06965AF34F29E7932893299B4B68082E,CinematicNode_Response_24,"Mam przeczucie, że naczelnik Ochrany, Iwan Konieczkin, tylko czekał na okazję.","İçimden bir his, Okhrana amiri Iwan Konieczkin'in sadece fırsat kolladığını söylüyor.","Naczelnik = Amir (glossary); Okhrana = Rus gizli polisi"
5EE48CBD4BC61CEE1664328FBF7707FF,CinematicNode_Response_24,"Naczelnik? Wiktor, to są poważne oskarżenia.","Amir mi? Wiktor, bunlar ağır ithamlar.",
5AE8156F409A23F2917283ABC24F49FB,CinematicNode_Response_25,"To nie ma znaczenia, wujku.",Önemi yok amca.,
8FD8F12546B6D78FEDF44694450F4996,CinematicNode_Response_26,"Wiem, że ma też plany wobec Ligii. Uważa, że jesteś dla niego dobrą partią.","Ligia'ya dair de planları olduğunu biliyorum. Senin onun için iyi bir kısmet olduğunu düşünüyor.","Dönem deyim: 'dobra partia' = iyi kısmet/evlilik partisi"
0EFDDDFF4275DE5D9697A99E1CFEEA76,CinematicNode_Response_26,Niedorzeczne. Przecież ja nigdy...,Saçmalık. Ben asla…,
22CC7FFD45514CC0E24128B66A88A2FF,CinematicNode_Response_27,"Odkąd wróciłem, Konieczkin mnie obserwuje, lub miesza się w moje sprawy.","Döndüğümden beri Konieczkin ya beni gözlüyor ya da işlerime karışıyor.",
5EFC728248ED099A8637A4AC26FAF8C8,CinematicNode_Response_27,"Tak, jak trzymał się blisko ojca.",Tıpkı babamın yanından ayrılmadığı gibi.,
8137A76C4D7326C2786E60BF41B31B5E,CinematicNode_Response_28,"Ciekawe, co mogło mu poddać tę myśl? Może to, że prosiłaś go o przysługi?",Merak ediyorum bu fikri ona ne vermiş olabilir? Belki de ondan iyilik istemiş olman?,
A0A192FC42E2A4F6D55B6F8E816ADD48,CinematicNode_Response_29,"O, więc to moja wina, że Konieczkin nagle dostał <i>pomysłów</>?","Ya, yani Konieczkin'in birden <i>fikirlere</> kapılması benim suçum mu?",
1F9988C2480901ED98B12898BF65B2C7,CinematicNode_Response_29,"Dzieci, nie czas na kłótnie.","Çocuklar, kavga zamanı değil.",
5F108191405AAE1268BC828751E2F3BB,CinematicNode_Response_3,"Chłopcze, twoja siostra jest tak zdeterminowana, że sama chciała zaprowadzić porządek na ulicach.","Delikanlı, kız kardeşin öyle kararlı ki sokaklarda düzeni tek başına sağlamaya kalkıştı.",
F6F770F740521AA4182F4CA723C1A25D,CinematicNode_Response_30,...,…,
187AEA2243F82DD0DC853AA8F750EAD1,CinematicNode_Response_31,"To długa opowieść. I dość zawiła. Ważne, że wrócił tam, gdzie jego miejsce.","Uzun bir hikâye. Hem de epey dolambaçlı. Önemli olan, ait olduğu yere döndü.",
B1DBA3AA4937B4D4387E5F867C034B2F,CinematicNode_Response_32,"Przez ten cały czas, Czarny Grymuar spoczywał na biurku Iwana Konieczkina.",Onca zaman boyunca Kara Grimuar Iwan Konieczkin'in masasında duruyordu.,
49A0F23848C9F625F3EABAB295AD7616,CinematicNode_Response_33,Jak tego dokonałeś?,Bunu nasıl başardın?,
0042FCBC4C6FFE049811B8AE9BB36E89,CinematicNode_Response_34,"Czy... to ma jakiś związek z wizytą w Cytadeli?",Bu… Sitadel ziyaretiyle bir bağlantısı var mı?,
787D793A4831BF587D58BBBF184A250D,CinematicNode_Response_35,"Wąż. Mam go teraz ochotę zabić, wiesz?","Yılan herif. Şu an onu öldüresim geldi, biliyor musun?",
21F3FA1E4D28A1FA3C373285C9DD6C89,CinematicNode_Response_35,"Córuś, nie rzucaj słów na wiatr. Zwłaszcza takich.","Kızım, sözü havaya savurma. Hele de böylesini.",
C64AFAA94E55A9CB866B11924E20A832,CinematicNode_Response_36,I przez ten cały czas...,Onca zaman boyunca…,
72894E7D4F457F8D08E8D4AED464E252,CinematicNode_Response_36,"Owszem, bawił się nami, patrzył jak się wijemy.","Evet, bizimle oynadı, kıvranmamızı izledi.",
EC55E7B844207ADC9B56DAB33329439D,CinematicNode_Response_38,Gorąca głowo. Gdzie znów pędzisz?,Ateşli kafa. Yine nereye koşuyorsun?,
FAFB4D1C4A9084DA818525B78FE4DE4B,CinematicNode_Response_39,Tylko thaumaturgowi mogło się to udać.,Bunu ancak bir Tılsımkâr başarabilirdi.,
