"Hash","NodeName","PL"
"6092D38D4702B09164812BA9000A2CE6","CinematicNode_Choice_10","Nawiąż do tematu śledztwa."
"3599E7FC4A8F9993A2C7729C33B42CF9","CinematicNode_Choice_10","Dowiedz się więcej o studiach."
"90D4ED4345F5AB06F8E23E85259F77B2","CinematicNode_Choice_10","Zapytaj o Dicksteina."
"2F50C4EC4A0BE7C32B40C5A8F9CE21D6","CinematicNode_Choice_10","Odejdź."
"452ECFA943253D8E4ABAD68CFCDA6287","CinematicNode_Choice_10","1"
"36288D9D49A3CE56CD6142B73580C77E","CinematicNode_Choice_10","2"
"28CBBD6C4568273FA31437906EC6EF77","CinematicNode_Choice_10","3"
"15DFFB98450066AC45F0A1934CBD4751","CinematicNode_Choice_10","4"
"988A81864EC1C2B8CD852C861AA4E295","CinematicNode_Choice_11","Przyznaj, że się spóźniłeś."
"CFF2FD234E06EDAE6BE86A80865231F0","CinematicNode_Choice_11","Wykręć się pochlebstwem."
"19E36A354B3CE5F8CD76E7ADD3A00230","CinematicNode_Choice_11","Zacznij zmyślać."
"EE1FD3DD4D770403C3713484E4E1ECD0","CinematicNode_Choice_11","1"
"148C3DEC4F7F8796D5A2FC9D4FC6F58F","CinematicNode_Choice_11","2"
"9A68F5F3470A0DDCFB0DF4908D5892F9","CinematicNode_Choice_11","3"
"05BAC80F4455C1ED57E771ACC8CE1CEC","CinematicNode_Choice_12","Zapytaj, skąd nazwa."
"D1F16208472842DAC2C0B389E0DFF221","CinematicNode_Choice_12","Zauważ, że to nielegalne."
"D0CB8D234739822C63EF5EB7265B246F","CinematicNode_Choice_12","Zapytaj o słynne absolwentki."
"B94BAE3646E21BEBA43F4EA41AD2EB82","CinematicNode_Choice_12","Zmień temat."
"1A1C508842972D10203E76B4700DF144","CinematicNode_Choice_12","1"
"FB2F66924E71A06ADD6546960D3C93C2","CinematicNode_Choice_12","2"
"4A9B45F14B9A7C49334988BB5DF5399B","CinematicNode_Choice_12","3"
"F2ED9A0D40369E14E3192AB66DA6FD16","CinematicNode_Choice_12","4"
"BDDC44544D7B890E16459D8EBBCCAF74","CinematicNode_Choice_13","Zgódź się."
"51911B344629E21CC3DD93BA49B6930E","CinematicNode_Choice_13","Bądź sceptyczny."
"30F76AAF4229A62F9A007CBE9AB324F3","CinematicNode_Choice_13","1"
"91DD21E24C834FBCE221BC9C0DE6C1C5","CinematicNode_Choice_13","2"
"84526F1B4A61ECFD767AB98B33C31366","CinematicNode_Choice_7","Zapytaj, co Ligia mówiła o tobie."
"E97E4F6A495C8F38082C0B95A6C29CD0","CinematicNode_Choice_7","Dowiedz się więcej o uniwersytecie."
"061D75BB42F7DF4E92C56C8BF199AA99","CinematicNode_Choice_7","Odnieś się do wykładu Ligii."
"BD3E70E3431469403EFF26AB2B36F367","CinematicNode_Choice_7","Pożegnaj się."
"8D8FF9504E825FCCED038F911D5BE8C5","CinematicNode_Choice_7","1"
"4492AC0E4B349EEA8B8C3BA93B8FB3D0","CinematicNode_Choice_7","2"
"E6B2616D48DD70BFD71552AC3089E388","CinematicNode_Choice_7","3"
"2A0E0D8E4F4207E76AC0EFA21098CFE0","CinematicNode_Choice_7","4"
"93A2B67B451607C8AD5F78848D502611","CinematicNode_Choice_8","Zapytaj, czy wykładają tu thaumaturgię."
"BE7980B64DA1799CDEE6DDB227E90349","CinematicNode_Choice_8","Powiedz, że jesteś praktykiem."
"287521514995C21113A8FC914207C53D","CinematicNode_Choice_8","Opowiedz pokrótce o podróżach."
"9C9231124FD6E241E7B97C98F9AB0D28","CinematicNode_Choice_8","Zmień temat."
"676BF4FA4859B940DEFD28863C702D85","CinematicNode_Choice_8","1"
"0CE8C13C4736CC94A774838A4360B3BF","CinematicNode_Choice_8","2"
"80F06E69493B25A54814968009CAA2CD","CinematicNode_Choice_8","3"
"E06EB4F34CAE30460C5EA3B40A92F01D","CinematicNode_Choice_8","4"
"C5F1C38C4C5AD5D056477CB6F6FF852B","CinematicNode_Choice_9","Przywitaj się z galanterią."
"EAFA24AF48490F2D6C3A05A389FA6D31","CinematicNode_Choice_9","Powiedz, że to nie ty."
"31BFAB4A45E4DBEE8DB0009A996B2ED1","CinematicNode_Choice_9","1"
"8E9345F44424888F527250A1001E4387","CinematicNode_Choice_9","2"
