Key,PL,TR,Notes
ChainsDescription,"Umiejętność stanowi część <tag>Sekwencji</> - ciągu ataków, które, wykonywane jeden po drugim, zadadzą wrogom dotkliwsze rany. Elementy <tag>Sekwencji</> możesz wykupić na drzewku rozwoju.","Yetenek, <tag>Zincirin</> parçasıdır — art arda uygulandığında düşmana daha ağır yaralar açan saldırı dizisi. <tag>Zincir</> öğelerini gelişim ağacından satın alabilirsin.",
ChangeActiveUnit,"Możesz przeglądać umiejętności zarówno swoje, jak i salutora. Pozwoli ci to zaplanować każdy atak.","Hem kendi hem de salutorun yeteneklerini inceleyebilirsin. Bu her saldırıyı planlamanı sağlar.",
ChangingPosition,"Oddaleni wrogowie potrzebują jednej rundy, aby się do ciebie zbliżyć. Spróbuj ich osłabić, zanim zaatakują.","Uzaktaki düşmanların sana yaklaşması bir tur sürer. Saldırmadan önce onları zayıflatmaya çalış.",
ChooseFocusAttack,"Wybierz umiejętność <tag>Rozproszenie,</> aby obniżyć [FOCUS] wroga.","Düşmanın [FOCUS] değerini düşürmek için <tag>Dağıtma</> yeteneğini seç.",
ChoosingAbility,Zaplanuj atak. Wybierz ikonę <tag>Umiejętności</> nad przeciwnikiem.,Saldırını planla. Düşmanın üstündeki <tag>Yetenek</> simgesini seç.,
Conclusions,"Zebranie kompletu Spostrzeżeń pozwala wyciągnąć <tag>Wniosek,</> który stanowi nieocenione źródło wiedzy. Te informacje pozwolą też czasem na <tag>Manipulowanie</> ludźmi przy użyciu mocy.","Gözlemlerin tamamını topladığında, değerli bir bilgi kaynağı olan <tag>Çıkarımı</> ortaya çıkarabilirsin. Bu bilgiler bazen güç kullanarak insanları <tag>Manipüle</> etmeni de sağlar.",
DeclaringFastAction,Umiejętność <tag>szybka.</> Użyjesz jej już w najbliższej rundzie.,<tag>Hızlı</> yetenek. Önümüzdeki turda kullanacaksın.,
DeclaringMediumAction,Umiejętność <tag>wolna.</> Użyjesz jej dopiero w następnej rundzie. ,<tag>Yavaş</> yetenek. Ancak bir sonraki turda kullanabileceksin. ,
DeclaringSalutorAction,"<tag>Ty i salutor</> dysponujecie własnymi, odrębnymi zestawami umiejętności. Zaplanuj, której z nich użyć i wydaj salutorowi odpowiedni rozkaz.",<tag>Sen ve salutor</> kendi ayrı yetenek setlerine sahipsiniz. Hangisini kullanacağını planla ve salutoruna uygun emri ver.,
FourDimensions,"Thaumaturgowie operują czterema Wymiarami: <tag>Sercem, Czynem, Umysłem i Słowem.</> Stanowią one podstawę thaumaturgii, wprowadzają klasyfikację salutorów, mają zastosowanie w walce oraz w <tag>Manipulacji i Percepcji</>. Rozwijaj je więc rozważnie. To od nich zależy twoja potęga.","Tılsımkârlar dört Boyutu kullanır: <tag>Yürek, Eylem, Akıl ve Söz.</> Bunlar tılsımkârlığın temelini oluşturur, salutorları sınıflandırır, savaşta ve <tag>Manipülasyon ile Algı</>da işe yarar. Onları dikkatle geliştir — gücün onlara bağlıdır.",
Imprint,"Na niektórych przedmiotach zostaje <tag>Ślad</> osobowości osoby. Przyjmuje formy:<br><tag>Nieznany</> - widzisz go po raz pierwszy.<br><tag>Znajomy</> - widzisz go znowu, ale nie masz pewności, do kogo należy.<br><tag>Pewny</> - dokładnie wiesz, kto go zostawił.<br><br><tag>Ślady</> ujawnią się tylko wtedy, gdy zdasz test <tag>Percepcji</> na przedmiocie.","Bazı eşyalarda bir kişinin kişilik <tag>İzi</> kalır. Şu biçimleri alır:<br><tag>Bilinmeyen</> — onu ilk kez görüyorsun.<br><tag>Tanıdık</> — yeniden görüyorsun ama kime ait olduğundan emin değilsin.<br><tag>Kesin</> — kimin bıraktığını tam olarak biliyorsun.<br><br><tag>İzler</> yalnızca eşya üzerinde <tag>Algı</> testini geçersen ortaya çıkar.",
InbornStates1,"Wrogowie mogą posiadać <tag>Cechę,</> która uodparnia ich na twoje ataki. <tag>Cechy</> są przypisane do poszczególnych <tag>Wymiarów</> i mogą zostać <tag>Uśpione</>.","Düşmanlar saldırılarına karşı onları bağışık kılan bir <tag>Niteliğe</> sahip olabilir. <tag>Nitelikler</> belirli <tag>Boyutlara</> bağlıdır ve <tag>Bastırılabilir</>.",
InbornStates2,"Aby <tag>Uśpić Cechę</> wroga, zaatakuj go salutorem, który pochodzi z tego samego <tag>Wymiaru,</> co ta <tag>Cecha</>. Uwaga, jeżeli nie posiadasz wymaganej siły wymiaru, możesz odebrać przeciwnikowi całe [FOCUS] i wyprowadzić <tag>Silny atak.</>","Düşmanın <tag>Niteliğini Bastırmak</> için ona, bu <tag>Nitelikle</> aynı <tag>Boyuta</> ait bir salutorla saldır. Dikkat: gerekli boyut gücün yoksa, düşmanın tüm [FOCUS] değerini tüketip <tag>Güçlü saldırı</> düzenleyebilirsin.","InbornStates2: PL'deki 3. <tag>Cecha</> ('bu Nitelikle aynı Boyut') TR'ye eklendi"
Insights,"<tag>Spostrzeżenia</> są informacjami, które zdobywasz wchodząc w interakcje z ludźmi i przedmiotami. <tag>Spostrzeżenia</> składają się we <tag>Wnioski,</> źródła cennej wiedzy o świecie i wydarzeniach, które pomogą ci w różnych sytuacjach.","<tag>Gözlemler</> insanlar ve eşyalarla etkileşime girerek edindiğin bilgilerdir. <tag>Gözlemler</> bir araya gelip, dünyaya ve olaylara dair değerli bilgi kaynağı olan ve çeşitli durumlarda sana yardım edecek <tag>Çıkarımları</> oluşturur.",
Insights2,"Thaumaturgowie władają <tag>Percepcją</>, która pozwala im odczytywać pozostawione na przedmiotach emocje, czyny, słowa i myśli innych ludzi. Żeby je poznać, musisz wystarczająco rozwinąć <tag>Wymiary: Serca, Czynu, Słowa lub Umysłu</>.","Tılsımkârlar <tag>Algı</>ya hükmeder — bu güç, başkalarının eşyalarda bıraktığı duyguları, eylemleri, sözleri ve düşünceleri okumalarını sağlar. Onları öğrenmek için <tag>Boyutlarını: Yürek, Eylem, Söz ya da Akıl</> yeterince geliştirmelisin.",
Manipulation,"Dzięki thaumaturgii możesz <tag>Manipulować</> innymi ludźmi. Musisz najpierw poznać sekrety danej osoby, w czym pomogą ci zebrane <tag>Wnioski</>. Jeżeli <tag>Manipulacja</> będzie dostępna, zmieni się ikona interakcji z postacią, a obok postaci pojawi się <tag>Upyr</>.","Tılsımkârlık sayesinde başkalarını <tag>Manipüle</> edebilirsin. Önce kişinin sırlarını öğrenmelisin; bunda topladığın <tag>Çıkarımlar</> yardım eder. <tag>Manipülasyon</> kullanılabilir olduğunda karakterle etkileşim simgesi değişir ve yanında <tag>Upyr</> belirir.",
ManipulationsDialogues,"Salutory dadzą ci znać, jeżeli <tag>Manipulacja</> stanie się dostępna.",<tag>Manipülasyon</> kullanılabilir olduğunda salutorlar sana haber verir.,
ManipulationSmall,<tag>Zmanipuluj</> woźnicę.,Arabacıyı <tag>Manipüle Et</>.,
MovementSmall,Możesz swobodnie poruszać się po wszystkich lokacjach.,Tüm lokasyonlarda serbestçe hareket edebilirsin.,
PerceptionGeneral,"Jako thaumaturg dysponujesz nadzwyczajną <tag>Percepcją</>. Dostrzegasz to, co niewidoczne dla ludzkiego oka, przewidujesz działania wrogów, śledzisz ślady emocji, myśli, czynów i słów oraz łatwiej odnajdujesz drogę do celu.","Bir tılsımkâr olarak olağanüstü bir <tag>Algı</>ya sahipsin. İnsan gözünün göremediğini görür, düşmanların hamlelerini öngörür, duygu, düşünce, eylem ve söz izlerini takip eder ve hedefe giden yolu daha kolay bulursun.",
PerceptionTrackingSmall,"Użyj <tag>Percepcji</>, aby śledzić drogę do celu.",Hedefe giden yolu izlemek için <tag>Algı</>yı kullan.,
PositionDescription,Twoi wrogowie mogą trzymać się na dystans i atakować przy użyciu broni palnej. Możesz im odpowiedzieć tym samym lub nakazać atak salutorowi.,Düşmanların uzaktan tutup ateşli silahla saldırabilir. Sen de aynı şekilde karşılık verebilir ya da salutoruna saldırı emri verebilirsin.,
ProgressionTree,"Na okładce grymuaru widnieją dostępne <tag>Punkty Thaumaturgii</>, które możesz wydawać na drzewku. Kupuj <tag>Ulepszenia Umiejętności</>, doskonal swoje moce w obrębie dowolnego <tag>Wymiaru</> oraz poluj na salutory, co pozwoli ci na dalszy rozwój.","Grimuarın kapağında ağaçta harcayabileceğin <tag>Tılsımkârlık Puanları</> görünür. <tag>Yetenek Yükseltmeleri</> satın al, dilediğin <tag>Boyutta</> güçlerini geliştir ve daha fazla ilerleme için salutorları avla.",
RitualFight,"Aby pokonać dzikiego salutora, musisz pozbyć się Cieni, które go bronią. Pokonanie Cieni osłabi go, ale im będzie słabszy, tym zacieklej będzie się bronił. Na pasku znajdziesz informację, kiedy dziki salutor naśle na ciebie kolejnych wrogów.","Vahşi salutoru alt etmek için onu savunan Gölgelerden kurtulmalısın. Gölgeleri yenmek onu zayıflatır, ama zayıfladıkça daha hırçın savunacak. Vahşi salutorun üstüne yeni düşmanlar saldığını çubukta göreceksin.",
SalutorDistanceAbility,"Salutory mogą swobodnie atakować przeciwników, którzy są od ciebie oddaleni.",Salutorlar senden uzaktaki düşmanlara serbestçe saldırabilir.,
SelectSalutor,"W dowolnej chwili możesz wezwać innego salutora. Zielona ramka otaczająca portret salutora oznacza, że jest on wyjątkowo skuteczny w walce z danym wrogiem. Przeczytaj znajdujący się nad salutorem opis, aby zrozumieć, dlaczego przyda się właśnie teraz.","Dilediğin an başka bir salutor çağırabilirsin. Salutor portresini çeviren yeşil çerçeve, o salutorun bu düşmana karşı özellikle etkili olduğunu gösterir. Neden tam da şimdi işe yarayacağını anlamak için salutorun üstündeki açıklamayı oku.",
SpecialActionAvailable,"Wróg stracił całe [FOCUS] i znajduje się pod wpływem <tag>Stanu Rozbicie</>.<br><br>To świetna okazja, żeby wyprowadzić <tag>Silny atak</>.",Düşman tüm [FOCUS] değerini yitirdi ve <tag>Parçalanma Durumu</> etkisinde.<br><br>Bu <tag>Güçlü saldırı</> düzenlemek için harika bir fırsat.,
Statuses,"<i>Bukavac</> wywołał u ciebie <tag>Stan Cierpienie</>. <tag>Stany</> mogą mieć zbawienne lub potencjalnie śmiertelne działanie. Uważnie czytaj opis każdego z nich i nie daj się zaskoczyć.",<i>Bukavac</> sende <tag>Acı Durumu</>na yol açtı. <tag>Durumlar</> yararlı da ölümcül de olabilir. Her birinin açıklamasını dikkatle oku ki hazırlıksız yakalanmayasın.,
StresDescription,"Żeby zaatakować wroga <tag>Silnym atakiem,</> musisz odebrać mu całe [FOCUS], co wywoła u niego <tag>Stan Rozbicie.</> Silne ataki są zdecydowanie potężniejsze od innych umiejętności i pozwolą szybciej zakończyć starcie. ",Düşmana <tag>Güçlü saldırı</> düzenlemek için tüm [FOCUS] değerini tüketmelisin; bu onda <tag>Parçalanma Durumu</> yaratır. Güçlü saldırılar diğer yeteneklerden çok daha etkilidir ve çarpışmayı daha hızlı bitirmeni sağlar. ,
Targeting,"Wybierz wroga, którego chcesz zaatakować.",Saldırmak istediğin düşmanı seç.,
Timeline,"<tag>Percepcja</> pozwala ci przewidzieć działania wrogów. Żeby dowiedzieć się, co planują, rozwiń <tag>Kolejkę działań</> znajdującą się na górze ekranu.","<tag>Algı</> düşmanların hamlelerini öngörmeni sağlar. Ne planladıklarını öğrenmek için ekranın üstündeki <tag>Eylem Sırasını</> aç.",
