"Hash","NodeName","PL"
"0E6113EB43235B1AAC54ADA501EB84B2","CinematicNode_Choice_3","Przedstaw się."
"8B5FD1BF477EDD94083F05858F97698D","CinematicNode_Choice_3","Powiedz, że nie podoba ci się, co mówią."
"9350A31141FEB6A0995CF895F3D849C5","CinematicNode_Choice_3","Przejdź do bicia."
"11DE63A84B12C3797A8B5CB4301F0795","CinematicNode_Choice_3","Zostaw ich."
"5FEFB3BB41D3D45637BFB3979DF74DA0","CinematicNode_Choice_4","Dopytaj o Skałonównę."
"66152CD94C4161E57B88089F923AAEC6","CinematicNode_Choice_4","Przysłuchuj się dalej."
"9377320B495AB132DDDCEDA2D677CDA6","CinematicNode_Choice_4","Odejdź."
"9D5AC744486A506173C08A86A3FC93D3","CinematicNode_Choice_5","Sprowokuj Siergieja do walki."
"FF636B074755888A4766B38EE46441A8","CinematicNode_Choice_5","Zostaw ich."
"7FCE1BEF44B41846AAA8BCAED30B4130","CinematicNode_Response_12","Po co tu przychodzić? Te <fr>soirée</> są dla starych ludzi."
"B0BF1757483747D21EAFBBA09770E6BC","CinematicNode_Response_12","Dobry wieczór. Można?"
"16420F3647A313625B1E65975BD086DD","CinematicNode_Response_12","Proszę, nic ważkiego tu nie pada."
"FBDB734D4D8A0726BD0A8CAF08707368","CinematicNode_Response_12","Wy się sobą martwcie. Ja zamierzam dobrze spożytkować ten wieczór."
"D4B98E0040128C288C2F2EB6B4927CBF","CinematicNode_Response_12","Patrz, mówiłem ci, że się zakochał. Skałonówna to nieco za wysokie progi dla ciebie, przyjacielu."
"84431BA14A64E4B586992B887BD778F3","CinematicNode_Response_12","A co dopiero jej ojciec."
"5BC0382C4C1E9390624EE49597609DD5","CinematicNode_Response_13","Panowie wybaczą."
"3748B4C44D0DDCA1423F21ACDFA4C494","CinematicNode_Response_14","Nazywam się Wiktor Szulski."
"5DA32E49428287E169C735BB584C1B5D","CinematicNode_Response_14","No, proszę."
"78E41E0449D5AC2D35EAF0A515890B01","CinematicNode_Response_15","I nie podoba mi się, co tu usłyszałem. Zwłaszcza o mojej siostrze."
"051C22C24E78F9D14881ADAB35325D7C","CinematicNode_Response_15","I co pan z tym zrobi?"
"1DF2431B48CC387865B32992A09466A1","CinematicNode_Response_16","Przepraszam, chodzi o córkę generał-gubernatora Skałona?"
"12432E254D5B2396D10DB6BFF5E59C15","CinematicNode_Response_16","No, a o kogo? Najzacniejsza tegoroczna debiutantka."
"07385A7240C8DA54E5B64D892B5A0904","CinematicNode_Response_16","Spod kamienia pan wyszedł?"
"A0D704EB480DE772168FCEA706F711D6","CinematicNode_Response_17","Ja i stary Skałon już niemal jesteśmy na ""ty"". Zobaczycie."
"E8112F5A4F59CE5A16FC58A1F90AD7D5","CinematicNode_Response_17","Pewnie."
"5F59036A49235B46672F008C4567A0C9","CinematicNode_Response_17","Czyli jedyna wyględna panna ma już adoratora. Nam co zostało, Maksym?"
"CCDB62984C1121F14E595190F623463F","CinematicNode_Response_17","Hm, niewiele. Nieciekawe, niemądre albo - cóż, niemłode."
"A9982FEA41190B551AE596B301A8C033","CinematicNode_Response_17","Szybciej słońce spadnie, niż ktoś ją zechce."
"FAF88B4E40A43D18C6A5E880D53FBCA0","CinematicNode_Response_17","Ona raczej też wolałaby Zofię Skałon. Różnie słyszałem."
"20D3465F43FB675966D30CBCA500584A","CinematicNode_Response_17","A pan co sądzi?"
"B047560E4E42B01AE02DFBA8ABCF6D90","CinematicNode_Response_18","Obawiam się, że musimy sobie pewne rzeczy wyjaśnić teraz, najchętniej przemocą."
"C6B8DA0C4EB5D3CBBC3281A33239324B","CinematicNode_Response_18","Chyba nie, panie Szulski."
"0CFC63FF44BCD85A4FC4EAA29EF6D854","CinematicNode_Response_18","Skąd ty jesteś? Tu jest socjeta, a nie bydło."
"8C3C9B81412F5372B058C8B95523CEE8","CinematicNode_Response_19","Proszę pozdrowić siostrę."
"8B684FB240EE8DE7372DE1BE7D4190C6","CinematicNode_Response_20","Panowie wybaczą, obiecałem, że będę dzisiaj grzeczny."
"842B9CF94EA6E41944F8EC9837A40E05","CinematicNode_Response_20","Fiksat."
"32BB95DA40E557BCD91279BFD96A3BB1","CinematicNode_Response_21","Nie tylko ja mam ochotę na pranie się po pyskach, prawda? Co, jednemu nie dacie rady?"
"7579683F4479C4E377A8C1BCB2994228","CinematicNode_Response_21","Załatwimy to na podjeździe, panowie."
"0EEF2D8349433E35F4A845BBA50E44DF","CinematicNode_Response_21","Siergiej, dla ciebie, przyjacielu, wszystko."
"7FEE8F924F842DA6D92879901D5DB04E","CinematicNode_Response_22","Czego tu znowu szukasz, fiksacie?"
"D92BA0854E1FD41EA41051BDC447C67D","CinematicNode_Response_23","Czy to nie pan Szulski?"
