"Hash","NodeName","PL","TR","Notes"
"5D6B2EC9465A283BB0C268B9F16FA2B7","CinematicNode_Choice_0","Ruszaj w drogę.","Yola koyul.",""
"ED12D7BD4B255F0F4DE70E958F417027","CinematicNode_Choice_0","Powiedz, że nie masz czasu.","Vaktin olmadığını söyle.",""
"46FFC2AE421B36410BDAFAB3675FDBF2","CinematicNode_Choice_0","Każ mu do siebie pisać.","Sana yazmasını iste.",""
"C50BE63C46A3E1B384803E9F465EA535","CinematicNode_Choice_0","Wyjaśnij, gdzie się udajesz.","Nereye gittiğini açıkla.",""
"06A774A64ABBCFBEE35CF889DD29D6BF","CinematicNode_Choice_0","1","1",""
"D0BED2104BEB4E6D9EB131A8D55D9279","CinematicNode_Choice_0","2","2",""
"08E8B8D545D188C8AFC7F397A8378692","CinematicNode_Choice_0","3","3",""
"FE62D1A8456488DF4CA288BFBE447862","CinematicNode_Choice_0","4","4",""
"9563C57E4430BC7BD442A38CD312873A","CinematicNode_Response_1","...","…",""
"BD32D1CA4B174E996B65B8AB00B772E4","CinematicNode_Response_10","Chcę otrzymywać regularne wieści z pałacu. Zadbaj o to.","Saraydan düzenli haber almak istiyorum. Bunu sen hallet.","Wiktor → Rasputin"
"DABF6C0F4C774DE5DEE91680A3945199","CinematicNode_Response_10","Naturalnie. Coś jeszcze?","Tabii. Başka bir şey?",""
"4A1F4ACB463F93EA74740E8DED3E887E","CinematicNode_Response_11","Wiktorze, zrób mi tę przysługę i nabądź dla mnie kilka tamtejszych specyfików.","Wiktor, bana bir iyilik yap da oradan birkaç özel ilaç temin et.","specyfiki — afyon vb."
"2B8335A3435872FEC1B35CADC110A0AB","CinematicNode_Response_11","Przyślij mi listę. Bądź zdrów.","Listeyi gönder bana. Sağlıcakla.",""
"09D69371445D589FA88D7F8A498F13A2","CinematicNode_Response_12","Będziesz kładł tory w imię cara?","Çar adına demiryolu mu döşeyeceksin?","Rasputin alaycı — Transsiberian"
"DEF996B54DF0D019D525A68C0C8228F2","CinematicNode_Response_12","Bardzo zabawne.","Çok komik.",""
"A4FB50E84286266A071018A9C241AAE3","CinematicNode_Response_13","Za czym tak nagle masz zamiar gonić przez pół świata?","Dünyanın yarısını birden bire neyin peşinden aşmaya niyetlisin?",""
"0C423701402DA074A59E5299F1666B37","CinematicNode_Response_14","Dzieje się tam coś, co moim zdaniem, może być działaniem potężnego salutora.","Orada, bence güçlü bir salutorun eseri olabilecek bir şeyler oluyor.",""
"F981A66B4DED8E2ABC3BF999C2A3E755","CinematicNode_Response_15","Twój apetyt nie słabnie. Jak zniesiesz drogę powrotną z takim bólem?","İştahın azalmıyor. Böyle bir acıyla dönüş yolculuğuna nasıl katlanacaksın?","Wiktor'un afyon/acı bağımlılığı"
"042CDD4940B61C3C33884FBA8893992D","CinematicNode_Response_15","Domy opium w Państwie Środka ponoć nigdy nie zasypiają.","Orta Krallık'ın afyon evleri hiç uyumuyormuş sözde.","Państwo Środka → Orta Krallık (Çin)"
"EACD74DB427E53CD47603AA80DD3FC63","CinematicNode_Response_16","Pamiętaj, tam nie będzie nikogo, kto uśmierzy twój ból.","Unutma, orada acını dindirecek kimse olmayacak.",""
"681D85A84EC47D8D48EB47A74A980096","CinematicNode_Response_16","Poradzę sobie.","İdare ederim.",""
"AA0E2B514F405DD5003BD5B7B1FD2046","CinematicNode_Response_17","Bądź ostrożny.","Dikkatli ol.",""
"6F780DB34F0C26B68AF798A84C53599F","CinematicNode_Response_18","Kto wie, ile się zmieni podczas twojej nieobecności?","Yokluğunda kim bilir neler değişecek?",""
"D83EB755463E8315AA566DBD86B50EE8","CinematicNode_Response_2","Wyjeżdżam.","Gidiyorum.",""
"8442201F4B2A86E23CC9AA84466E2FD4","CinematicNode_Response_2","Tak prędko nas opuszczasz? Nie doczekasz chociaż końca <ru>Rasputitsy</>?","Bu kadar çabuk mu ayrılıyorsun bizden? Hiç olmazsa <ru>Rasputitsa</>'nın sonunu beklemez misin?","Rasputitsa — Rusya bahar çamuru mevsimi"
"E13338DD49AAFB1F31DC8DAC73392B45","CinematicNode_Response_2","Nie, nie mogę zwlekać. Sama droga zajmie mi tygodnie.","Hayır, oyalanamam. Yolun kendisi bile haftalar sürecek.",""
"485C81DA47E4D74139EC348C4D69A643","CinematicNode_Response_2","Zanim odejdziesz, zdradzisz mi coś więcej?","Gitmeden önce bana biraz daha fazlasını anlatır mısın?",""
"810393404F24F829B045409A662B5E20","CinematicNode_Response_3","Jesteś zajęty?","Meşgul müsün?",""
"A89DFC5844FEE9AD7FF69CA4218DAA5F","CinematicNode_Response_3","Składam jedynie krótką modlitwę. Bóg wybaczy. Co cię do mnie sprowadza?","Sadece kısa bir dua ediyordum. Tanrı affeder. Seni buraya ne getirdi?",""
"2E15242A4D8F649A8A414092DB489400","CinematicNode_Response_3","Przyszedłem się pożegnać. Wyjeżdżam.","Vedalaşmaya geldim. Gidiyorum.",""
"F469E06E4A8ED3AEA2E0429C665BEB31","CinematicNode_Response_3","Tak nagle? Nawet <ru>Rasputitsa</> cię nie zatrzyma?","Bu kadar ani mi? <ru>Rasputitsa</> bile seni durduramaz mı?",""
"A023665D4828D7FE595B5B97BAA583D2","CinematicNode_Response_3","Obawiam się, że nie. Taka okazja może się już nie powtórzyć.","Korkarım ki durduramaz. Böyle bir fırsat bir daha karşıma çıkmayabilir.",""
"A48FCF21413B4665079BC8ACDAEFD21D","CinematicNode_Response_3","Zechcesz uchylić mi rąbka tajemnicy?","Sırrın köşesini aralayıp bana gösterir misin?",""
"258634D34EAB26618A961C91EA8D73A7","CinematicNode_Response_6","Na mnie już czas. Pisz do mnie.","Benim için vakit geldi. Bana yaz.",""
"57FF966B43CDEE1FBB5007B6F6ABD4C0","CinematicNode_Response_7","Wzywa mnie Mandżuria.","Beni Mançurya çağırıyor.",""
"A974D74A405B255DB1CA12AB6C32CF3E","CinematicNode_Response_8","Czas na mnie.","Benim için vakit tamam.",""
"3058D2C6450F558A0EE4548582577129","CinematicNode_Response_8","W rzeczy samej. Szerokiej drogi.","Aynen öyle. Yolun açık olsun.",""
"D61ED6C34F4E1F99A3F904B7EE67FB55","CinematicNode_Response_9","Idź z Bogiem, przyjacielu.","Tanrı yolunu aydınlatsın, dostum.","Rasputin — Ortodoks veda"
