"Hash","NodeName","PL"
"C90618AE4AE18F6FAE75C09F8EDBBF1B","CinematicNode_Response_11","..."
"0076A83C4ABEF72E040DF89955A4EB23","CinematicNode_Response_11","..."
"11A10F794D487E88E35AD8898A620DB5","CinematicNode_Response_12","Gdzie znalazłeś tego salutora, na Saharze?"
"231354654AC507BE7DA0EAA803AC1AEC","CinematicNode_Response_12","Władca życzeń we własnej... postaci."
"E30CF73A468F5516FD8BBF8B8AE78526","CinematicNode_Response_12","Szybko, Wiktorze, zanim nas obu pogrzebie. Skup się na swoim życzeniu."
"228D87E94CFAA9C7BBB9F1ACC345B726","CinematicNode_Response_13","Niezwykły."
"D594CB8849B994E12557C0A85EC5CE4E","CinematicNode_Response_13","Już ci nie zagraża. Twoje życzenie jest dla niego rozkazem."
"C642481C47F313C8D334B79A62857E7A","CinematicNode_Response_14","..."
"7784ED6347AE07172CF252A19A484982","CinematicNode_Response_2","Grigorij...?"
"AE17D22545848AF35FEB1786A9753DE6","CinematicNode_Response_3","..."
"2774908A40C109BF5A40B88E02571380","CinematicNode_Response_9","..."
