"Hash","NodeName","PL","TR","Notes"
"093FB6F048B04B73983F0E98D7D45C9A","lw_smg04_09b_university_members_chats","Czas nie działa na naszą korzyść.","Zaman aleyhimize işliyor.","Uçan Üniversite üyeleri"
"3C3B41404008CD6853173CBBD44E5E85","lw_smg04_09b_university_members_chats","Spokojnie, znajdziemy rozwiązanie.","Sakin ol, bir çözüm buluruz.",""
"BA53071643DCD9BB40D093A7706FB736","lw_smg04_09b_university_members_chats","Może Wiktor zaraz będzie.","Belki Wiktor birazdan gelir.",""
"06ACF5634300881580277AB8AF32E885","lw_smg04_09b_university_members_chats","Przewodniczącego Dicksteina wciąż nie ma. Martwię się.","Başkan Dickstein hâlâ yok. Endişeleniyorum.",""
"09026DF44B2D346C211C988C40CA5338","lw_smg04_09b_university_members_chats","Samuel na pewno jest cały i zdrowy.","Samuel mutlaka sağ salim bir yerde.","Samuel = Dickstein"
"E47A41234FAF09DD389FB5B247C94DBC","lw_smg04_09b_university_members_chats","Skoro masz ochotę się oszukiwać...","Kendini kandırmak istiyorsan…",""
"EC2AB6E54BC4D51A041D6D852DCD09AE","lw_smg04_09b_university_members_chats","Dickstein nas porzucił. Zwyczajnie uciekł.","Dickstein bizi bıraktı. Öyle kaçıp gitti.",""
"1154183441DDEBB925AB4A9B50C5018F","lw_smg04_09b_university_members_chats","Proszę, nie oceniaj go. Nie jesteś na jego miejscu.","Lütfen onu yargılama. Onun yerinde değilsin.",""
"D25005344340C3F24E3D449F04D1134C","lw_smg04_09b_university_members_chats","Ja w życiu bym tak nie postąpiła.","Ben ömrümde böyle davranmazdım.",""
"F65462204B2D79E05BC39A8601E92186","lw_smg04_09b_university_members_chats","Dobra robota. Jesteście bardzo dzielne.","Aferin size. Çok cesursunuz.","panienkalara"
"4D75A50F4671EE409F863A8426893737","lw_smg04_09b_university_members_chats","Panie przewodniczący, uda nam się, prawda?","Başkanım, başaracağız, değil mi?",""
"4827BEE44C1C45D7735E629A4E41C249","lw_smg04_09b_university_members_chats","Samuelu, uważaj na siebie.","Samuel, kendine dikkat et.",""
"57D509354C2EC931D6C406AE8B4C0B19","lw_smg04_09b_university_members_chats","Panienko Ligio, co teraz z nami będzie?","Küçükhanım Ligia, şimdi bize ne olacak?",""
"7B67668744C3EB0C81A948AE6FE16906","lw_smg04_09b_university_members_chats","Damy sobie radę.","Üstesinden geliriz.",""
