"Hash","NodeName","PL","TR","Notes"
"C896C57247765C2ECBA0DE8329193CF1","q302_02b_final_decision_chat","No dobrze... To co mam ze sobą zabrać?","Pekâlâ… Yanıma ne almalıyım?",""
"532C97644F48B944A79EC9808BBFF0E0","q302_02b_final_decision_chat","Mam jechać do matki? Czy może jak najdalej od niej?","Anneme mi gideyim? Yoksa olabildiğince ondan uzağa mı?",""
"B3F38CB3412C2718DAE652B39079CDEE","q302_02b_final_decision_chat","Może jednak nie powinnam wyjeżdżać? Powinnam! To postanowione.","Belki yine de gitmemeliyim? Gitmeliyim! Karar verildi.",""
"82EE25AE4631D731C27C7BB82C82CBBC","q302_02b_final_decision_chat","No dobrze. To od czego zacząć?","Pekâlâ. Nereden başlayacağım?",""
"BF4290484DD4937E5A36DC82837C63D1","q302_02b_final_decision_chat","Sporo do zrobienia, ale dam radę. Tak jak zawsze.","Yapacak çok şey var, ama altından kalkarım. Her zamanki gibi.",""
"65ABE45D4F28BC7BF3A1CDA919B19D36","q302_02b_final_decision_chat","Kto, jak nie ja?","Ben değilsem, kim?",""
"3AF8599940476B973E2BC89BEFEFBEB0","q302_02b_final_decision_chat","O! Sporo tych butelczyn macie!","Vay! Bayağı şişeniz var!",""
"89FD8E4649DA4D879809869D1B6834E4","q302_02b_final_decision_chat","Mnóstwo sposobów na słodkie zapomnienie.","Tatlı bir unutuş için bir sürü yöntem.",""
"0A27C4AE4875DCB3BE1CC3A64D3B551C","q302_02b_final_decision_chat","Aż tak źle?","O kadar mı kötü?",""
"3070DB1346DABEDBBB9D189DF91B29F1","q302_02b_final_decision_chat","Na pewno nie jest dobrze.","İyi olmadığı kesin.",""
"4C9298EE42A3B6343B4A1991417E7BDA","q302_02b_final_decision_chat","To wybierzmy od razu ze cztery.","O zaman hemen dört tane seçelim.",""
