"Hash","NodeName","PL"
"03998A3E4D1CFA5ED502B9BF86418622","CinematicNode_Choice_10","Oczywiście, że dasz radę."
"9E69A54946C4C821CF6EB8BB9A013981","CinematicNode_Choice_10","Dowiedz się, o który sekret mu chodzi."
"7927192847F68B7BE10FB68272BBC308","CinematicNode_Choice_10","Zapytaj, co będzie, jeśli odmówisz."
"6CC0FBD946FF1BC961956592A94E07B7","CinematicNode_Choice_10","1"
"3518435B43E334D6C6E803ABF0761E9A","CinematicNode_Choice_10","2"
"40F57B0C414C7062DE9874AF39B415E9","CinematicNode_Choice_10","3"
"5824B3D74A971826D5D4E2A9E233CBD5","CinematicNode_Choice_11","Pożegnaj się."
"56E1FCAB46BCE9DFB3BCD59C07AABF56","CinematicNode_Choice_11","Niech już przejdzie do sedna."
"7AEF22E44662C821160EA284145FF3A2","CinematicNode_Choice_11","1"
"6013E6AC42D04637C915F9B4A0E9BC2B","CinematicNode_Choice_11","2"
"28F9C1FD40D82C927986AD8F924022A1","CinematicNode_Choice_6","Zapytaj, co on tu robi."
"F67D0B3F4DB70F251A7271BA4723A7A9","CinematicNode_Choice_6","Powiedz, że miałeś ciężką noc."
"CC10CAB242FDCF497EC124B215B945BE","CinematicNode_Choice_6","Zapytaj, skąd wiedział, gdzie mieszkasz."
"570A224F472E1521620EED9483B092F9","CinematicNode_Choice_6","1"
"268D66204AE652A875285C817B55AD6F","CinematicNode_Choice_6","2"
"59A5127A40CB78249184A6A55AE863FD","CinematicNode_Choice_6","3"
"765596584940556DC992E78E1E430B84","CinematicNode_Choice_7","Powiedz, że Swietłana nie żyje."
"DA346D98455042B6ED1CE29A1A7A4F1C","CinematicNode_Choice_7","Najpierw powiedz mu o Golemie."
"DA71100D495F3E9339E3E186773B3412","CinematicNode_Choice_7","1"
"EBC3C3FF48B95C1B085A88B57FC76978","CinematicNode_Choice_7","2"
"33A839A24B41E551051BD48E940BB8BB","CinematicNode_Choice_8","Powiedz o Golemie."
"A059DE5F4CF47376572457B711987D90","CinematicNode_Choice_8","Burknij, że nie chcesz o tym mówić."
"2532F90946253651F9957895EB3A4C2A","CinematicNode_Choice_8","1"
"1E4E28DD4698EFFDCA6788BE8938BE3D","CinematicNode_Choice_8","2"
"32A73AF94C5E4B8542792DA34EAB4D1D","CinematicNode_Choice_9","Powiedz, że chcesz wiedzieć."
"FF893B2949427E40F3A89D95CF975E06","CinematicNode_Choice_9","Dopytaj najpierw, czy chodzi o szantaż."
"AAE9AC30432960F9A9345B888FFA7A6E","CinematicNode_Choice_9","Zaprzecz. Nie interesuje cię to."
"E72E19584333C8C37AA9A3988FA9DD9A","CinematicNode_Choice_9","1"
"3170022C41D3157DAA87058EC3676A5D","CinematicNode_Choice_9","2"
"7F7D109B4718C87A978FB3B8A00D44E6","CinematicNode_Choice_9","3"
"4ECB61934F016ECC7DD1469D8291B4F4","CinematicNode_Response_27","Wyglądasz na zmęczonego. Wszystko w porządku?"
"C9169DA14C6CDFDB75DA9D981589B445","CinematicNode_Response_27","Potrzebujesz mojej pomocy?"
"202FE0914E4C841BF2DEE5B6B6128C0E","CinematicNode_Response_28","To była dla mnie wyjątkowo ciężka noc."
"2AE8D7A64CDD28C9845E438559BBCB20","CinematicNode_Response_28","Czy ze Swietłaną wszystko w porządku?"
"1727DF4949351025B80F48AFC6268A1F","CinematicNode_Response_28","Czemu pytasz?"
"8474552D47730ADC0843DA823111AE1A","CinematicNode_Response_28","Wyszliście bez pożegnania. Coś się stało?"
"D2FA0B0B40CE410F3E4090A180C34677","CinematicNode_Response_29","Golema? Z żydowskich legend? Jest salutorem?"
"3854FDE549665F98464D6B96AD8A65B0","CinematicNode_Response_29","Tak - i okazał się bardzo prawdziwym salutorem. Materialnym."
"626AA6B940E219422E8963A241E91B16","CinematicNode_Response_29"," Nie sądziłem nawet, że to jest możliwe..."
"C7E7FA6545AD454A10DE13ADC289768F","CinematicNode_Response_29","I jaki to ma związek ze Swietłaną?"
"E8F4C2B346DE28D50B40079A263AF498","CinematicNode_Response_30","Swietłana niestety nie żyje."
"AF727ECA42BE133AD53429B868A9D6DC","CinematicNode_Response_30","..."
"E574335A4C63FCEC3CE9569BD8303A5E","CinematicNode_Response_30","Tego się obawiałem."
"4589A04E48E49F46089DF0886E7C2EE4","CinematicNode_Response_31","Jak to się stało?"
"E59E97204E1F98D2BE93C38B14A03304","CinematicNode_Response_32","Golem ją zabił?"
"BAF03FD44CD3EBE055560EB343CC3FA0","CinematicNode_Response_32","Można tak powiedzieć. Golem zatopił łódź, ciskając w nią kufrem z jej tajną korespondencją."
"3749204B47C7E1087657498EC606C772","CinematicNode_Response_32","Swietłana zamierzała żyć ze sprzedaży cudzych sekretów."
"4B2D437F431B65EF7FA0B4AF04926288","CinematicNode_Response_33","To nie jest dobra chwila na tę rozmowę."
"263629FE44C8E72C4632F5B1B21F82BE","CinematicNode_Response_33","Rozumiem, ale Swietłana... Poznałem ją i wiem, że dźwigała na sobie duży ciężar."
"E30B18DA47B329C9971845B9CD681DC7","CinematicNode_Response_34","Nie spodziewałem się wizyty domowej."
"E0796F4246753AD036BCB284B2F0E8BB","CinematicNode_Response_34","Chciałem się dowiedzieć, czy Swietłanie udało się bezpiecznie wyjechać."
"05E4AE344585FC8CC6D60396B771699E","CinematicNode_Response_35","Skąd znasz mój adres?"
"0988E2F84EC057E6F732FEAC71E361C2","CinematicNode_Response_35","Ludzie w Warszawie wiedzą, kim są Szulscy."
"6BE3C4294F678E82955536B6853B4A1D","CinematicNode_Response_35","Jesteś przygaszony. Czy coś się stało?"
"EF05C96B4E794EDC1730EC95980C3E89","CinematicNode_Response_36","Wreszcie jesteś. Czekaliśmy na ciebie."
"6E4D31F94E0FCAF7EFBC04885C493663","CinematicNode_Response_36","Obawiam się, że zanudziłem twoją uroczą siostrę moim gadaniem."
"1177256448A672A813EE339FC2A227EB","CinematicNode_Response_36","Ależ skąd. Zostawię was samych."
"FA21AE73408CA7AFB25430B223F8604E","CinematicNode_Response_37","Sekrety potrafią być zabójcze."
"4FFEEB364431A5582F2D508E5D63AC6E","CinematicNode_Response_37","Chcesz wiedzieć, czym się ze mną podzieliła?"
"213F4FDC443F6669590A1F9EC22DF954","CinematicNode_Response_38","Chyba mam wystarczająco własnych tajemnic do rozwikłania."
"310E54EF474804AA08230DB00B4BCC25","CinematicNode_Response_38","Nie wiem, co ukrywasz, ani czego nie potrafisz odkryć, ale... Swietłana miała rację."
"AA84CAFD4B8A8EF3C892E8A223EBEF14","CinematicNode_Response_38","Ta konkretna wiedza jest bezcenna. Rozwiązuje języki i otwiera drzwi. "
"2F4D3C7144C978246FF293A9C15519C8","CinematicNode_Response_38","Ciekawy?"
"BD266EAB472FE415B03CF4AA988BDD69","CinematicNode_Response_39","Jestem zaintrygowany."
"BC0D4ADC496F44A75C3D9AAC70045094","CinematicNode_Response_39","Pytanie, czy dasz radę udźwignąć brzemię, jakie i ona nosiła?"
"8D70383A47F72B47B3B627927D9A22C7","CinematicNode_Response_40","Chyba nie chcesz nikogo niczym szantażować?"
"C402FACC4508204252EC45A15ED749FE","CinematicNode_Response_40","Skąd! Oczywiście, że nie."
