"Hash","NodeName","PL","TR","Notes"
"1445238847401C3572DA62A35F5856A4","CinematicNode_Choice_2","Poproś o filiżankę kakao.","Bir fincan kakao iste.",""
"1AC4AD6A40693D84D316F3AC62B90C4A","CinematicNode_Choice_2","Poproś o coś mocniejszego.","Biraz daha sert bir şey iste.",""
"227F9A484CD6C32A314BEDBAE5E40234","CinematicNode_Choice_2","Odejdź.","Uzaklaş.",""
"4A9057944FFC2A7BBEA243979EB06B58","CinematicNode_Choice_3","Zapytaj o śmierć ojca.","Babanın ölümü hakkında sor.",""
"F9412B0C4C08EE63531BB39F08CAA36B","CinematicNode_Choice_3","Dopytaj o Ligię.","Ligia hakkında da sor.",""
"FCD524414B36601FCFEF4784188D99A3","CinematicNode_Choice_3","Pociągnij Grażynę za język w temacie śmierci Stanisława.","Stanisław'ın ölümü konusunda Grażyna'nın ağzını ara.",""
"80067CA84BB164498B8D8583EF4D880C","CinematicNode_Choice_3","Odejdż.","Uzaklaş.","Kaynakta 'ż' tipo"
"E5C15959437F11422F3594B737904DB2","CinematicNode_Response_10","Tak, filiżanka kakao dobrze mi zrobi.","Evet, bir fincan kakao iyi gelir.",""
"C5A685ED4D16A51E752E7B9D67CF8279","CinematicNode_Response_10","Dzbanek jest w salonie, proszę się częstować. Są też pańskie ulubione ciasteczka. ","İbrik salonda, buyurun alın. En sevdiğiniz kurabiyeler de var. ",""
"45811F0248DDD9DAD417318ECBBB0560","CinematicNode_Response_11","Może znalazłoby się coś mocniejszego?","Biraz daha sert bir şey bulunabilir mi?",""
"14A241D14669199108201F9006DBF4F1","CinematicNode_Response_11","Panicz taki dorosły! Jak pan sędzia wszystkiego nie wypił, jest jeszcze naleweczka. Proszę się częstować! ","Küçük efendi ne de büyümüş! Bay yargıç hepsini devirmediyse biraz likörcük kalmıştır. Buyurun alın! ",""
"9659891E4E5227E4A0B2A08BC97C6E7E","CinematicNode_Response_12","Ligia mi się nie przyzna, ale... jak ona się czuje?","Ligia bana söylemez ama… o nasıl?",""
"04F57AAF43691579A2A28B87AF13E953","CinematicNode_Response_12","Nie ma lekko, ptaszyna. Na sercu jej ciężko, choć nie daje tego po sobie znać... Ale silna jest!","Kolay değil kuşcağızın başı. Yüreği ağır, belli etmese de… Ama güçlüdür!",""
"97E6DC414797CCA0C52B6085E7694E23","CinematicNode_Response_12","Dumnie trzyma głowę, nie poddaje się! I dobrze, że ma teraz panicza do pomocy.","Gururla başını dik tutuyor, boyun eğmiyor! İyi ki şimdi yanında küçük efendi var yardım için.",""
"D140EB1D40B27EBBD66F80BBB5787726","CinematicNode_Response_12","Tylko palić zaczęła... jak komin.","Yalnız sigara içmeye başladı… baca gibi.",""
"28D5195A44330B55539C51B96868F8FD","CinematicNode_Response_12","Wdała się w ojca, nie ma co!","Babasına çekmiş, başka ne denir!",""
"632B66F44ABEE18AB80DB386655C574F","CinematicNode_Response_13","Tak dawno się nie widzieliśmy! Dobrze, że panicz wrócił.","Ne zamandır görüşmemişiz! İyi ki küçük efendim geri döndü.",""
"98710D5A4BDAE232DB7B4BB6DCE07349","CinematicNode_Response_13","Panienka Ligia bardzo wszystko przeżywa.","Küçük hanım Ligia her şeyi pek ağır yaşıyor.",""
"CDEAE6CF49C6AD49CAE426A8790AC4C6","CinematicNode_Response_14","A tobie z tą śmiercią jak się wydaje, Grażynko?","Peki bu ölüm sana nasıl görünüyor, Grażynka?",""
"D980BA614BE93EB58E7101BFE3246A06","CinematicNode_Response_14","Powiem paniczowi w konfidencji, ja to jestem prosta kobieta, ale mi się coś w tej śmierci pana Szulskiego nie podoba. ","Küçük efendime aramızda kalsın, ben basit bir kadınım, ama Pan Szulski'nin bu ölümünde bana ters gelen bir şeyler var. ",""
"3B57E7EB405EB26FBFCDAAB10C338F4A","CinematicNode_Response_14","Co Grażynka ma na myśli?","Grażynka ne demek istiyor?",""
"D7BAC27A493B71AECD9D4BA7CDA9E29B","CinematicNode_Response_14","Nie sądzi panicz, że jakieś siły nieczyste w tym palcy nie maczały?","Küçük efendim, bu işte kötücül güçlerin parmağı olduğunu düşünmüyor mu?",""
"76DC31024EE4EA2382BC868E94B60310","CinematicNode_Response_14","Chodzi Grażynce o to, że to może mieć związek z thaumaturgią?","Grażynka bunun tılsımkârlıkla bağlantısı olabileceğini mi ima ediyor?",""
"6172044A4757D5C7622F1DBDD1C9CEAD","CinematicNode_Response_14","Ja tam nie wiem. My tu gadu-gadu, a ziemniaki nie obrane!","Ben bilmem. Biz burada lafı uzatıyoruz, patatesler de soyulmadı!",""
"82370C804516B12FDD16338E5B96331E","CinematicNode_Response_14","Panicz wybaczy.","Küçük efendim bağışlasın.",""
"A274565B45022633EB374D968780ED2F","CinematicNode_Response_15","A więc wielki Stanisław Szulski zginął przywalony kamienicą. Czego, jak czego, ale śmierci to mu nie zazdroszczę. ","Demek büyük Stanisław Szulski bir apartmanın altında kalarak öldü. Neyini kıskanırdım kıskanırdım, ama bu ölümünü hiç. ",""
"B8293337466DBC0F227D0AB187F8F961","CinematicNode_Response_15","Straszna śmierć! Okropieństwo! Pan Szulski na to nie zasłużył... Zostaje nam teraz tylko wspominać, jakim wspaniałym był człowiekiem. ","Korkunç bir ölüm! Feci! Pan Szulski bunu hak etmezdi… Artık bize düşen, onun ne harika bir insan olduğunu anmak. ",""
"B1E50A5442D5A11B528FDC8D07F583CC","CinematicNode_Response_15","Długo to nie zajmie...","Uzun sürmez…","Wiktor ironik"
"396707B842C2EA913449308952217EB5","CinematicNode_Response_16","Innym razem, Grażynko. Nie będę ci przeszkadzał.","Başka sefer Grażynka. Rahatsız etmeyeyim.",""
"9B847885471074EE66713AAEF48BB395","CinematicNode_Response_16","Roboty zawsze dużo, ale na pogawędkę z paniczem zawsze znajdzie się czas! ","İş hep çoktur, ama küçük efendimle sohbete her zaman vakit bulunur! ",""
"9E63AAF842E9C8EF4AB21DA0704B96B7","CinematicNode_Response_17","Jednak się panicz skusi na kakałko?","Küçük efendim yine de kakaoya yelteniyor mu?",""
"60D2C1284F27DA2A55D4AD8FF8C36C92","CinematicNode_Response_9","Panicz Wiktor! Niech zgadnę, przyszedł panicz po kakao?","Küçük efendi Wiktor! Tahmin edeyim, kakao için mi geldi küçük efendim?",""
