"Hash","NodeName","PL"
"3D032C6D469D502904AC9BB4686109DA","CinematicNode_Choice_3","Zapytaj, jak było w areszcie."
"53327816458A2196E1CE14A577266E68","CinematicNode_Choice_3","Zapytaj, jak się czuje."
"5612F0BF4012957BC61ECCB44217FC3C","CinematicNode_Choice_3","Sięgnij po jego Skazę."
"B65E612240A32635E1AD0ABF1001C846","CinematicNode_Choice_3","Odejdź."
"2C314A6E46CDE43E6C16E691B070F619","CinematicNode_Choice_3","1"
"4DD5B2FD48C078683996C5BA99D53EFD","CinematicNode_Choice_3","2"
"550A1D9940F2690977ACEEA920C4A2C6","CinematicNode_Choice_3","3"
"CE10A5F24FD440DD96BC32A209129109","CinematicNode_Choice_3","4"
"CC1577184A9F037514DFF3B5A891870C","CinematicNode_Choice_4","Powiedz, że nic takiego. "
"47F7A10541A10F719CFDB2A3D8B2D959","CinematicNode_Choice_4","Wyjaśnij, że schwytałeś salutora, który za nim chodził."
"9DD5DB0B4041479AC7CE679AB7A0A1E6","CinematicNode_Choice_4","1"
"82459EE941B1124A80C3389EC3DCAFFF","CinematicNode_Choice_4","2"
"350F0D8D40F3D94C5D25BA803766449A","CinematicNode_Choice_5","Przyznaj, że tak."
"2BDB06D24DCFC696B50CAE97016E43DE","CinematicNode_Choice_5","Zaprzecz. Powiedz, że chodziło o sprawiedliwość."
"0D3C61C540EE2C1DD1734D9A675373E3","CinematicNode_Choice_5","1"
"B09BB10D41C57921B6E43E98961499A8","CinematicNode_Choice_5","2"
"8F9628874ADAE8E265D465A131E0C698","CinematicNode_Response_0","Kajetan?"
"ACF941864D6447D5ECE566B566E6C21C","CinematicNode_Response_0","Hm?"
"8EC61D4B4ED08EA48B1EC49FE9DC3985","CinematicNode_Response_1","..."
"F41FC38C4F2969BB0996F7B77EBBDD8C","CinematicNode_Response_11","Dzień dobry."
"09D8EEAC4F16D70348A1739395EFAEA5","CinematicNode_Response_11","Ach, to ty."
"451E52B84FE5F4D1A6C8F3A30DCDE3EE","CinematicNode_Response_12","Jak odsiadka?"
"CF9034234E95AB0EC4E062BB4D159F22","CinematicNode_Response_12","Miejsce, jak każde inne."
"F9C166844998BC5B07EA75A5A5387A0D","CinematicNode_Response_12","Pomogłem Pielewinowi znaleźć prawdziwego mordercę. Morderczynię."
"E1A8B30C4DD4ECBCFFFC11AC276A4957","CinematicNode_Response_12","Mówił mi."
"8086B7634C85CC7DBD16F38118948E65","CinematicNode_Response_13","Jak się czujesz na wolności?"
"709C3A3845E1E7A71C450D945B5B780A","CinematicNode_Response_13","Normalnie. Rzeka daje, rzeka zabiera."
"90C75C4B4945D41AD21419B7DFAFB792","CinematicNode_Response_14","Rozumiem, że pogawędka cię nie interesuje. Zacznijmy więc tam, gdzie nam ostatnio przerwano."
"86C3BB924F9FAB1F16D813A8AF3C8BB2","CinematicNode_Response_14","..."
"A377C73445FB372B92BA3D8FBCFEA24A","CinematicNode_Response_14","Gdzie się ukrywasz, moja piękna topielico?"
"1D6B358849BC444C9161AAB74041B3A3","CinematicNode_Response_14","Uratowałaś go, kiedy chciał ze sobą skończyć. Ale wykorzystałaś jego stan, żeby sycić się jego Skazą."
"2275ADE4453617323270EE8BDEA1D85E","CinematicNode_Response_14","Chyba już czas, żeby go od ciebie uwolnić."
"37A0967F480094DC35A2739AA3E908D1","CinematicNode_Response_15","Może jeszcze się zobaczymy."
"F66280984F64D40CE0D7F19072EAFA45","CinematicNode_Response_15","Pewnie, kto to wie."
"095BBF3E478497616D4FE2AEDCB5C90A","CinematicNode_Response_16","..."
"29BA38EB435A5728E081BCBC67CCD388","CinematicNode_Response_16","Nie... To nieprawda. Nieprawda, nieprawda, nieprawda."
"77070A634FE91B8F971889B8A2AC3C97","CinematicNode_Response_16","Jestem zbyt blisko... Radziłem już sobie z lepszymi od ciebie."
"A73874764DE3EAB1FBFA3780D5B9A7FD","CinematicNode_Response_16","Jesteś... moja."
"8406FB1D40C0A546F85154A7212A0323","CinematicNode_Response_17","Zachłysnąłeś się wolnością. Zakręciło ci się od niej w głowie i chyba zemdlałeś."
"BCEBD5B8467CD7A13A4164B50788385A","CinematicNode_Response_18","Co? Co to znaczy?"
"499C9F2B4EFFD0566BC4C39BD212F218","CinematicNode_Response_18","Uwolniłem cię od salutora, który gnębił twój umysł."
"84FC18C84CE5C946DD64DEBF3CC4E292","CinematicNode_Response_18","Nie prosiłem o to! To dlatego tak starałeś się mnie wyciągnąć z więzienia?"
"BDD9197645812D3A3F6D6FB3723DF872","CinematicNode_Response_19","Można tak powiedzieć."
"50927C6F469E0729CF9A9D8631F226B8","CinematicNode_Response_19","Tak myślałem. Zawsze musi być jakiś interesik do zrobienia, co?"
"BB0464204711BE404A1C3082A4F4CD70","CinematicNode_Response_2","Co to było...? Co się stało?"
"D56CF23E45D3BC6C23ABB085E0D3F29F","CinematicNode_Response_20","I teraz co? Coś mi się przestawiło w głowie? Co mam robić?"
"355DD8E84217A7D531AF4A81A9A92B7F","CinematicNode_Response_20","Co chcesz. Teraz już wszystko zależy od ciebie."
"1E4DEC844C9D55A9A94DFD92E4B25ED4","CinematicNode_Response_21","Chodziło raczej o sprawiedliwość."
"5BB93AB94D9A9CCB0F751582DB81A0D3","CinematicNode_Response_21","Tak, jasne... Dzięki."
"C6C64F6748B1AD768A8477AD64D6BB2C","CinematicNode_Response_3","Dobra... chciałbym teraz... posprzątać? I wywietrzyć, bo cuchnie niemożebnie."
"602474184A9097140B549086EE967F13","CinematicNode_Response_3","Gorzej jak w celi..."
