"Hash","NodeName","PL"
"3649093449C760DF3127779E4759AF10","lw_smc03_01a_forgery_chats","O, maszyna Hammonda. Dobra marka."
"0E81D96045E8E67FBDA0DCAD79321C41","lw_smc03_01a_forgery_chats","Wygląda na wysłużoną. No tak, wujek ma raczej ciężką rękę."
"FE93A55B4E3ACD423D9DE2B2DF16B858","lw_smc03_01a_forgery_chats","No i gotowe."
"83DF21A740D712CB9156E8BB5BAE5383","lw_smc03_01a_forgery_chats","Grzech nie skorzystać."
"733A6804491161EE856262B2155F8D75","lw_smc03_01a_forgery_chats","Wszystko tam w porządku, panie...?"
"B41186044A90BD5E733FB88283636CEE","lw_smc03_01a_forgery_chats","Sędziego Woronina nie ma."
"CB314F404754EEA315BF2880FAAB0E66","lw_smc03_01a_forgery_chats","Wiem. Jestem jego siostrzeńcem, poczekam tu."
"5F482BBF429738F46009909F62B213D9","lw_smc03_01a_forgery_chats","Jak pan sobie życzy."
"BECDA9C1443DD52755812D8802F518C4","lw_smc03_01a_forgery_chats","Tak, w porządku."
"032C8747486FAB3396D785A540D54229","lw_smc03_01a_forgery_chats","Może się pan czegoś napije?"
"5341169D41AA8DED004E2DA3D1AED954","lw_smc03_01a_forgery_chats","Nie trzeba. Ja dosłownie na moment."
