"Hash","NodeName","PL","TR","Notes"
"CFFA7CEF4D62AD771CE7BA9CDDC66B4E","CodexLoreDT","Salutor","Salutor","Başlık; glossary aynen"
"FED9300D4F5D9FE847AAE483A398D4F1","CodexLoreDT","Mają wiele nazw. Kiedy łacina była w modzie, jakiś mędrzec nazwał te istoty ""przybyszami"". W wierzeniach ludowych nazywa się je czasem demonami albo aniołami, duchami czy czasem wręcz bóstwami.<br>Nie wiem, skąd pochodzą. Formą odzwierciedlają wierzenia i przesądy ludzi z różnych regionów, mimo że ci sami ludzie nie potrafią ich zwykle dostrzec. Osoby szczególnie wrażliwe, jak artyści, czasem są w stanie zobaczyć ich manifestacje.<br>Dzikie salutory zmieniają swoje miejsce pobytu, podążając za Skazami w ludziach. Teraz ludzie częściej podróżują... Kiedyś, w Sankt Petersburgu, widziałem Sfinksa.","Nice ad taşırlar. Latince moda olduğu vakit, bilge bir zat bu varlıklara ""gelmişler"" adını yakıştırmış. Halk inançlarında kimi zaman cinler ya da melekler, ruhlar, hatta bazen tanrılar olarak anılırlar.<br>Nereden geldiklerini bilmiyorum. Biçim olarak farklı bölgelerdeki insanların inançlarını ve hurafelerini yansıtırlar; oysa aynı insanlar onları çoğunlukla göremez. Sanatçılar gibi duyarlı kişiler, onların tezahürlerini zaman zaman görebilir.<br>Vahşi salutorlar, insanlardaki Kusurların peşinden giderek yer değiştirir. Artık insanlar daha çok seyahat ediyor… Bir keresinde Sankt Petersburg'da bir Sfenks görmüştüm.","Salutor açıklaması"
"EDE042CF4414DAD8B6988CBBD2374CFD","CodexLoreDT","Skaza","Kusur","Başlık"
"8A898361455901ADA2F6E39211941E5D","CodexLoreDT","Co jest jarzmem dla innych, jest skarbem dla thaumaturga. Skaza to trwałe, ukryte piętno, które na ludzkiej duszy odciska trauma lub rutyna. Wielu je posiada, ja nie jestem wyjątkiem. Moja wrodzona Skaza to Duma, Skaza serca, które podarowałem Upyrowi dawno temu.<br>Tak samo działają wszystkie inne salutory. Te jeszcze niespętane podążają za Skazą, która ukryta jest w kimś w ich pobliżu. Konfrontując taką osobę z odpowiednimi argumentami, mogę uwydatnić Skazę, a następnie wziąć ją na siebie i zawrzeć pakt z dzikim salutorem. Związać się z nim. W teorii. Poprzednie próby zakończyły się wszak fiaskiem.","Başkaları için boyunduruk olan, bir tılsımkâr için hazinedir. Kusur, travmanın ya da tekdüze alışkanlığın insan ruhuna kazıdığı kalıcı, saklı bir damgadır. Çoklarında vardır; ben istisna değilim. Doğuştan Kusur'um Kibir — çok zaman önce Upyr'e bağışladığım Yürek Kusur'u.<br>Öteki bütün salutorlar da aynı şekilde işler. Henüz zincirlenmemiş olanlar, yanı başlarındaki birinde saklı Kusur'un peşinden gider. Böyle birini doğru argümanlarla yüzleştirirsem, Kusur'u su yüzüne çıkarıp üstüme alabilirim; böylece vahşi salutorla Ant bağlarım. Ona bağlanırım. Teoride. Evvelki denemeler nitekim hüsranla sonuçlandı.",""
"C1E938E44F9D0F9CB57DF484A76C5F8D","CodexLoreDT","Po raz pierwszy przejąłem Skazę innej osoby! Wykorzystałem ją do spętania dzikiego Bukavaca. Ta Skaza, będzie już ze mną na zawsze. Część Vesny będzie już ze mną... na zawsze.","İlk kez başka birinin Kusur'unu devraldım! Onu, vahşi Bukavac'ı zincirlemek için kullandım. Bu Kusur, artık sonsuza dek benimle olacak. Vesna'nın bir parçası artık benimle… sonsuza dek.",""
"7EAC18BF4C1998C83B9101B3AFB61A8B","CodexLoreDT","Mój Grymuar","Benim Grimuarım","Başlık"
"CFCBFFC14BD963E91EF1CBA77DB16D95","CodexLoreDT","Lubię w nim pisać i szkicować. I Upyr w nim mieszka. Jeśli to czytasz, to przepraszam - nastoletni chłopcy nie powinni prowadzić dzienników.<br>Swój grymuar dostałem od ojca. To narzędzie thaumaturga, sposób na zawieranie paktów z salutorami. Dla mnie to też dziennik, a czasem szkicownik.","İçine yazmayı ve eskiz yapmayı severim. Bir de Upyr onun içinde oturur. Eğer bunu okuyorsan, özür dilerim - ergenlik çağındaki oğlanların günlük tutmaları doğru değildir.<br>Kendi grimuarımı babamdan aldım. Bu, bir tılsımkârın aletidir; salutorlarla Ant bağlamanın yoludur. Benim için aynı zamanda bir günlük, ara sıra da bir eskiz defteri.",""
"99320DD148ED454386A9968C0AD373AB","CodexLoreDT","Ślad","İz","Başlık"
"287DAB754D614FA15A908781B7189AB7","CodexLoreDT","Ślad to personalny odcisk osoby na przedmiocie, coś jak personalna aura. Nie zawsze udaje się go rozpoznać. Czasem jednak Ślad nie odciska się, to normalne.Mogę rozpoznać, gdzie już widziałem dany Ślad, a kiedy poznam jego właściciela, zawsze mam pewność, kto wszedł w interakcję z danym przedmiotem. Nic się nie ukryje.","İz, bir kişinin bir eşya üzerinde bıraktığı kişisel iz — bir çeşit kişisel aura gibidir. Her zaman sezilemez. Kimi zaman da İz hiç damgasını vurmaz; bu normaldir. Belirli bir İz'i daha önce nerede gördüğümü tanıyabilirim; sahibini bir kez tanırsam, o eşyayla kimin temas ettiğinden her zaman emin olurum. Hiçbir şey saklı kalmaz.",""
"AD66AE12497CDEC0137C25AE4FEDAB54","CodexLoreDT","Serce, Słowo, Umysł, Czyn","Yürek, Söz, Akıl, Eylem","Dört Boyut; glossary tutarlı"
