"Hash","NodeName","PL","TR","Notes"
"039E40B544A95EDDCE90D9893876E76B","CinematicNode_Choice_0","Najpierw powiedz, jaka będzie jej rola.","Önce onun rolünün ne olacağını söyle.",""
"091F2D204443EFEB2D7BA48C7E499C26","CinematicNode_Choice_0","Wyjaśnij swój plan.","Planını açıkla.",""
"74DF828D495C89AFB0FFC585DE5180D1","CinematicNode_Choice_0","1","1",""
"76CA98A6497FC6BCCDD7A38CAE3CC9F3","CinematicNode_Choice_0","2","2",""
"F55AFB6F4B912A8EC726C9B9A930982F","CinematicNode_Choice_1","Odgryź się.","Karşılık ver.",""
"E0355FED4BDD554C10ED03A3A3C054C9","CinematicNode_Choice_1","Wyjaśnij, że chcesz pomóc Dicksteinowi.","Dickstein'a yardım etmek istediğini açıkla.",""
"2E22EE8D4E51120E4BD910A8C454502F","CinematicNode_Choice_1","1","1",""
"8D666A3241372323B885779E77E3CD66","CinematicNode_Choice_1","2","2",""
"70BDFC5346638F53A30C44A8504975BD","CinematicNode_Choice_2","Poproś, żeby powiadomiła wszystkich teraz.","Herkesi şimdi haberdar etmesini iste.",""
"D6B7F30A403D0FCC8539D586C6397AA1","CinematicNode_Choice_2","Wróć do niej później.","Daha sonra ona geri dön.",""
"0C280B0C4F3265CC5D57AEAC8C786EEA","CinematicNode_Choice_2","1","1",""
"612285534590F98CD8FD4F861FE97F1B","CinematicNode_Choice_2","2","2",""
"B04BA04C4CEE00365D9CA481654BF01D","CinematicNode_Response_0","Myślałem, że zależy ci bardziej na uniwersytecie.","Üniversitenin senin için daha önemli olduğunu düşünüyordum.",""
"1F19744944D30C1E2F24A3BADDADE209","CinematicNode_Response_0","I pomyślałem, że chciałabyś pomóc Dicksteinowi.","Ve Dickstein'a yardım etmek isteyeceğini düşündüm.",""
"1998E2C6483729B56DFF3292A1FEE18C","CinematicNode_Response_1","Dobrze, że jesteś. Mam jedną sprawę, o której musimy porozmawiać.","İyi ki varsın. Konuşmamız gereken bir mesele var.",""
"FF7C39DB493A992454CF0FA611CC8D97","CinematicNode_Response_11","Rób, co chcesz.","İstediğini yap.",""
"7A65295C46D18D966C0B41B1358781FB","CinematicNode_Response_12","Powiedz tylko kiedy.","Sadece ne zaman söyle.",""
"F085CB064E0ECCF2865836AA9BF601C3","CinematicNode_Response_13","Teraz chcesz to organizować?","Bunu şimdi mi organize etmek istiyorsun?",""
"D6962DAE4B5456360B5D12BED4F7E8DF","CinematicNode_Response_14","Jesteś, gotowy? Nie ma na co czekać.","Hazır mısın? Bekleyecek vakit yok.",""
"4A125087426C98C0A1EDAE9BE6701D6F","CinematicNode_Response_15","Tak?","Evet?",""
"04C833FD4383647F1DE8609E70A0020D","CinematicNode_Response_16","Załatwmy to szybko. Myślisz, że dasz radę zebrać wszystkich teraz?","Çabucak hallelim. Herkesi şimdi toplayabilir misin?",""
"BA4C1BBA4E39DA05FAE206B1F3CEF8B9","CinematicNode_Response_17","Dam ci znać, kiedy będę gotowy.","Hazır olduğumda sana haber veririm.",""
"64326BD643BF33CF54C221B230A4D14B","CinematicNode_Response_18","Tak. A ty będziesz miał chwilę, żeby się przygotować.","Evet. Ve sen hazırlanmak için biraz vaktine sahip olacaksın.",""
"CE07237B4E655FB896BAA98026B9C7DA","CinematicNode_Response_18","Co masz na myśli?","Ne demek istiyorsun?",""
"99DB0C844940431F950EB4B5A8082432","CinematicNode_Response_18","Żebyś zajrzał do szafy i znalazł w niej coś bardziej odpowiedniego.","Dolabına bakıp daha uygun bir şey bulman için.",""
"E68946214FBF7902FA3EDC8D751E8629","CinematicNode_Response_19","Tak, nie przedłużajmy.","Evet, uzatmayalım.",""
"F4275DD742A4929E3947778B85D0B432","CinematicNode_Response_19","Nie zamierzasz też chyba pojawić się na wykładzie tak ubrany?","Herhalde bu kıyafetle derse gelmeyi düşünmüyorsun?",""
"724DAB884280E70AA03663AB061AD2E7","CinematicNode_Response_19","Zresztą rób, co chcesz.","Neyse, istediğini yap.",""
"60C5BECE4C243BAA092AB2B8FEB995D7","CinematicNode_Response_2","Wyglądasz na podekscytowanego, słucham.","Heyecanlı görünüyorsun, dinliyorum.",""
