"Hash","NodeName","PL","TR","Notes"
"05347AF74E1805DFC008E4A6F69C7D11","CinematicNode_Choice_1","Sięgnij do jego zabobonnej natury. Niech ogarnie go lęk.","Onun batıl inanca yatkın doğasına uzan. Onu korku sarsın.",""
"9E1F7FF74FD2F5B99CA0F38120FDF365","CinematicNode_Choice_1","Zacznij temat obrączki.","Alyans konusunu aç.",""
"4339C89740DA926CDB3537A77AA1F784","CinematicNode_Choice_1","Zapytaj, czy pamięta pewnego lichwiarza z Powiśla.","Powiśle'den belirli bir tefeciyi hatırlayıp hatırlamadığını sor.",""
"5A0155B74DD43BC6CB9D03988D47A87C","CinematicNode_Choice_1","Odejdź.","Çek git.",""
"B411F1A646F017B7A4B607B03F7601E2","CinematicNode_Choice_1","1","1",""
"B65DCE0C4E17334C891EF4AD30C64764","CinematicNode_Choice_1","2","2",""
"01BDA5D94758273251020396B1F0FDE6","CinematicNode_Choice_1","3","3",""
"F002A0A049C1801CCFABB3BB4DE4243A","CinematicNode_Choice_1","4","4",""
"E5FAF029469C986E3945758987DBA4C9","CinematicNode_Choice_4","Powtórz, że się żenisz.","Evlendiğini tekrarla.",""
"95E0518A4169E681A59CBD98ED01F0D1","CinematicNode_Choice_4","1","1",""
"9737C51F421B88948B2F1CB59F687D9E","CinematicNode_Choice_4","2","2",""
"B035E112498301EE6C129F97C03D41B7","CinematicNode_Choice_5","Sięgnij do jego zabobonnej natury. Niech ogarnie go lęk.","Onun batıl inanca yatkın doğasına uzan. Onu korku sarsın.",""
"C6D9A1BD491E5DCBC2BFA19EEB48C1AC","CinematicNode_Choice_5","Zacznij mu grozić.","Onu tehdit etmeye başla.",""
"28F78B034A0DFD5F7BCF4180B7AD07F9","CinematicNode_Choice_5","Powiedz, że chcesz ją tylko obejrzeć.","Sadece görmek istediğini söyle.",""
"F5059D9C42D04804AD9EB2BD0278AF92","CinematicNode_Choice_5","Odpuść.","Boş ver.",""
"2CB105D14F3371AEAD44988317AA7631","CinematicNode_Choice_5","1","1",""
"824F628E44C2E4D6109605AF820C89BE","CinematicNode_Choice_5","2","2",""
"9EA1430342526EBAFE83F59849DA77DA","CinematicNode_Choice_5","3","3",""
"471880D54176599DA709EFAE818B3363","CinematicNode_Choice_5","4","4",""
