Key,PL,TR,Notes
Description_Debuff_Vulnerable,Teraz może być celem Silnego ataku.,Artık Güçlü Saldırının hedefi olabilir.,
Description_Offensive_HpPerRound,Otrzymuje [DAMAGE][V.DMG] na końcu każdej rundy.,Her turun sonunda [DAMAGE][V.DMG] alır.,
Description_Offensive_HpLastRound,Otrzymuje [DAMAGE][V.DMG] w ostatniej rundzie trwania tego stanu.,Bu durumun son turunda [DAMAGE][V.DMG] alır.,
Description_Offensive_FocPerRound,Odbiera [FOCUS][V.FOC] na końcu każdej rundy.,Her turun sonunda [FOCUS][V.FOC] kaybeder.,
Description_Counter_Self,"Pierwszy atak na ten cel, wywoła kontratak.","Bu hedefe ilk saldırı, bir karşı saldırı tetikler.",
Description_Counter_Team,"Pierwszy atak na ten cel, wywoła kontratak wszystkich wrogów.","Bu hedefe ilk saldırı, tüm düşmanların karşı saldırısını tetikler.",
Description_Convert_DmgToFocus,"Sprawia, że zamiast otrzymać [DAMAGE], utracisz [FOCUS] w przeliczeniu 4:1.",[DAMAGE] almak yerine 4:1 oranında [FOCUS] kaybetmeni sağlar.,
Description_Defensive_40,Zmniejsza otrzymane [DAMAGE] o 40%.,Alınan [DAMAGE]'i %40 azaltır.,
Description_Defensive_60,Zmniejsza otrzymane [DAMAGE] o 60%.,Alınan [DAMAGE]'i %60 azaltır.,
Description_Defensive_80,Zmniejsza otrzymane [DAMAGE] o 80%.,Alınan [DAMAGE]'i %80 azaltır.,
Description_Block_4,Zmniejsza [DAMAGE] otrzymane z każdego ataku o 4.,Her saldırıdan alınan [DAMAGE]'i 4 azaltır.,
Description_Buff_Dmg_Max,"Sprawia, że każdy atak na wroga zada mu maksymalne możliwe obrażenia.",Düşmana yapılan her saldırının maksimum hasar vermesini sağlar.,
Description_Buff_Dmg_Basic,Zwiększa zadawane [DAMAGE] o 50%.,Verilen [DAMAGE]'i %50 artırır.,
Description_Buff_Dmg_Chance,Daje 50% szans na zadawanie podwójnych obrażeń.,Verilen hasarın iki katına çıkması için %50 şans verir.,
Description_Buff_Dmg_Salutor_1,Zwiększa [DAMAGE] następnego ataku salutora o 8.,Salutorun bir sonraki saldırısının [DAMAGE]'ini 8 artırır.,
Description_Buff_Dmg_Salutor_2,Zwiększa [DAMAGE] następnego ataku salutora o 50%.,Salutorun bir sonraki saldırısının [DAMAGE]'ini %50 artırır.,
Description_Buff_Speed_Next,Przyśpiesza tempo twojego następnego działania o 1 rundę.,Bir sonraki eyleminin Hızını 1 tur artırır.,
Description_Buff_Speed_Temp,Przyśpiesza tempo zaplanowanej umiejętności o 1 rundę.,Planlanmış yeteneğin Hızını 1 tur artırır.,
Description_Buff_Speed_Salutor,Następne działanie salutora będzie szybsze o 1 rundę.,Salutorun bir sonraki eylemi 1 tur daha hızlı olur.,
Description_Buff_Hide_Action,Utrudnia odczytanie zaplanowanych działań wroga.,Düşmanın planlanmış eylemlerini okumayı zorlaştırır.,
Description_Resist_NegativeStates,Chroni przed otrzymaniem stanów w danej rundzie.,İlgili turda durum almaktan korur.,
Description_Resist_ActionManipulation,Zapewnia odporność na spowalnianie tempa i przerywanie działań.,Hız yavaşlatılmasına ve eylem kesilmelerine karşı direnç sağlar.,
Description_Debuff_Dmg,Obniża zadawane [DAMAGE] o 50%.,Verilen [DAMAGE]'i %50 azaltır.,
Description_Debuff_Speed,Spowalnia tempo zaplanowanej umiejętności o 1 rundę.,Planlanmış yeteneğin Hızını 1 tur yavaşlatır.,
Description_Debuff_Mark,Nazmacza cię. Inni wrogowie to wykorzystają.,Seni işaretler. Diğer düşmanlar bundan yararlanır.,PL'de tipo: Nazmacza→Naznacza
Description_Debuff_Def,Zwiększa otrzymane [DAMAGE] o 50%.,Alınan [DAMAGE]'i %50 artırır.,
Description_Debuff_Heal,Zmniejsza przywrócone [HP] o 40%.,Yenilenen [HP]'yi %40 azaltır.,
Description_Debuff_Stun,Nie pozwala podejmować żadnych działań.,Hiçbir eylemde bulunmaya izin vermez.,
Description_Debuff_NewSalutor,Osłabia wszystkie wymiary do czasu wizyty u Rasputina.,Rasputin'e gidene dek tüm Boyutları zayıflatır.,
Description_Trap_Hit,"Pierwszy atak na ten cel wywoła u atakującego ukryty, negatywny stan.","Bu hedefe ilk saldırı, saldırgana gizli bir negatif durum uygular.",
Description_Trap_Vulnerable,"Wywołanie u celu stanu <Tag_Neg>Rozbicie</>, wywoła u atakującego ukryty, negatywny stan.","Hedefe <Tag_Neg>Parçalanma</> durumu uygulamak, saldırgana gizli bir negatif durum uygular.",
Description_Inborn_ResistDmg_40,Redukuje otrzymywane [DAMAGE] o 40%.,Alınan [DAMAGE]'i %40 azaltır.,
Description_Inborn_ResistDmg_80,Redukuje otrzymywane [DAMAGE] o 80%.,Alınan [DAMAGE]'i %80 azaltır.,
Description_Inborn_Restore_5,Przywraca [HP] w liczbie 4 co rundę.,Her tur [HP]'yi 4 kadar yeniler.,
Description_Inborn_Restore_9,Przywraca [HP] w liczbie 7 co rundę.,Her tur [HP]'yi 7 kadar yeniler.,
Description_Inborn_Restore_18,Przywraca [HP] w liczbie 18 co rundę.,Her tur [HP]'yi 18 kadar yeniler.,
Description_Inborn_BlockFocus,Ogranicza wpływ na [FOCUS].,[FOCUS] üzerindeki etkiyi sınırlar.,
Description_Inborn_ResistStatus,Zapewnia odporność na otrzymanie nowych negatywnych stanów.,Yeni negatif durum almaya karşı direnç sağlar.,
Description_Inborn_BlockFocusAndResistActionManipulation,Ogranicza wpływ na [FOCUS] i uniemożliwia spowalnianie tempa i przerywanie działań,[FOCUS] üzerindeki etkiyi sınırlar; Hız yavaşlatılmasını ve eylem kesilmelerini engeller,
Description_Inborn_ResistDmg_Konieczkin,Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha redukuje otrzymywane [DAMAGE] o 80%.,Her iki turda bir sahip olduğu Niteliği değiştirir. Mevcut Nitelik alınan [DAMAGE]'i %80 azaltır.,
Description_Inborn_BlockFocus_Konieczkin,Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha ogranicza wpływ na [FOCUS] celu.,Her iki turda bir sahip olduğu Niteliği değiştirir. Mevcut Nitelik hedefin [FOCUS]'u üzerindeki etkiyi sınırlar.,
Description_Inborn_ResistStatus_Konieczkin,Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha zapewnia odporność na otrzymanie nowych stanów.,Her iki turda bir sahip olduğu Niteliği değiştirir. Mevcut Nitelik yeni durum almaya karşı direnç sağlar.,
Description_Rasputin_Bukavac,"Czasowe, negatywne stany, zadają ci podwójne [DAMAGE].",Geçici negatif durumlar sana iki kat [DAMAGE] verir.,
Description_Rasputin_Djinn,Twoje ataki wywołują u ciebie <Tag_Neg>Zapłata</>.,Saldırıların sana <Tag_Neg>Bedel</> uygular.,
Description_Rasputin_Golem,"Otrzymujesz 50% większe [DAMAGE], jeśli twoje [HP] liczą mniej niż 27.",[HP]'n 27'den azsa %50 daha fazla [DAMAGE] alırsın.,
Description_Rasputin_Krampus,"Na końcu każdej rundy, zadaje ci [DAMAGE] równe tyle, co twoje brakujące [FOCUS].",Her turun sonunda sana eksik [FOCUS]'un kadar [DAMAGE] verir.,
Description_Rasputin_Lelek,Wrogie ataki obniżają twoje [FOCUS] dwa razy szybciej.,Düşman saldırıları [FOCUS]'unu iki kat hızla azaltır.,
Description_Rasputin_Morana,"Tempo umiejętności zwalnia o 1 rundę, jeśli twoje [HP] liczą więcej niż 27.",[HP]'n 27'den fazlaysa yetenek Hızı 1 tur yavaşlar.,
Description_Rasputin_Weles,Twoje ataki uderzają w losowego wroga.,Saldırıların rastgele bir düşmana vurur.,
