"Hash","NodeName","PL"
"1445238847401C3572DA62A35F5856A4","CinematicNode_Choice_2","Poproś o filiżankę kakao."
"1AC4AD6A40693D84D316F3AC62B90C4A","CinematicNode_Choice_2","Poproś o coś mocniejszego."
"227F9A484CD6C32A314BEDBAE5E40234","CinematicNode_Choice_2","Odejdź."
"4A9057944FFC2A7BBEA243979EB06B58","CinematicNode_Choice_3","Zapytaj o śmierć ojca."
"F9412B0C4C08EE63531BB39F08CAA36B","CinematicNode_Choice_3","Dopytaj o Ligię."
"FCD524414B36601FCFEF4784188D99A3","CinematicNode_Choice_3","Pociągnij Grażynę za język w temacie śmierci Stanisława."
"80067CA84BB164498B8D8583EF4D880C","CinematicNode_Choice_3","Odejdż."
"E5C15959437F11422F3594B737904DB2","CinematicNode_Response_10","Tak, filiżanka kakao dobrze mi zrobi."
"C5A685ED4D16A51E752E7B9D67CF8279","CinematicNode_Response_10","Dzbanek jest w salonie, proszę się częstować. Są też pańskie ulubione ciasteczka. "
"45811F0248DDD9DAD417318ECBBB0560","CinematicNode_Response_11","Może znalazłoby się coś mocniejszego?"
"14A241D14669199108201F9006DBF4F1","CinematicNode_Response_11","Panicz taki dorosły! Jak pan sędzia wszystkiego nie wypił, jest jeszcze naleweczka. Proszę się częstować! "
"9659891E4E5227E4A0B2A08BC97C6E7E","CinematicNode_Response_12","Ligia mi się nie przyzna, ale... jak ona się czuje?"
"04F57AAF43691579A2A28B87AF13E953","CinematicNode_Response_12","Nie ma lekko, ptaszyna. Na sercu jej ciężko, choć nie daje tego po sobie znać... Ale silna jest!"
"97E6DC414797CCA0C52B6085E7694E23","CinematicNode_Response_12","Dumnie trzyma głowę, nie poddaje się! I dobrze, że ma teraz panicza do pomocy."
"D140EB1D40B27EBBD66F80BBB5787726","CinematicNode_Response_12","Tylko palić zaczęła... jak komin."
"28D5195A44330B55539C51B96868F8FD","CinematicNode_Response_12","Wdała się w ojca, nie ma co!"
"632B66F44ABEE18AB80DB386655C574F","CinematicNode_Response_13","Tak dawno się nie widzieliśmy! Dobrze, że panicz wrócił."
"98710D5A4BDAE232DB7B4BB6DCE07349","CinematicNode_Response_13","Panienka Ligia bardzo wszystko przeżywa."
"CDEAE6CF49C6AD49CAE426A8790AC4C6","CinematicNode_Response_14","A tobie z tą śmiercią jak się wydaje, Grażynko?"
"D980BA614BE93EB58E7101BFE3246A06","CinematicNode_Response_14","Powiem paniczowi w konfidencji, ja to jestem prosta kobieta, ale mi się coś w tej śmierci pana Szulskiego nie podoba. "
"3B57E7EB405EB26FBFCDAAB10C338F4A","CinematicNode_Response_14","Co Grażynka ma na myśli?"
"D7BAC27A493B71AECD9D4BA7CDA9E29B","CinematicNode_Response_14","Nie sądzi panicz, że jakieś siły nieczyste w tym palcy nie maczały?"
"76DC31024EE4EA2382BC868E94B60310","CinematicNode_Response_14","Chodzi Grażynce o to, że to może mieć związek z thaumaturgią?"
"6172044A4757D5C7622F1DBDD1C9CEAD","CinematicNode_Response_14","Ja tam nie wiem. My tu gadu-gadu, a ziemniaki nie obrane!"
"82370C804516B12FDD16338E5B96331E","CinematicNode_Response_14","Panicz wybaczy."
"A274565B45022633EB374D968780ED2F","CinematicNode_Response_15","A więc wielki Stanisław Szulski zginął przywalony kamienicą. Czego, jak czego, ale śmierci to mu nie zazdroszczę. "
"B8293337466DBC0F227D0AB187F8F961","CinematicNode_Response_15","Straszna śmierć! Okropieństwo! Pan Szulski na to nie zasłużył... Zostaje nam teraz tylko wspominać, jakim wspaniałym był człowiekiem. "
"B1E50A5442D5A11B528FDC8D07F583CC","CinematicNode_Response_15","Długo to nie zajmie..."
"396707B842C2EA913449308952217EB5","CinematicNode_Response_16","Innym razem, Grażynko. Nie będę ci przeszkadzał."
"9B847885471074EE66713AAEF48BB395","CinematicNode_Response_16","Roboty zawsze dużo, ale na pogawędkę z paniczem zawsze znajdzie się czas! "
"9E63AAF842E9C8EF4AB21DA0704B96B7","CinematicNode_Response_17","Jednak się panicz skusi na kakałko?"
"60D2C1284F27DA2A55D4AD8FF8C36C92","CinematicNode_Response_9","Panicz Wiktor! Niech zgadnę, przyszedł panicz po kakao?"
