"Hash","NodeName","PL"
"89F9B315425D07767F2C8DBC9445DDB9","CinematicNode_Choice_0","Stań do walki."
"21D0D9A14A6EDCD5187C7AB6E013E226","CinematicNode_Choice_0","Zapytaj, w czym możesz pomóc."
"4B41B7B041BD5B1590DEF580EED11AFC","CinematicNode_Choice_0","1"
"E79FDDE1452A6E71C3614BA4546F6E8E","CinematicNode_Choice_0","2"
"B5E5A6F94559BBF138E085AE21C7FDE0","CinematicNode_Response_0","E, ty! To ten?"
"E96DA7F0467BCAEE6B8AB29D33EF239E","CinematicNode_Response_0","A jak, książkę ma? Ma. To jazda z nim."
"202C08154E13287CB3C7EAA734D2B7E7","CinematicNode_Response_0","No, zanim uroki zacznie rzucać!"
"049C92084FE259B9335248814F521880","CinematicNode_Response_1","Widzę, że szukacie panowie problemów. Poszukiwania dobiegły końca."
"C53394CF4957E5F5CA002496D61064F8","CinematicNode_Response_2","Panowie, czy mogę coś dla was zrobić?"
"2936DC6C472F2E6496C8E08A02A63C0A","CinematicNode_Response_2","Ty już zrobiłeś swoje. "
"4D74D97F424B7F801AB2129BDB36FA08","CinematicNode_Response_3","To przez ciebie nasza Miecia... "
"F51246504FCFAB2CEC3920BB8348F27D","CinematicNode_Response_3","Śpiewa teraz z aniołkami."
"8DA5A7EC49CBD39B2CAAE0AA0FDFBBF7","CinematicNode_Response_3","Za Miecię cię zamieciem!"
