"Hash","NodeName","PL","TR","Notes"
"1F1090FD422807C82E5B7B83FD19A57A","CinematicNode_Choice_3","Poczekaj tu.","Burada bekle.",""
"EE75D5D5400C610C60D51F8B13919DAF","CinematicNode_Choice_3","Porozmawiaj z Upyrem.","Upyr ile konuş.",""
"CD6E5FCC412E8827B1C562815C0290F5","CinematicNode_Choice_3","Wstań.","Kalk.",""
"DAC803CE4BC3A94F68CDEC9B01EFF877","CinematicNode_Choice_3","1","1",""
"C719C63F4D3FA40A979193B98AD73114","CinematicNode_Choice_3","2","2",""
"490B8FFA4B135B787684AD9D51E7DDE7","CinematicNode_Choice_3","3","3",""
"2433A07E43D2510AD937C6897DD31861","CinematicNode_Choice_5","Siedź tu do rana.","Sabaha kadar burada otur.",""
"8B141EC34EBF8B031CFA4189DBD67A68","CinematicNode_Choice_5","Siedź tu do południa.","Öğlene kadar burada otur.",""
"7B744D9F44F46A3C366FE4B6A680285C","CinematicNode_Choice_5","Siedź tu do popołudnia.","İkindiye kadar burada otur.",""
"6B0081EF4257159DDF6138AEF66AFE10","CinematicNode_Choice_5","Siedź tu do nocy.","Geceye kadar burada otur.",""
"C1EE6C4B440AFAA9A02745AEA84E72D9","CinematicNode_Choice_5","Wstań.","Kalk.",""
"AA565E464B66D4BA4943E3B946E90E46","CinematicNode_Choice_5","1","1",""
"B3AF402D4B4324CFF2BF7C8CFE1F877F","CinematicNode_Choice_5","2","2",""
"7DA2A311477779637388ABA78FE603DD","CinematicNode_Choice_5","3","3",""
"11385E364BB62103AE3AEEACCB72571A","CinematicNode_Choice_5","4","4",""
"888BD96F41882241BF3DC3A0D478BDCD","CinematicNode_Choice_5","5","5",""
"3EC190EF424B2DDCEA23ACA434FFABC5","CinematicNode_Response_0","Co, tęskniłeś za tym miastem?","Ne, bu şehri özledin mi?",""
"5F54F5DB4F53D862890552B784D279A8","CinematicNode_Response_0","...","…",""
"C80CAC884F142392AEDC7C807C5FB9DF","CinematicNode_Response_0","Ja też nie.","Ben de.",""
"0DF3BC69489C1F801A85959C1755DCE0","CinematicNode_Response_1","Poczekajmy do...","Şuna kadar bekleyelim…",""
"7BB4752B4CF29DAF968E62972BF4CD54","CinematicNode_Response_10","Ten cały Burnakowicz. Powinniśmy mu zaufać?","Şu Burnakowicz var ya. Ona güvenmeli miyiz?",""
"AB54790846D9FDFFF292858C19643246","CinematicNode_Response_10","...","…",""
"EF9EAF38425C6652AD58809738AC365F","CinematicNode_Response_10","Spokojny twój czerep.","Sakin ol, kafan rahat dursun.",""
"514E38B1441648CD0B7867B167B0D098","CinematicNode_Response_11","Szybko się pozmieniało, co? Jednego dnia siedzisz na ławce i odpoczywasz, innego zastanawiasz się, czy to bezpieczne.","Hızlı değişti, değil mi? Bir gün bankta oturup dinleniyorsun, ertesi gün burası güvenli mi diye düşünüyorsun.",""
"2FA5AAE144C0DC8E9FB4178AE1A727E4","CinematicNode_Response_11","...","…",""
"9E3D3D8E4BAC7B302E7D468B4E873D21","CinematicNode_Response_11","Wiem, wiem.","Biliyorum, biliyorum.",""
"1A2C06864F85284906D0F69FFF1B9365","CinematicNode_Response_12","Zastanawiam się, co on dokładnie knuje.","Tam olarak ne çeviriyor merak ediyorum.",""
"8C15C2304F1B084FBE34BB965946C19A","CinematicNode_Response_12","...","…",""
"2609E78E41D2DA0042562ABBA5FEAFF4","CinematicNode_Response_12","Jak to kto? Rasputin.","Kim mi? Rasputin tabii.",""
"7D1C788C4ADAAA5E168669BECF05ECCE","CinematicNode_Response_2","Zaczekajmy.","Bekleyelim.",""
"8E2E5FD542C6D2373C7D7AA342973CBB","CinematicNode_Response_4","Co za dzień.","Ne gün ama.",""
"AA09F4854AA433D958036CAF176CB7A4","CinematicNode_Response_5","Pozwól, że spocznę.","İzin ver de bir dinleneyim.",""
"7D157C5E48C6F9F46707479D57704549","CinematicNode_Response_6","Ciebie nogi nie bolą? Głupie pytanie.","Senin bacakların ağrımıyor mu? Aptal soru.",""
"6EC837874D9DDB7E60F3BB9666804082","CinematicNode_Response_7","Zabijmy więc nieco czasu.","Hadi biraz vakit öldürelim.",""
"B049F03647185E0E6C5FF2B4A4E17C89","CinematicNode_Response_8","Abaurycy Niedzic w półświatku. Kto by pomyślał?","Abaurycy Niedzic yeraltı âleminde. Kim derdi?",""
"5F976198490BC1BC19F41DA991694072","CinematicNode_Response_8","...","…",""
"3003B6834C6A42F2AE3AD0B000DD170B","CinematicNode_Response_8","Słusznie, słusznie.","Doğru, doğru.",""
"D074CC1C40235EB6BD252DA6051917BD","CinematicNode_Response_9","Nie mogę przestać myśleć o losie Swietłany. Myślisz, że ona...","Swietłana'nın akıbetini düşünmeden duramıyorum. Sence o…",""
"94D3F27E4DD5D06E42FE72AF68F5EF33","CinematicNode_Response_9","...","…",""
"220987834C4A8259ED0F3F821EE1E6E6","CinematicNode_Response_9","Tak, pewnie masz rację.","Evet, muhtemelen haklısın.",""
