"Hash","NodeName","PL","TR","Notes"
"8DE29DB44C14025B18E38C8330AD0405","q203_readable","Klepsydra","Ölüm İlanı","Başlık; klepsydra = duvara yapıştırılan ölüm ilanı"
"EC451D3342CD1A597A94909784C44B7D","q203_readable","Ś. P. Jarogniew GĘSIKOWSKI,
po wyjątkowo długich i ciężkich cierpieniach zasnął w Bogu, przeżywszy lat 99. Znikomym smutkiem dotknięci sąsiedzi, którzy roztoczyli opiekę nad jedynym bliskim nieboszczyka, kotem Stefanem, zapraszają krewnych, którzy się do nieboszczyka nie przyznają, przyjaciół, których zapewne nie miał, i wszystkich chętnych, którzy nie mają co robić w wolnym czasie, na nabożeństwo żałobne, a następnie na eksportację zwłok na Cmentarz Powązkowski.","Merhum Jarogniew GĘSIKOWSKI,
son derece uzun ve ağır acıların ardından 99 yaşında hayata veda etmiştir. Merhumun tek yakını kedisi Stefan'a bakım üstlenen, hafif bir üzüntüye kapılmış komşular; merhumu tanımaya yanaşmayan akrabaları, muhtemelen sahip olmadığı dostlarını ve boş vakitlerinde yapacak işi olmayan herkesi cenaze ayinine ve ardından naaşın Powązki Mezarlığı'na götürülmesine davet etmektedir.","Alaycı ölüm ilanı"
"818C6DBB4A8DB9FAA06DE8830C2F00C3","q203_readable","Przepis na koktajl","Kokteyl Tarifi","Başlık"
"558316A74D415A5747F8D4B6EDBB5EC7","q203_readable","Krwawiąca Maria

jedna miarka wódki
dwie miarki soku z pomidora
odrobina ostrego
odrobina słonego
dowolne falliczne warzywo

Egzotyczny koktajl, mający wzmocnić potencję i dodać kurażu tym, którym kurażu brak.","Kanlı Meryem

bir ölçek votka
iki ölçek domates suyu
bir tutam acı
bir tutam tuzlu
dilediğin fallik bir sebze

Gücü kuvvetlendirmek ve cesareti yetersiz olanlara cesaret katmak amaçlı egzotik bir kokteyl.","""Krwawiąca Maria"" = Bloody Mary"
"F579886541E14B7759C524BBC8065768","q203_readable","Zaproszenie na modlitwę ","Dua Daveti ","Başlık"
"AADB8DB6456FCCF5DD643BB1A2140E6E","q203_readable","Droga Hrabino,

mniemam, iż jesteś w dobrym zdrowiu. Pragnę zaprosić Cię na wyjątkową sesję modlitewną, która odbędzie się w naszym skromnym mieszkaniu na Powązkowskiej. Będzie jej przewodniczył nasz gość - wybitna osobowość, która poprzez modlitwę potrafi dotrzeć do samego jądra człowieczej duszy. Liczę, że jako osoba szczególnie uduchowiona, zechcesz przyjść i doświadczyć tego zupełnie nowego spojrzenia na religijność.

Z wyrazami największego szacunku,
Aniela Nadarzyńska","Sevgili Kontes,

Umarım sıhhatiniz yerindedir. Sizi Powązkowska'daki mütevazı dairemizde gerçekleşecek, olağandışı bir dua seansına davet etmek istiyorum. Seansa konuğumuz — dua yoluyla insan ruhunun ta özüne ulaşabilen, seçkin bir şahsiyet — başkanlık edecek. Kendine özgü manevi bir kişi olarak, bu din anlayışına bambaşka bir bakışı deneyimlemeye geleceğinizi umuyorum.

En derin saygılarımla,
Aniela Nadarzyńska","Aniela Kontes'e davet"
"1A269E0D4878FEFB6232458EAB7EBF0C","q203_readable","Kamasutra","Kamasutra","Başlık"
"29D8FBF347BE606788301780BFB87F8E","q203_readable","Fundamentem namiętności jest różnorodność. To różnorodność budzi wzajemne pożądanie. Wszak zarówno w łucznictwie, jak i szermierce, rozmaitość jest niezbędną nauką, a co dopiero w miłowaniu!

Kobieta, choćby najbardziej gniewna, czy w największym zawstydzeniu, nie zlekceważy padnięcia do jej stóp.

Należy całować następujące miejsca: czoło, policzki, włosy, oczy, piersi obojga płci, usta zewnatrz, jak i w wewnątrz, uda, przedramiona oraz przyrodzenie niewieście.

Wraz ze wzrostem namiętności, znaczy się ciało paznokciami, podobnie jak w bójce. Podobnie ma się rzecz z pieszczotliwymi ukąszeniami.","Tutkunun temeli çeşitliliktir. Karşılıklı arzuyu uyandıran, çeşitliliktir. Nihayetinde hem okçulukta hem eskrimde çeşitlilik elzem bir derstir; nerede kaldı ki sevişmede!

Kadın, en öfkeli hâlinde dahi, ya da en büyük utanca gömülmüşken bile, ayaklarına kapanmayı küçümsemez.

Şu yerler öpülmelidir: alın, yanaklar, saçlar, gözler, her iki cinsin göğsü, dudaklar içten ve dıştan, kalçalar, önkollar ve kadının üreme organı.

Tutku arttıkça, tıpkı kavgada olduğu gibi beden tırnaklarla işaretlenir. Okşayıcı ısırıklar da aynı şekildedir.",""
"5D9479424DF1125FF3B4A68038DA2568","q203_readable","Ogłoszenia parafialne","Kilise Duyuruları","Başlık"
"43DF13684AECE853E3677DA91C74514D","q203_readable","Relikwie św. Spirydona w naszej parafii!

W dniach 17-18 września naszą praską świątynię odwiedzą relikwie św. Spirydona. Ku przypomnieniu tym wszystkim, których pamięć szwankuje: Św. Spirydon zasnął w Panu 12 grudnia 348 r. Jego szczątki cudownie nie uległy rozkładowi, po dziś dzień zachowują miękkość skóry i wydzielają niezwykle przyjemną woń.
Wszystkich serdecznie zapraszamy, aby pokłonić się jego ikonie oraz oddać cześć relikwiom w tych wyjątkowych i błogosławionych dla naszej parafii dniach.","Aziz Spiridon'un Kutsal Kalıntıları cemaatimizde!

17-18 Eylül günlerinde Praga mabedimizi Aziz Spiridon'un kutsal kalıntıları ziyaret edecek. Hafızası zayıflayanlara hatırlatalım: Aziz Spiridon, 12 Aralık 348'de Rab'bin rahmetine kavuşmuştur. Kalıntıları mucizevi biçimde çürümemiş; bugün bile cildin yumuşaklığını koruyor ve son derece hoş bir koku yayıyor.
Cemaatimizin bu özel ve kutlu günlerinde ikonasının önünde eğilmek ve kalıntılara saygı sunmak üzere herkesi candan davet ederiz.","Ortodoks kilise duyurusu"
"BEFD086F465ECB0DC9D9ED9211472D60","q203_readable","Gazeta Poranna","Sabah Gazetesi","Başlık"
