"Hash","NodeName","PL","TR","Notes"
"D924208144F2299B08CC37898C923193","IC_lw_smc01","Hotelowa Tragedia","Otel Faciası",""
"87445EE14C023041DA6F5896011A143F","IC_lw_smc01","A więc w momencie śmierci Ludwika, na balkonie był ktoś jeszcze - świadkini. Kobieta, najprawdopodobniej kelnerka z baru Meta, Seta i Lorneta.","Demek Ludwik öldüğü sırada balkonda bir kişi daha varmış — bir tanık. Bir kadın, büyük olasılıkla Meta, Seta i Lorneta barındaki bir garson.",""
"EFAC145E46A84EA6DFAF209E6E6D6FF9","IC_lw_smc01","Dowiedz się więcej o tragicznym wydarzeniu w śródmiejskim hotelu.","Şehir merkezi otelindeki trajik olay hakkında daha fazla şey öğren.",""
"8EE468534CD60979189BA7A9225BFF99","IC_lw_smc01","Artykuł z Kurjera Codziennego","Kurjer Codzienny'den Makale",""
"079D8D48407A67D25B20A480EA52ED05","IC_lw_smc01","Podczas zakrapianego przyjęcia w hotelu stracił życie młody człowiek. Według artykułu, przyjaźnił się z moim kuzynem, Pietią Woroninem.","Otelde içkili bir parti sırasında genç bir adam hayatını kaybetmiş. Makaleye göre kuzenim Pietia Woronin ile arkadaşmış.",""
"FD6956204ACAA9376AE1A6B7CD1EB017","IC_lw_smc01","Zapałki z baru Meta, Seta i Lorneta","Meta, Seta i Lorneta Barından Kibrit",""
"F2A13718401A46AD7BD45DBD6292E48A","IC_lw_smc01","Pudełko jest przemoknięte, ledwo można odczytać nazwę baru.","Kutu sırılsıklam olmuş; barın adı zar zor okunuyor.",""
"1739955D48A76F7F6768FD8373E20028","IC_lw_smc01","Gonitwa myśli","Düşünce Yarışı",""
"DDB5A3E44FDE520E07396C8CCD0117ED","IC_lw_smc01","Pudełko wciąż nosi ślad ciepła. Przerwa w pracy; mały płomyk zapala papierosa, mały płomyk nadziei tli się w duszy. Kelnerka odpływa w świat marzeń: widzi siebie w białej sukni i welonie, z wysoko podniesioną głową - nareszcie wartościowa.","Kutuda hâlâ bir sıcaklık izi var. İş arasında bir mola; küçük bir alev sigarayı yakıyor, küçük bir umut alevi de ruhta için için yanıyor. Garson hayal dünyasına süzülüyor: kendini beyaz gelinlikte ve duvakla, başı dik bir biçimde görüyor — sonunda değerli biri.",""
"522A41E34653A93655C0E1A0A8BBC263","IC_lw_smc01","Szpilka do włosów","Saç Tokası",""
"C151D2A54C31ADF78AE1579FDA600213","IC_lw_smc01","Szpilka do włosów zgubiona na hotelowym balkonie.","Otel balkonunda düşürülmüş bir saç tokası.",""
"CDF0464246A216F1C20B7FBF1273A385","IC_lw_smc01","Szok","Şok",""
"3B89D22C4E73E1FCC616728274CA9F72","IC_lw_smc01","Chciała poprawić fryzurę; palce nagle zesztywniały, ciało przeszył spazm. Metalowa szpilka naelektryzowana jest przerażeniem. Sekunda, która zniszczyła dwa życia, odcisnęła piętno na małej ozdobie, zmieniając ją w artefakt bólu.","Saçını düzeltmek istemiş; parmaklar bir anda kasılmış, vücudu bir titreme sarsmış. Metal toka dehşetle elektriklenmiş. İki hayatı yok eden o saniye, küçük süs eşyasına damgasını vurarak onu bir acı kalıntısına dönüştürmüş.",""
"6CE0A0654039448D644B14B8D3464505","IC_lw_smc01","Rodzina Krajewskich","Krajewski Ailesi",""
"EAAF83274312C2CA89AE94A8A3EDB0A4","IC_lw_smc01","Krajewscy są w trudnej sytuacji - Ludwik zmarł, a to jeszcze pogorszyło stan i tak już ciężko chorej Marii. Koszty leczenia są zbyt duże dla Zygmunta.","Krajewski ailesi zor bir durumda — Ludwik öldü ve bu, zaten ağır hasta olan Maria'nın halini daha da kötüleştirdi. Tedavi masrafları Zygmunt'un altından kalkamayacağı kadar büyük.",""
"C238D44143BC91D37C4AD4A9BFA1719A","IC_lw_smc01","Dowiedz się więcej o ciężkiej sytuacji Krajewskich.","Krajewski ailesinin zor durumu hakkında daha fazla şey öğren.",""
"204D8F50409CE92A37679D8EFDE2FA25","IC_lw_smc01","Pognieciony rachunek","Buruşturulmuş Fatura",""
"1860BC414811F8079C212BA4EBB94119","IC_lw_smc01","Wysoki rachunek za usługi lekarskie oraz adnotacja o długu.","Tıbbi hizmetler için kabarık bir fatura ve borca dair bir not.",""
"BA30C7A14F2AF0AFB0071D8A8D29EC23","IC_lw_smc01","Bezsilność","Çaresizlik",""
"9FEF1082465FC9965DFB08B3D7FB9D27","IC_lw_smc01","Kwoty mnożą się na kolejnych karteczkach, zapisane martwe ciągi cyfr. Papier jest wygnieciony przez spracowane dłonie, w rogu pofałdowany wilgocią łez. Bezsilność i rozpacz przechodzą przez serce falami, a każda coraz bardziej zwala z nóg.","Tutarlar art arda kâğıtlarda çoğalıyor; ölü rakam dizileri olarak yazılmış. Kâğıt, yıpranmış ellerde buruşmuş; köşesi gözyaşı nemiyle pörsümüş. Çaresizlik ve umutsuzluk yüreğin içinden dalgalar halinde geçiyor; her biri öncekinden daha çok yere seriyor.",""
"BD0828AC4C7A5133AE942CB4B3DE086C","IC_lw_smc01","Świeca","Mum",""
"1267405147A47929E0322D9B0E610F29","IC_lw_smc01","Na ołtarzyku poświęconym Ludwikowi pali się świeca.","Ludwik'e adanmış küçük sunakta bir mum yanıyor.",""
"05CCDC43432C96125611E1929B40D1BC","IC_lw_smc01","Ból Ojca","Babanın Acısı",""
"13EB88534A5484980F6E55A48D0421A4","IC_lw_smc01","Płomień syczy zdradziecko. Żałoba po śmierci dziecka kąsa i powoli wysysa krew. Zwłaszcza nocą, kiedy słychać też urywany oddech Marii. Zygmunt wie, że wkrótce postawi na ołtarzyku drugą świecę, a wtedy jego serce rozbije się na milion kawałków.","Alev hain bir biçimde tıslıyor. Bir çocuğun ölümünden duyulan yas ısırıyor ve kanı yavaş yavaş emiyor. Hele geceleri, Maria'nın kesik kesik nefesi de duyulurken. Zygmunt yakında sunağa ikinci bir mum dikeceğini biliyor; o zaman yüreği milyonlarca parçaya bölünecek.",""
"34C184D64E09FF338FDEC3AA0375A29F","IC_lw_smc01","Rozbity Talerz","Kırık Tabak",""
