Hash,NodeName,PL,TR,Notes
D2B4CE8B486E504296FDDAB1EA1B2E6C,CinematicNode_Choice_2,Zabierz bagaż bez dyskusji.,Bagajı tartışmasız al.,
BB94925741F4F327880E9196DDDFAE9F,CinematicNode_Choice_2,"Zapytaj, co jest w kufrze.",Sandıkta ne olduğunu sor.,
763A45D744F747619F383DA3B78B93EF,CinematicNode_Choice_2,1,1,
8CD240474A93CB920341AC9C214821E7,CinematicNode_Choice_2,2,2,
C3F1A94049958C68448F4580047F1B32,CinematicNode_Choice_3,Potwierdź.,Onayla.,
2FEA156349BCD1E8320212974F71FB22,CinematicNode_Choice_3,Zapytaj o jej pobyt u Nadarzyńskich.,Nadarzyńskilerdeki konaklaması hakkında sor.,
D6112EFB49AD9CC9C4B7BC9849DEE765,CinematicNode_Choice_3,"Powiedz, że musi jeszcze chwilę poczekać.",Bir süre daha beklemesi gerektiğini söyle.,
00DF52B54F3C143CD603539209B83B8C,CinematicNode_Choice_3,1,1,
B9EB7D964021B2FC2798E0AA3ED97322,CinematicNode_Choice_3,2,2,
382ED74846E4465FC681F28594719319,CinematicNode_Choice_3,3,3,
968C8E3948F644B3D1D34B96945F223B,CinematicNode_Response_10,Za chwilę do ciebie wrócę.,Birazdan sana döneceğim.,
C723692F477C60989B7CB0BB74F6D91D,CinematicNode_Response_10,Błagam. Nie zwlekajmy z wyjazdem.,Yalvarırım. Gidişi geciktirmeyelim.,
36F4988F406EC26D2A002A8B4B2192F4,CinematicNode_Response_11,Chodźmy. Już czas.,Gidelim. Vakit geldi.,
7CA8801D47B8B9F97CFECFA37CC47AA6,CinematicNode_Response_12,"Mam nadzieję, że miło spędziłaś czas w tej gościnie.",Umarım bu misafirlikte hoş vakit geçirmişsindir.,
89E5E9A14D69C8CCAF0F4D9117EF4AD1,CinematicNode_Response_12,"Masz niepokojących znajomych, doprawdy.","Tedirgin edici tanıdıkların var, doğrusu.",
A12E3EB1490F9C2F90388F9637ABCCB9,CinematicNode_Response_12,Nadarzyńscy są wycofani i nudni. W odróżnieniu od tego... Grigorija.,Nadarzyńskiler içe kapanık ve sıkıcı. Şu… Grigorij'in aksine.,
F302140E42D12E40D2A4A2BEA8DA7C98,CinematicNode_Response_12,Co o nim sądzisz?,Onun hakkında ne düşünüyorsun?,
2A4B8CAB47E0B6183E1EDAB29ADF78A5,CinematicNode_Response_12,Nie sądzę.,Düşünmüyorum.,
54E6DE334E0343043BE118B7618BAD57,CinematicNode_Response_12,"Chciałabym już opuścić to miejsce, jeśli to możliwe.","Burayı artık terk etmek isterim, mümkünse.",
E594CF3C4809FB55D938AEBAF4392DE0,CinematicNode_Response_13,Nie zwlekajmy.,Oyalanmayalım.,
EECB25584BE3BC317C1D19AFAE0CB055,CinematicNode_Response_13,Nareszcie. Nie zapomnij mojego bagażu.,Nihayet. Bagajımı unutma.,
FDFEC37545EF8B40DD3FCC8AC568B3AA,CinematicNode_Response_14,Możemy już jechać?,Artık gidebilir miyiz?,
4D4E145B4A7B3C67F197BAB997B6F5BB,CinematicNode_Response_15,Ile sukni i pończoch potrzebujesz?,Kaç elbise ve kaç çift çorap gerekiyor sana?,
26A022894300B783FA4BEFA08FEA6FBE,CinematicNode_Response_15,Ile zechcę. W kufrze mam bardzo opłacalne sekrety.,Ne kadar istersem. Sandığımda çok kârlı sırlar var.,
FA36C5CB4B411E549C72A28E1800CAA1,CinematicNode_Response_15,Szantaż?,Şantaj mı?,
7DE55CC340A275F97405F0B02A541D0E,CinematicNode_Response_15,"Ubezpieczenie. Korespondencja z różnymi osobami, które nie są do końca świadome, że jej nie spaliłam.","Sigorta. Yaktığımdan tam emin olmayan kişilerle olan yazışmalar.",
5B1594CA4DC9FFFE4456D1A6B47517D4,CinematicNode_Response_15,"Rozumiem, że tym razem też będę sam taszczył ten kufer?",Bu sandığı bu sefer de yine ben tek başıma mı taşıyacağım?,
0B09D400412AEA1C767E498022B62B6D,CinematicNode_Response_15,Pośpiesz się.,Acele et.,
9549EEA84F4A3B70FCE1248D94418B09,CinematicNode_Response_9,Nareszcie. Mam nadzieję że masz dobre wieści.,Nihayet. Umarım iyi haberlerin vardır.,
CAA2D95E456183F6B1037D8085DF0F88,CinematicNode_Response_9,Tak. Znalazłem odpowiednich ludzi. Mamy się z nimi spotkać w Porcie Praskim.,Evet. Uygun adamları buldum. Praga Limanı'nda onlarla buluşacağız.,
23536DFE4D9DB8F10C378896EF8D6F6D,CinematicNode_Response_9,Można im ufać?,Onlara güvenilir mi?,
C76255424DBF04563AC9748307290B31,CinematicNode_Response_9,Nie masz wyjścia. Podróż będzie też uciążliwa i kosztowna.,Başka çaren yok. Yolculuk ayrıca hem meşakkatli hem de masraflı olacak.,
D9F4F8D345E02649B66F03A6AFC8CBEB,CinematicNode_Response_9,Jestem przygotowana. Możemy ruszać natychmiast?,Hazırım. Hemen yola çıkabilir miyiz?,
