"Hash","NodeName","PL"
"29C7992B430283BC23B76E9EB319EA50","IC_q201b","Poszukiwanie kabalisty: Powiśle"
"8BE0D4564C39AE7B9277A39B22AAD5F4","IC_q201b","Wygląda na to, że Rofego można znaleźć na drugim brzegu Wisły, między straganami... Musi chodzić o Bazar Różyckiego."
"A934779349392BB3DC2326990685BD36","IC_q201b","Beczki z bimbrem"
"A49D01EA47DE203AD8B1818710569C70","IC_q201b","Bije od nich silna woń alkoholu."
"D9D60E3448263371236F3A8F5F295FA5","IC_q201b","Znudzenie"
"4B15F49B4A3AF469AC4AD5BD23CA36E7","IC_q201b","Nad beczkami wciąż unoszą się opary alkoholu. Czuć jednak coś więcej... to woń znudzenia i irytacji, spowodowanych wyjątkowo długim oczekiwaniem na powrót szefa. Drugi koniec Wisły to przecież nie jest koniec świata... Dlaczego w takim razie zajmuje mu to tak długo? "
"B31B488E41B7A177A1E65D93A42BAF73","IC_q201b","Pusty rejestr"
"F5A158F54B3E344266B86096FC1B9780","IC_q201b","Wszystkie strony puste, a jednak księga zdaje się być regularnie używana."
"47C61AC24FF1B111541284A0FFE5EBCE","IC_q201b","Ukryte słowa"
"88A403DC4703CCB8BAEE57BB0579319C","IC_q201b","Po pustych stronach błąkają się thaumaturgiczne intencje. Za zasłoną pozoru ktoś porządkuje zadania do wykoniania: spłacić haracz, rozwiązać sprawę z innym gangiem, zaplanować przerzut towaru. Dobra organizacja podstawą przestępczości."
"D555C19E4100E4815BC1679B5F488870","IC_q201b","Butelka po wodzie gazowanej"
"8CDBD24046DE30B7F19C46B8DCCA5593","IC_q201b","Smak dzieciństwa. Niestety, ta jest pusta."
"4BDDF3F5417B977C87DBC2B83B9FE361","IC_q201b","Pragnienie"
"9182ACA34B7CE6082A852080D67C3D32","IC_q201b","Łyk za łykiem, łyk za łykiem... Usta przywierały do butelki, by ugasić pragnienie, skumulowane w ciele po długim, gorącym dniu. Nie było czasu na poszukiwanie cienia, trzeba było załatwiać sprawy między straganami."
"1397F754486BFD82953BD7BA53D1C775","IC_q201b","Poszukiwanie kabalisty: Port Praski"
"01BB7FAB4550B5B06888F2B4B49239BC","IC_q201b","Mieszkanie Ariela musi znajdować się gdzieś wysoko nad piekarnią... Pewnie mieszka na poddaszu jednej z kamienic na Mirowie, skoro widzi z okna Gościnny Dwór."
"FE19F73740946B69AA41A3849712218A","IC_q201b","Okno na nieciekawy widok"
"53E6D7924C6B89C2256623B2B8DC21C9","IC_q201b","Sfatygowane okno z widokiem na brudne podwórze."
"7A640B944FA8E3A1D80DC3BA068A48A5","IC_q201b","Widok"
"CA476E684AC2DF330F6D2EB3D8711EB2","IC_q201b","Szyba nosi w sobie pamięć twarzy... Twarzy wyglądającej przez okno. Zmarszczone brwi, usta wykrzywione w dezaprobacie, oczy wyrażające pogardę... Ta ciemna nora przytłacza. Co innego mieszkanie ponad dachami, z którego widać Gościnny Dwór... "
"774FE0754266DADFB6784F821FC6FAF8","IC_q201b","Podrobiony banknot"
"852252C84BCCF88392DA84A4038D485B","IC_q201b","Fałszywy dolar amerykański."
"BE4EDDBD4B02580AE9142BB0FAA5C9D0","IC_q201b","Porażka"
"0AC9B1A5426B2EFAEDA8B89D24D11D9A","IC_q201b","Pomysł był dobry, wykonanie nie najgorsze, ale jednak intuicja podpowiedziała, żeby schować banknot w swoim mieszkaniu i na razie zapomnieć o fałszowaniu pieniędzy. To jednak trudniejsze, niż przypuszczano. Może kiedyś..."
"B05A51B446440A3E0CD41F96A1EF6E69","IC_q201b","Zaschnięta chałka"
"297D02A245F472F10B13FD8EC98E08E3","IC_q201b","Niedojedzona, leży tu od dawna."
"D8A57111498ED92C92C85C8A7CEE3BAB","IC_q201b","Pozytywne skojarzenie"
"9B61D2E741C87915EF3F679EA3A94309","IC_q201b","Mmm, serce radowało się z każdym gryzem chałki, zakupionej w ulubionej piekarni. Zapach świeżego pieczywa, wlatujący codziennie z dołu przez uchylone okno, zalewa duszę ciepłem i daje siłę do walki z przeciwnościami dnia codziennego."
"CD30E1004171DECE9FC3B8BFC7F89CA2","IC_q201b","Poluzowana deska"
"D412D436435A494A0D1B719C0E042C94","IC_q201b","Ktoś tu stworzył skrytkę. Sprytne..."
"2FB5238F4982D4A2422F6580DD16F75B","IC_q201b","Sekrety"
"17C0B9D44BD556F8A62F28974AB144AB","IC_q201b","Pod deską zawieruszyła się płochliwa myśl. A co jeżeli ktoś go zobaczy? Jeżeli to co skrzętnie chowane, dostanie się w niepowołane ręce? To dopiero byłby bajzel. A może powinien przenieść wszystko do domu, na Mirów? Nie. Miejsce precjozów jest pod deską."
"E6EBDCB64C1031D7C75507B5634D9826","IC_q201b","Pieniądz czy moralność?"
"A067C3444782A28A6E311292D29C64CB","IC_q201b","Policjanci nie mają żelaznego kręgosłupa moralnego, choć jeden z nich wciąż próbuje stać prosto. Skonfiskowane przedmioty stanowią dla nich potencjalne źródło zarobku, jeśli tylko odważą się iść w stronę moralnej degradacji. Wystarczy delikatnie popchnąć jednego z nich w tym kierunku..."
"502A1FBA4B165817F1675CBCE9B3191D","IC_q201b","Pudło z fałszywymi paszportami"
"BE54892A45049DE5F5D4A89F22E94937","IC_q201b","Fałszywki tylko czekają na wypełnienie."
"45378EEC4DF312C0E9FFB08BB73C13C2","IC_q201b","Okazja"
"A6673B9D46A13FB8CE4ED39CAE4BB81D","IC_q201b","Obowiązek obowiązkiem, ale głowa podpowiada, że można by nieźle zarobić na niektórych z zarekwirowanych fantów. Łebscy ci przemytnicy. Gdyby tylko dało się przekonać do tego pomysłu towarzysza..."
"04AFFEA6467907D3B8A043B9778E3890","IC_q201b","Drewniane ogrodzenie"
"A52888ED48AA886EEA42FC929ACA4F6C","IC_q201b","Próchnieje i ledwo się trzyma."
"0DDB319B4BF59D546DCCDAB7A74FFFF1","IC_q201b","Skrupuły"
"C15FB29D43188AFE24C18DABEB87B69F","IC_q201b","W słoje zniszczonego drewna wniknęła wątpliwość przeplatana rozdarciem. Z jednej strony zawsze czuł obrzydzenie do łapówkarstwa i prowadzenia nielegalnych interesów, ale z drugiej strony... nie pogardziłby dodatkową gotówką. W końcu życie go nie rozpieszcza. "
"73946B5246FB434E1F7338880AD74FFA","IC_q201b","Gilotyna do papieru"
"D53272F14E2C7376D96B6C9C9E9E8C3C","IC_q201b","Profesjonalny sprzęt."
"A54538CE4B065DA636467A842F99693B","IC_q201b","Popyt"
"3CD9FADE4648CD88A2D3D0903D9C9A86","IC_q201b","Każde ostre cięcie to nowy dokument, czysta karta i czyjaś szansa... No i profit. Na fałszywki zawsze jest popyt, więc opłacało się wytrenować ludzi, aby nauczyli się nią porządnie obsługiwać. Kilka zacięć i utrata opuszka czy dwóch to mała cena."
"74CD359D4A491E43AFC11091944385EE","IC_q201b","Ariel Rofe"
"E3F345A74081C99F36C41DBB75E1E822","IC_q201b","Gdzieś po drodze Ariel Rofe doszedł do wniosku, że Boga nie ma, przeżyją najsilniejsi, a najlepszym życiowym celem jest zemsta. Jednak pod maską twardego gangusa wciąż skrywa ciepłe i wrażliwe serce. Jest pomocnym sąsiadem, lojalnym przyjacielem i rozpaczającym po stracie kochankiem. Widzę cię, Ariel."
"01AC30BF483ABB62AE72609F356607B7","IC_q201b","Metalowa mezuza"
"BCDFA89E40ACB30FD92858B300CBE0C7","IC_q201b","W środku znajdują się fragmenty zwojów Tory. Mają chronić przed złymi mocami."
"E0DDFBD44BB3368CF3EE10B3FFAA84E0","IC_q201b","Ostrzeżenie"
