"Hash","NodeName","PL","TR","Notes"
"4EA3B9F04332C4B9337309964EE08A28","CinematicNode_Choice_0","Ześlij na Kafara wielką trwogę, aby zostawił Maksa w spokoju.","Kafar'ı, Maks'ı rahat bırakacak kadar büyük bir dehşete sok.",""
"7333656B4371C268E921BF9682A06E0C","CinematicNode_Choice_0","Zasugeruj inną strategię. Zdradź mu sekret Kafara.","Başka bir strateji öner. Ona Kafar'ın sırrını ifşa et.",""
"1137D4144199595FAC7AFDA636820DCC","CinematicNode_Choice_0","Najpierw zapytaj Kafara o dług Maksa.","Önce Kafar'a Maks'ın borcunu sor.",""
"41849ACD4A09B0E5565F368C7C26F26A","CinematicNode_Choice_0","Zgódź się na strategię Abaurycego.","Abaurycy'nin stratejisini kabul et.",""
"4080E167476F00F7FAC7498EAF007084","CinematicNode_Choice_0","1","1",""
"962AECBE4828EEF8DBC180A8D01AD265","CinematicNode_Choice_0","2","2",""
"56C42D92499DCD96E311BE8073BD7270","CinematicNode_Choice_0","3","3",""
"8E284E97461BB0AFBEAE5D9809B302D5","CinematicNode_Choice_0","4","4",""
"3AF2599A4B4610B77112BB9F3139F837","CinematicNode_Response_0","Kafar, ty chuju.","Kafar, seni şerefsiz.",""
"AEA6C5634B90C05D068A21B7D4AD32CB","CinematicNode_Response_0","Niedzic, ty <dl>garbusie</>. Zawsze wpadasz bez zapowiedzi.","Niedzic, seni <dl>kambur</>. Hep haber vermeden çıkıp geliyorsun.",""
"C08CB7724080B4D1957003BF71B003F2","CinematicNode_Response_0","Słyszysz go? Lichwiarz mnie <dl>garbusem</> nazywa, ścierwo.","Şunu duyuyor musun? Tefeci bana <dl>kambur</> diyor, leş.",""
"08F471644E766FA4FADD2A948E47B1B1","CinematicNode_Response_0","Następnym razem <i>bilecik</> przyślę! Masz swoją żałosną osobę trzymać z dala od moich ludzi. Zwłaszcza, od Maksa.","Bir dahaki sefere <i>davetiye</> yollarım! Şu zavallı şahsını adamlarımdan uzak tut. Özellikle Maks'tan.",""
"56F347A549764B2467DA84AAD97ED242","CinematicNode_Response_0","A co ty mi możesz, ja tu mam renomę. Lepiej zamknij jadaczkę i idź sobie szczekać gdzie indziej.","Ne yapabilirsin ki bana, benim burada bir saygınlığım var. Çeneni kapat da git başka yerde havla.",""
"D09EF58E4DD06066A6EBD7B98238BD8A","CinematicNode_Response_0","Jadaczka, to mu zaraz odpadnie. Bierzemy go!","O çenesi şimdi düşecek. Hadi yakalayalım onu!",""
"F6D32B2042514B23D785B9BB041206B0","CinematicNode_Response_1","Już widzisz siebie w drogim surducie, otoczonego właścicielami kramów, którzy okazują ci względy i szacunek. Wgapiają się w ciebie, jak psy.","Kendini pahalı bir redingotla, sana itibar ve saygı gösteren tezgâh sahiplerinin ortasında görüyorsun zaten. Köpekler gibi sana bakıyorlar.",""
"EF9CCCC147989D5E13727FB53BD5767A","CinematicNode_Response_1","Złudna to słodycz. Jedno życzliwe słówko o twoim cukrze i bańka pryska. Nic nie masz, upokorzony, przegrany, gnijesz w zapomnieniu.","Sahte bir tatlılık bu. Şekerinle ilgili tek bir hayırsever kelime ve baloncuk patlıyor. Hiçbir şeyin kalmıyor, aşağılanmış, mağlup, unutulup gitmek üzere çürüyorsun.",""
"537BF30943CA1C337AFF67BAB8F188DD","CinematicNode_Response_1","Wszystko stracone! Nie! Tyle lat starań... Włażenia w tyłek zarządcy. Użerania się z tymi sukinsynami z Różyca... ja nie dam rady w więzieniu.","Her şey gitti! Hayır! Bunca yıl çabalamak… Müdürün kıçına girmek. Różyc'teki o orospu çocuklarıyla uğraşmak… hapse dayanamam ben.",""
"E910CEC045F69E3303BF5BAB34773AF8","CinematicNode_Response_1","Chyba że...","Tabii… belki…",""
"F6854A2D4CDAED876E0180A28C97F677","CinematicNode_Response_1","Zgoda, zgoda, panie Niedzic! Cokolwiek zechcesz. O Maksie już zapomniałem. <i>Sztymunek</>?","Tamam, tamam, Niedzic Bey! Ne istersen olsun. Maks'ı çoktan unuttum. <i>Anlaştık</> mı?",""
"8AAFAEEF483581987075CDAAD4CB2520","CinematicNode_Response_1","Myślę, że się dogadamy.","Sanırım anlaşırız.",""
