"Hash","NodeName","PL","TR","Notes"
"1E625E894C791B531B0555863E5E560F","CinematicNode_Choice_2","Poproś, żeby przeszedł do rzeczy.","Sadede gelmesini rica et.",""
"AFC008184D57F584E76BCC9F14C621F5","CinematicNode_Choice_2","Wysłuchaj notariusza w milczeniu.","Noteri sessizce dinle.",""
"0D2BEDBF4F2FC153EA95A6AC2BF692B3","CinematicNode_Choice_3","Pogratuluj obojgu, powiedz, że poczekasz w kuchni.","Her ikisini de tebrik et, mutfakta bekleyeceğini söyle.",""
"0C8500C24A5C7140244A9B86B1E92C28","CinematicNode_Choice_3","Czekaj na koniec ceremonii.","Törenin bitmesini bekle.",""
"82217A9D4EF1403CD5A3239FD98ED80B","CinematicNode_Choice_3","Zapytaj, czy matka coś dostanie.","Annene bir şey kaldı mı diye sor.",""
"07E3ABE8403FB7D3CEF80880097CD447","CinematicNode_Response_13","Ostatnia wola pana Szulskiego została sporządzona już kilka lat temu, w obecności notariusza Zacława Fiedorowa, czyli mojej.","Pan Szulski'nin son vasiyeti yıllar önce noter Zacław Fiedorow'un — yani benim — huzurumda tanzim edildi.","Noter resmi dil"
"9E7DA61145469D80F47F4A801764332F","CinematicNode_Response_13","""Ostateczna wola moja, roku pańskiego tysięcznego osiemsetnego osiemdziesiątego ósmego spisana.""","""Son vasiyetim, Rabbimizin bin sekiz yüz seksen sekizinci yılında kaleme alınmıştır.""","Vasiyet metni — dönem tınısı"
"85D52E584697F84F2D179DB538D7E992","CinematicNode_Response_13","""W Imię Świętej Trójcy. Amen!""","""Kutsal Teslis Adına. Amin!""",""
"6983C9DA49DD70D1AD79FBA5DD4C9652","CinematicNode_Response_14","Przepraszam, ale moglibyśmy przejść do konkretów?","Bağışlayın, ama sadede gelebilir miyiz?",""
"3A0F241246D3F8333EA757BB3CDA12F5","CinematicNode_Response_14","Wiktor.","Wiktor.",""
"E5EB38E643790DD8D33B39919A984E5D","CinematicNode_Response_14","Chyba wszyscy chcemy zająć się bardziej doczesnymi sprawami, prawda?","Sanırım hepimiz daha dünyevi meselelerle ilgilenmek istiyoruz, değil mi?",""
"EB8718BC4E47E27A5D5744ADC547D127","CinematicNode_Response_14","W zasadzie...","Aslında…",""
"728741F64ADB9CA6A2B386AD09C81D10","CinematicNode_Response_14","Byłby pan łaskaw?","Lütfeder misiniz?",""
"0F288CD5401DC141E18851A79901FC00","CinematicNode_Response_14","Oczywiście... O! Tutaj. ","Elbette… A, işte burada. ",""
"D8D9D61E488A2A6D760FB5B45F0E4984","CinematicNode_Response_15","""Chcę również przyjść w pomoc mojemu jedynemu synowi, Wiktorowi Szulskiemu...""","""Biricik oğlum Wiktor Szulski'ye de yardım elini uzatmak isterim…""",""
"BDDC73CE443CE01564DDF6902B4102A6","CinematicNode_Response_15","""...jemu powierzając w użytkowanie mój osobisty Czarny Grymuar.""","""…kendisine şahsi Kara Grimuar'ımın kullanımını emanet ederek.""","'Czarny Grymuar' özel eşya — büyük harfli"
"6DA99AC8477CD7109B3B0391FC830C56","CinematicNode_Response_16","""Pierwszą zatem i nieodwołalną wolą moją jest ustanowienie egzekutorką tego testamentu córki mojej, Ligii Szulskiej...""","""Binaenaleyh ilk ve geri dönülmez iradem, işbu vasiyetin uygulayıcısı olarak kızım Ligia Szulska'yı atamaktır…""",""
"FB027EBC48D757BD657DEC887E633F4F","CinematicNode_Response_16","""Zaraz po śmierci mojej niechaj będzie spisanym inwentarz z całą formą przez prawo przepisaną.""","""Ölümümün hemen ardından, hukukun tayin ettiği bütün usullerle bir envanter kaleme alınsın.""",""
"08533FB4418C6932DEDCBFAD8263B555","CinematicNode_Response_16","""Po ukończeniu inwentarza, wszystkie osobiste ruchomości moje przez publiczną licytację sprzedane zostaną...""","""Envanter tamamlandıktan sonra tüm şahsi menkullerim açık artırmayla satılsın…""",""
"0D233BDA4D2ED84D2A55D7B087B6C912","CinematicNode_Response_16","""...a pieniądze tak zebrane, w rocznicę mojej śmierci pod cmentarzem żebrzącym niech ofiarowane będą.""","""…böylece toplanan paralar, ölümümün yıl dönümünde mezarlık kapısındaki dilencilere dağıtılsın.""",""
"0A0203DE4E369BFB132F7B8BCDC954D6","CinematicNode_Response_16","""Administrację pozostałej części majątku mego, nieograniczenie w osobie córki mojej, Ligii, pozostawiam."" ","""Servetimin geri kalan kısmının idaresini, sınırsız yetkiyle kızım Ligia'nın uhdesine bırakırım."" ",""
"223D57E749B1E439A68CEAB0B2EA8897","CinematicNode_Response_16","Ja nawet łyżeczki nie dostanę?","Bana bir kaşık bile kalmıyor mu?",""
"A4DD79A3418E48A19ECA63A09EFFCB5C","CinematicNode_Response_17","""Życzyłbym sobie, żeby robione interesy były nieduże, nieryzykowne i uczciwe, takie, jakie ja przez całe życie robiłem.""","""Yürütülecek işlerin küçük, risksiz ve dürüst olmasını dilerim; benim ömrüm boyunca yaptığım cinsten.""",""
"B9CE5298484E2C2AF282558564558E8F","CinematicNode_Response_17","Kawalarz do samego końca.","Sonuna kadar şakacı.","Wiktor babası hakkında"
