"Hash","NodeName","PL"
"42870A9B4CCAFB0C21AA09AB605D5D21","IC_lw_pp01_fake_poi","Najnowsze fajerwerki"
"6B887FB8469B06274ECDA1899CF28902","IC_lw_pp01_fake_poi","Ostatnio w okolicach magazynu odbywają się pokazy fajerwerków. Jeśli zagadnie się tam o ""Złotego Tygrysa"", będzie można zobaczyć wyjątkowo piękny spektakl na nocnym niebie."
"CD0E9354482162996A6B5DBC6A15B198","IC_lw_pp01_fake_poi","Etykieta ze skrzyni"
"B1A056A8423BBCAD11216AA02FCB729D","IC_lw_pp01_fake_poi","Ktoś wieczorem niósł tędy skrzynię z fajerwerkami."
"D975C3ED45F2868C670EDC98795C7E7A","IC_lw_pp01_fake_poi","fireworks"
"827D2F064F0136890B1C0B9A9AC1A362","IC_lw_pp01_fake_poi","Dłonie dźwigające ciężką skrzynię drżą lekko, nie tylko z wysiłku. Ekscytacja dodaje dodatkowej siły rękom. Jeszcze trochę cierpliwości; jeszcze jeden wieczór, a zobaczy te cuda w akcji, na niebie. Będzie prawdziwy pokaz - z pazurem."
"D2FD26024946E3BF42998E99D13794F8","IC_lw_pp01_fake_poi","Rozbita butelka"
"0E6740D341D467A33645CDBA4F6B6FEB","IC_lw_pp01_fake_poi","Stłuczona butelka taniego portera."
"38D426304202CB80612DD0A2CE9601FE","IC_lw_pp01_fake_poi","Szkło"
"204636874B1277AE9BFE0FA7943ECF4E","IC_lw_pp01_fake_poi","Na szkle wciąż mieni się feeria barw - tak niesamowita, że na jej widok butelka z piwem wysunęła się z dłoni, roztrzaskując się na kawałki. Ten pokaz wart był jednak straconego trunku. Dobrze, że tu przyszedł i zagadał do ludzi z magazynu. I że zabrał ze sobą Halinkę."
"A08891894A0C05CC645592A2149EA9FC","IC_lw_pp01_fake_poi","Reklama fajerwerków “Złoty Tygrys”"
"C2BB0099481AAFAD3A745CBC5FEAAC26","IC_lw_pp01_fake_poi","Fajerwerki tej marki robią furorę."
