"Hash","NodeName","PL","TR","Notes"
"F535873346C93A456578E3B368267C80","CinematicNode_Choice_0","Wyznaj mu, że Leila go okrada.","Leila'nın onu soyduğunu itiraf et.",""
"B0F08D9C4E68B368035DDAB0C6CA75D8","CinematicNode_Choice_0","Zapytaj, czemu zwą go ""Pęsetą"".","Neden ""Pęseta"" diye çağrıldığını sor.",""
"355B4224411E4889AEF60281452A18FC","CinematicNode_Choice_0","Zapytaj o pogrom alfonsów.","Pezevenk pogromu hakkında sor.",""
"66221EB94907DF91CA544AAF4A2C4AD7","CinematicNode_Choice_0","Odejdź.","Çekil git.",""
"9B52A30848D8EFC86A8B72A5D21D96FD","CinematicNode_Choice_0","1","1",""
"0A227A4345F2A1D1DAB2E29923DC4D85","CinematicNode_Choice_0","2","2",""
"DC5E74604690957A7E2FBB91E1516727","CinematicNode_Choice_0","3","3",""
"CF040D2340039E8E773971B15D74EB54","CinematicNode_Choice_0","4","4",""
"BB922F6D485CA61AC066A6BEC44F75C3","CinematicNode_Choice_1","Powiedz, że jesteś otwarty na wszystko.","Her şeye açık olduğunu söyle.",""
"E40631DF4EFB44298DF52CBD09BFD2F1","CinematicNode_Choice_1","Zaznacz, że to tajemnica zawodowa.","Bunun mesleki sır olduğunu belirt.",""
"EEAA4CAB414643B90203579126ECD5EB","CinematicNode_Choice_1","Zauważ, że to nie jego sprawa.","Bunun onun işi olmadığına dikkat çek.",""
"E895A84C417086EA51F4B8B6855F93BC","CinematicNode_Choice_1","Powiedz, że jesteś prawiczkiem.","Bakir olduğunu söyle.",""
"A96474BE4617B10419C668AB883A7620","CinematicNode_Choice_1","1","1",""
"A378B43540DB50E550C94F92411A85D6","CinematicNode_Choice_1","2","2",""
"079ECD504CB62DED0A27199A376AAF9D","CinematicNode_Choice_1","3","3",""
"B51BF78F4881E00DD6ADB5A23FBACC29","CinematicNode_Choice_1","4","4",""
"A03B4E2A498296D499F0228C9B5B890A","CinematicNode_Choice_2","Porusz temat Ochrany.","Ochrana konusunu aç.",""
"1C97D57A4F8ACB28524EFEB8FB6B92E5","CinematicNode_Choice_2","Zapytaj, jak doszło do pogromu.","Pogromun nasıl gerçekleştiğini sor.",""
"09DCB18D4D9EBB66A2706A82661B230F","CinematicNode_Choice_2","Zmień temat.","Konuyu değiştir.",""
"1E76E9D7481556A76D1333BAEAB80BF7","CinematicNode_Choice_2","1","1",""
"C54ECE224ABC7F416F71608C580D1BAA","CinematicNode_Choice_2","2","2",""
"C9143DF9437821E8E0FB10AC1C29CB33","CinematicNode_Choice_2","3","3",""
"0FB1FD5F40769BD5C90022B28BC628BF","CinematicNode_Choice_3","Zdradź, że Leila zna szyfr do sejfu.","Leila'nın kasa şifresini bildiğini ifşa et.",""
"2394673C4D90A6D3450ACA87F1460B2F","CinematicNode_Choice_3","Wspomnij o złotym zegarku.","Altın saati an.",""
"CB77C6F3480C924468CFB08F2F21F359","CinematicNode_Choice_3","Odpuść.","Bırak.",""
"1E2F7BD24B94EA517DB37B801484F98A","CinematicNode_Choice_3","1","1",""
"3ED53ABE4B08CD5B560C438DDEBC0488","CinematicNode_Choice_3","2","2",""
"B2A1F46740546E2F36A4D98C8E74A4AA","CinematicNode_Choice_3","3","3",""
"FF979BCA47E13B0F816785A8419A2DD4","CinematicNode_Choice_4","Powiedz, że nigdy nie pójdziesz na układ.","Hiçbir zaman anlaşmaya yanaşmayacağını söyle.",""
"C5E841FD4A5FD12B70375A9A77A7D396","CinematicNode_Choice_4","Przyznaj, że pójdziesz na układ.","Anlaşmaya yanaşacağını itiraf et.",""
"329E9CF94A10DCF492015EA99649ABEE","CinematicNode_Choice_4","Przyznaj, że nie wiesz.","Bilmediğini itiraf et.",""
"D39195484D976CBB18F34DA6CC4F1B4B","CinematicNode_Choice_4","1","1",""
"0AFE57014859457A458A4182F5DD861F","CinematicNode_Choice_4","2","2",""
"B06DCE7F40F0E45EF55900996CB561A5","CinematicNode_Choice_4","3","3",""
"EE0709A04C6B345C2BCA11B5B730F4DB","CinematicNode_Choice_5","Nie mieszaj się.","Karışma.",""
"58041CD4471AEDF50DDFFFB6E830EF3C","CinematicNode_Choice_5","Powstrzymaj Pęsetę.","Pęseta'yı durdur.",""
"A0FF249A485C7B5CAE46079AFC74608D","CinematicNode_Choice_5","1","1",""
"915A148F4F5677DAA18273B6FB819095","CinematicNode_Choice_5","2","2",""
"079F30E542CDF3897DBF8AB83CA019B9","CinematicNode_Choice_6","Przejdź do rzeczy.","Lafı dolandırma.",""
"536A3D5448583FB6A257A9A81BCC6EAE","CinematicNode_Choice_6","Powiedz, że to drobnostka.","Önemsiz bir şey olduğunu söyle.",""
"D0D71B6042E155AB03FC9F8D44804259","CinematicNode_Choice_6","1","1",""
"B8CA691247DFD9906699188383D6B8CD","CinematicNode_Choice_6","2","2",""
"6F3B51384313E9B29BC714AAFC1524A6","CinematicNode_Choice_7","Sięgnij do jej Skazy.","Onun Kusuruna uzan.",""
"F4765A32408B38079D900793C0DC175D","CinematicNode_Choice_7","Przyznaj, że musisz zabrać jej Zuchwałość.","Küstahlığını almak zorunda olduğunu itiraf et.",""
"A93DEC7D428EE2129AF0848912B476E9","CinematicNode_Choice_7","Powiedz, że nie mielibyście przyszłości.","Geleceğinizin olmayacağını söyle.",""
"FE4A812D4F3B9E217C26EBA6C01375BD","CinematicNode_Choice_7","1","1",""
"F56484844F735DCC4933E18491385CAB","CinematicNode_Choice_7","2","2",""
"F1A45DF14902CFE0340E2590D1F79464","CinematicNode_Choice_7","3","3",""
"C60CEA6945B19FCD73349689DF44830A","CinematicNode_Choice_9","Wyjaśnij, że to niedorzeczny pomysł.","Bunun saçma bir fikir olduğunu açıkla.",""
"03D7F48C4BFFAFB6C5A38EA66A386140","CinematicNode_Choice_9","Grzecznie odmów.","Kibarca reddet.",""
"4C8FD6104BCEAEF6EAEE53819184768D","CinematicNode_Choice_9","1","1",""
"F6AD526F44E53037D5C962BBF802EFDF","CinematicNode_Choice_9","2","2",""
"54A1D6C743E17A5CACD9D9A161658CAE","CinematicNode_Response_0","Ładne miejsce. Czemu <i>Harem</>?","Güzel bir yer. Neden <i>Harem</>?",""
"8A4F9E9A415AC8AFDEF33DB6F1C7F693","CinematicNode_Response_0","A czemu thaumaturg nie zacznie odpowiadać na pytania, zamiast je zadawać?","Peki ya tılsımkâr soru sormak yerine sorulara cevap vermeye başlasa olmaz mı?",""
"A0CDD6FB4C3CF2415A266D87AAF2CD20","CinematicNode_Response_0","Ciekawym, jak to z wami jest w łóżku? Co robią wtedy wasze demony?","Merak ediyorum, yatakta nasılsınız? Cinleriniz o an ne yapıyor?",""
"9B2EB6904C205DDC2339639D5E480CE4","CinematicNode_Response_1","Pan Pruderyjny powraca.","Bay Utangaç geri döndü.",""
"893CDC604BCEA8BAD9220E9CF4AB63C2","CinematicNode_Response_10","Pójdę już.","Artık gidiyorum.",""
"695108F8400D0E1EDCE08180C29781EF","CinematicNode_Response_10","Idź, zrób jakieś świństwo.","Git, bir pislik yap.",""
"84F3D3C44409CD8862290FA3129E5DCA","CinematicNode_Response_11","Powiedz, czy z moich ludzi jeszcze coś będzie?","Söyle, adamlarımdan bir şey kalacak mı?",""
"F7DA21124E1BBEE5E3FCCAAA6FD2988A","CinematicNode_Response_11","Przeżyją.","Hayatta kalacaklar.",""
"5541ECC047AE15AE99EFCD8BBDE7EACE","CinematicNode_Response_11","Mówiłem też, żebyś się zachowywał.","Uslu durmanı da söylemiştim.",""
"D7017C0B4E5C94B5A7746F8558C4D872","CinematicNode_Response_12","Nudziarz.","Sıkıcı.",""
"9D72893A4A062813476E0CBB9F52D9E8","CinematicNode_Response_13","Głupia zasada.","Aptalca bir kural.",""
"84B08E8C43B8F2FC28E300A423A67DA6","CinematicNode_Response_14","Byłeś tu w maju, w czasie <i>pogromu alfonsów</>?","Mayıs ayında buradaydın mı, <i>pezevenk pogromu</> sırasında?",""
"371F7AF6474D37C093D545BC8832B388","CinematicNode_Response_14","Byłem, byłem. I nadal tu jestem. Niestety, nie wszyscy mieli tyle szczęścia.","Buradaydım, evet. Ve hâlâ buradayım. Ne yazık ki herkes bu kadar şanslı olamadı.",""
"E08F5B1A4F227602E73F1BAB12416568","CinematicNode_Response_15","Jestem zajęta.","Meşgulüm.",""
"F349ED6F471AAC7390817CBE22C22CCA","CinematicNode_Response_15","Dobieraniem się do mojego sejfu?","Kasama el atmakla mı?",""
"59B8A48F4DBFC22262AEF381DADAE5EF","CinematicNode_Response_15","Kto tak twierdzi?","Kim böyle iddia ediyor?",""
"3295AA934169D0D3A51FED927E863996","CinematicNode_Response_16","Mam inne pytania.","Başka sorularım var.",""
"5422905648CBFF1877DDED8FC0D03E90","CinematicNode_Response_16","Jest tyle przyjemniejszych rzeczy, które mógłbyś robić tu tymi ustami.","Burada o ağzınla yapabileceğin daha zevkli şeyler var.",""
"D3EB9ED44853EE194E55A2AAF7378E22","CinematicNode_Response_16","Ale pytaj.","Neyse, sor bakalım.",""
"09D6C49D4373AC821A22DE86B9767743","CinematicNode_Response_17","Szczęściu można też pomóc, prawda? Jeśli się ma, na przykład układ z prowokatorami Ochrany, to wiele może ułatwić.","Şansa yardım da edilebilir, değil mi? Eğer mesela Ochrana provokatörleriyle bir anlaşma varsa, bu pek çok şeyi kolaylaştırabilir.",""
"B989E207441B02069FF85E99CF5B53B1","CinematicNode_Response_17","Mówią, że szczęście sprzyja tym, którzy radzą sobie sami. Ja żyję, dziewczyny mają gdzie pracować. Wszyscy są zadowoleni.","Şansın, kendi kendine yeten kişileri kayırdığı söylenir. Ben yaşıyorum, kızların çalışacak yeri var. Herkes memnun.",""
"9B426D0648220253E8CA0CAB101AF5B4","CinematicNode_Response_17","A jeśli jutro, nienawistny tłum obierze sobie za cel wszystkich magików? A jedynym ratunkiem dla ciebie i przyjaciół, będzie układ z Ochraną?","Ya yarın nefret dolu bir kalabalık tüm büyücüleri hedef alırsa? Ve senin ile arkadaşların için tek kurtuluş Ochrana ile anlaşmak olursa?",""
"F019FC98404EAF583FD6178BAA5F7E9F","CinematicNode_Response_17","Pomożesz wtedy swojemu szczęściu, czy będziesz grymasił?","O zaman şansına yardım eder misin, yoksa yüzünü ekşitir misin?",""
"9676808F43FAA95F134D6183534981B3","CinematicNode_Response_18","Jak doszło do pogromu?","Pogrom nasıl gerçekleşti?",""
"88EB0F4745B062489BA65BBF69ECE88E","CinematicNode_Response_18","Nie, nie, kocie. Właściwe pytanie brzmi, <i>dlaczego</>.","Hayır, hayır, yavrum. Doğru soru <i>neden</> diye sorulur.",""
"AFE669A34CC09AA5D5E9CEAAAB5D5E19","CinematicNode_Response_18","Tego jednak nikt do końca nie wie. Jedni mówią, że to antysemiccy robotnicy. Inni, że to prowokacja Ochrany, bo <ru>soldaty</> to tu stali bywalce.","Ama bunu kimse tam olarak bilmiyor. Kimileri bunun Yahudi karşıtı işçiler olduğunu söylüyor. Kimileri ise Ochrana'nın provokasyonu, çünkü <ru>soldaty</> buraya sürekli gelirdi.",""
"0AEC15C94D7CF4C1E641A5A8F84F1F7F","CinematicNode_Response_18","Czasem trzeba upuścić <i>złej krwi</>, żeby gawiedź się uspokoiła.","Bazen kalabalığı yatıştırmak için <i>kötü kan</> akıtmak gerekiyor.",""
"02A4A5004B5FD22A9BECB6ABC6A7C3CA","CinematicNode_Response_19","Nie wiem, nie jestem w podobnej sytuacji.","Bilmiyorum, böyle bir durumda değilim.",""
"233235E74AF9AC572FA27A90893F75EB","CinematicNode_Response_19","Po tym, co się słyszy na ulicach, zacząłbym się zastanawiać nad takimi kwestiami.","Sokaklarda duyulanları göz önüne alırsan, bu tür meseleleri düşünmeye başlardım.",""
"EDEA7ECF4D683264C15B7C87C65B59ED","CinematicNode_Response_2","Nikt nic nie twierdzi. To wszystko.","Kimse bir şey iddia etmiyor. Hepsi bu.",""
"43784937497EEF59D520D0874A0C3881","CinematicNode_Response_2","Nie zawracaj mi głowy swoimi bredniami.","Saçmalıklarınla kafamı şişirme.",""
"E8350CEF42851CE1C93F6A9F7C0836B6","CinematicNode_Response_20","Nigdy nie będę układał się z carskimi służbami.","Çar'ın hizmetleriyle hiçbir zaman anlaşmam.",""
"06D948B445859E200319B28CA6DEF019","CinematicNode_Response_20","Nigdy nie mów nigdy.","Asla deme asla.",""
"AD1EB552423B04014BB88295B0926219","CinematicNode_Response_21","Jeśli miałbym w ten sposób kogoś ocalić, pewnie bym przystał na taki układ.","Bu şekilde birini kurtarabilseydim, muhtemelen böyle bir anlaşmayı kabul ederdim.",""
"26343E2940DACE8CC1AA8492944075C6","CinematicNode_Response_21","Zatem się rozumiemy.","O zaman anlaşıyoruz.",""
"F0E3B1EE4E7CAE3F1200489287B7A4D3","CinematicNode_Response_22","Znasz szyfr. Wiem, że z nudów powtarzasz go w myślach.","Şifreyi biliyorsun. Sıkıntıdan onu zihninde tekrar ettiğini biliyorum.",""
"7F23BF2A4B4B024FD869C8A30201535D","CinematicNode_Response_22","Słyszałeś? Trzymaj przy nim swoje myśli na wodzy, bo się wyda, jakim jesteś dewiantem.","Duydun mu? Düşüncelerini dizginlesen iyi olur, yoksa ne kadar sapkın olduğun ortaya çıkar.",""
"A365F1B7404F00555B5E5F954024C4A1","CinematicNode_Response_23","Złoty zegarek, który zwinęłaś z Gościnnego Dvuru szepnął mi, że z podobną ostrożnością podbierasz banknoty z sejfu. Z umiarem, żeby nikt się nie połapał.","Gościnny Dvur'dan aşırdığın altın saat bana fısıldadı ki banknotları kasadan aynı dikkatle çalıyorsun. Kimse fark etmesin diye ölçülü ölçülü.",""
"D34A82234B1377BCAA6871A8DECAB243","CinematicNode_Response_23","Rozmawiasz z zegarkami? Może węże też zaklinasz?","Saatlerle mi konuşuyorsun? Belki yılan da büyülüyorsundur?",""
"449703F54C0A431A27DA48A34028D510","CinematicNode_Response_23","Tak.","Evet.",""
"321C75364A0204D8928C2E914B654811","CinematicNode_Response_24","Nie mam pojęcia, jeszcze czekam na odpowiednią osobę, której będę mógł oddać mój wianuszek.","Hiçbir fikrim yok, hâlâ çiçeğimi verebileceğim doğru kişiyi bekliyorum.",""
"9A63BBEC4B3BECCBE177349DEDC6BA91","CinematicNode_Response_24","Dziw zatem, że poznajemy się w burdelu.","O zaman bir genelev'de tanışmamız ilginç.",""
"E0DB71B54342BE226761E58540B1DEE0","CinematicNode_Response_26","Leila, kieszenie.","Leila, cepler.",""
"B08259C545195D3F49A3F4ACCC0C0291","CinematicNode_Response_26","Daj spokój. Czy <i>1891</>, to jakaś ważna data?","Bırak şimdi. <i>1891</>, önemli bir tarih mi?",""
"A36F4BDF4F70754FF39E9BB29C7977E4","CinematicNode_Response_26","Kieszenie.","Cepler.",""
"3D1FA84F45E075D3122368AAAD2D8997","CinematicNode_Response_27"," Jeszcze coś, panie czarowny?","Başka bir şey, büyülü efendim?",""
"F530BDEE4062BE17738ED29D9F1A9F17","CinematicNode_Response_28","To akurat żadna tajemnica.","Bu pek de sır sayılmaz.",""
"0BC4F2C4403DCD90AC88CAA200F758A0","CinematicNode_Response_29","Nie! I jeśli mnie choćby tkniesz, to pójdę do twoich kolegów z Ochrany, powiedzieć im, że okradasz klientów. W tym ich ludzi. I masz na to cały sejf dowodów.","Hayır! Ve bana parmağını bile sürersen, Ochrana'daki arkadaşlarına gidip müşterileri soyduğunu söylerim. Kendi adamları dahil. Bir kasa dolusu kanıtın var zaten.",""
"545888374ECABD40D0B4B5B49AA203C7","CinematicNode_Response_29","Ty mała niewdzięcznico...","Sen küçük nankör...",""
"4E55A6AE40B7E298506A10A024CF101A","CinematicNode_Response_29","Chodź do mnie.","Gel yanıma.",""
"AC78785D40BF53E9E134D9885C418A79","CinematicNode_Response_3","Jestem otwarty na wszystkie możliwości.","Her türlü olasılığa açığım.",""
"E23877BD497CF53AD4495FBF7B3CA5D2","CinematicNode_Response_3","Nie wiem, czy to odpowiednie miejsce na takie deklaracje.","Bunun gibi açıklamalar için doğru bir yer olup olmadığını bilmiyorum.",""
"C248569C4F260BEA7E6EA88E1190B311","CinematicNode_Response_30","Wystarczy, zanim zrobisz coś, czego będziesz żałować.","Yeter, pişman olacağın bir şey yapmadan önce.",""
"66746A234FE38B4215B252AE01758AE4","CinematicNode_Response_30","Co, wielki pan mag zmienił zdanie z litości do nędzareczki? Poradzę sobie. Zawsze sobie radzę.","Ne, büyük büyücü acıdı zavallıya ve fikrini değiştirdi? Kendi kendimin üstesinden gelirim. Her zaman geldiğim gibi.",""
"98D355C74F436CD0629C8A9A425F2CC5","CinematicNode_Response_30","Tym razem, nie będziesz musiała dbać o wszystko sama.","Bu sefer her şeyin üstesinden yalnız başına gelmek zorunda kalmayacaksın.",""
"1CA6ECC7497D061C44E0F794523A482C","CinematicNode_Response_32","Spokojnie, wystarczy mi ludzi na was oboje.","Sakin ol, ikiniz için de yeterince adamım var.",""
"8A62B00E4CDB5629794C38A659C11CCA","CinematicNode_Response_33","Wynoście się więc oboje. I nie pokazywać mi się tu!","O zaman ikiniz de gidin. Ve buraya bir daha görünmeyin!",""
"D30DF87F4D101C8CAC33F59632D75311","CinematicNode_Response_34","Nie przywykłam do tego, że ktoś staje w mojej obronie. Dziękuję.","Birinin benim savunmama geçmesine alışkın değilim. Teşekkürler.",""
"3C48B43D481D58250BC15AB773C1A9D7","CinematicNode_Response_35","Starczy już... Przyjmuję te argumenty.","Yeter artık... Bu argümanları kabul ediyorum.",""
"79401C6242D09DCB05818ABCB8B94258","CinematicNode_Response_35","Chcesz ją? To zabieraj. I oboje się stąd wynoście.","Onu mu istiyorsun? Al götür o zaman. Ve ikiniz de gidin buradan.",""
"2BB42AB74A947B501DE8768727599869","CinematicNode_Response_36","Nie ma o czym mówić.","Söylenecek bir şey yok.",""
"E4B453CF4D5DBA34FEC707B55FA4B9A6","CinematicNode_Response_36","Przyznaję, zaimponowałeś mi.","İtiraf ederim, beni etkiledi.",""
"539BDC83440188D24300BE9D02DA137E","CinematicNode_Response_37","Wiesz, po co tu jestem.","Neden burada olduğumu biliyorsun.",""
"38DAEF2B4F6523FEEC5C65B83D13D136","CinematicNode_Response_37","No tak, ten twój Djinn.","Evet tabii, o Djinn'in.",""
"3EAAB11E47106F5307788BB4ABB3172D","CinematicNode_Response_38","Jestem tu z powodu salutora. Nazywa się Djinn i podąża za tobą.","Bir salutor yüzünden buradayım. Adı Djinn ve seni takip ediyor.",""
"E369260E47D0648876117FAF97D707A6","CinematicNode_Response_38","Co takiego?","Ne dedin?",""
"182CBD06402AAB63937F3E9EE6A29B6B","CinematicNode_Response_39","Jest tu teraz? Widzisz go?","Şu an burada mı? Onu görüyor musun?",""
"CC03B33A482DF628D67C3F88EBC7B0A8","CinematicNode_Response_39","Nie muszę. Widzę ciebie i wiem, że jest w pobliżu.","Görmem gerekmiyor. Seni görüyorum ve yakınlarda olduğunu biliyorum.",""
"FAB7AB734E00E194854F49BFFB4C98FD","CinematicNode_Response_39","Czy ty próbujesz mnie uwieść?","Beni baştan çıkarmaya mı çalışıyorsun?",""
"30A0C7BA4763CD09A80725820B22DA7E","CinematicNode_Response_4","W imieniu wszystkich <i>tempermantów</>, muszę zaznaczyć, ze to ściśle strzeżona wiedza.","Tüm <i>tılsımkârların</> adına belirtmeliyim ki bu sıkı sıkıya korunan bir bilgidir.",""
"785309C54A4EBEA753AED7AE1FCAD50F","CinematicNode_Response_40","Stój spokojnie. Zaraz będzie po wszystkim.","Sakin dur. Az sonra her şey biter.",""
"3C1358914D49E5459E74AF89BB54C7F3","CinematicNode_Response_41","Musisz wiedzieć, że z chwilą schwytania Djinna pozbawię cię też tej twojej Zuchwałości.","Djinn'i yakaladığım anda Küstahlığını da senden alacağımı bilmen gerekiyor.",""
"7711548547F262A686048C9B22E128D9","CinematicNode_Response_41","Nie wiem do końca, o czym mówisz, ale chyba jestem twoją dłużniczką.","Tam olarak ne söylediğini anlamıyorum ama sanırım sana borçluyum.",""
"602918BF4D11D9A42FDF679072AF8F09","CinematicNode_Response_42","Wybacz, ale <i>tempermanci</> wiodą przeważnie samotne życie. Taka nasza natura.","Affedersin, ama <i>tılsımkârlar</> genellikle yalnız bir hayat sürer. Tabiatımız böyle.",""
"B8B2C6A14782191F6D7DF4A27D0FD5AC","CinematicNode_Response_42","Doprawdy.","Öyle mi?",""
"32BF7EAA48D32CE93E01C593B378A7E7","CinematicNode_Response_43","To... to już? Nie czuję się specjalnie inaczej.","Bu... bu kadar mı? Kendimi özellikle farklı hissetmiyorum.",""
"60105D414BE0B2BE305BB097A83D5B8D","CinematicNode_Response_44","Nie mogłem odebrać ci Zuchwałości. Tak chyba będzie lepiej.","Küstahlığını alamadım. Sanırım bu daha iyi olacak.",""
"843390C44BA2C10651646CA4261368C7","CinematicNode_Response_44","A co z Djinnem?","Peki Djinn ne olacak?",""
